model_name,level,alpha_annualized,sharpe,sortino,cvar_95,max_drawdown,hit_ratio,calmar,omega
Equal-Weight MASI20,1,-0.0364,1.539,2.551,0.0183,-0.1005,0.6571,2.038,1.334
Buy & Hold MASI,1,0.0,1.584,2.615,0.0183,-0.1025,0.6,2.08,1.353
Equal-Weight Top 5,1,-0.1402,0.496,0.653,0.0259,-0.2618,0.6857,0.29,1.106
Ridge Regression,2,0.0701,2.161,3.675,0.0196,-0.1132,0.7429,2.984,1.481
LightGBM,2,0.0443,2.279,3.768,0.0171,-0.0775,0.7429,3.959,1.526
LSTM standard,2,0.0126,2.201,3.925,0.0149,-0.0822,0.6571,3.257,1.471
TFT sans régime,3,-0.0008,1.275,2.224,0.0195,-0.1549,0.7143,1.542,1.421
TFT + régime HMM,3,0.229,1.64,4.495,0.0164,-0.1772,0.7714,2.976,1.956
TFT + Markowitz,3,0.0439,1.626,4.236,0.0158,-0.0848,0.6571,3.522,1.536
RAF-ADAPT complet,3,0.0124,1.319,2.508,0.0192,-0.1391,0.7429,1.831,1.444
