period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2024-05,2024-Q2,P_agressif,LBV,0.1414,14.14,2024-05-31
2024-05,2024-Q2,P_agressif,OUL,0.1126,11.26,2024-05-31
2024-05,2024-Q2,P_agressif,LES,0.0986,9.86,2024-05-31
2024-05,2024-Q2,P_agressif,HPS,0.0695,6.95,2024-05-31
2024-05,2024-Q2,P_agressif,GAZ,0.0645,6.45,2024-05-31
2024-05,2024-Q2,P_agressif,DRI,0.06,6.0,2024-05-31
2024-05,2024-Q2,P_agressif,JET,0.0528,5.28,2024-05-31
2024-05,2024-Q2,P_agressif,CTM,0.0498,4.98,2024-05-31
2024-05,2024-Q2,P_agressif,SOT,0.0445,4.45,2024-05-31
2024-05,2024-Q2,P_agressif,EQD,0.0415,4.15,2024-05-31
2024-05,2024-Q2,P_agressif,MIC,0.041,4.1,2024-05-31
2024-05,2024-Q2,P_agressif,WAA,0.023,2.3,2024-05-31
2024-05,2024-Q2,P_agressif,MUT,0.0205,2.05,2024-05-31
2024-05,2024-Q2,P_agressif,SMI,0.0202,2.02,2024-05-31
2024-05,2024-Q2,P_agressif,TQM,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,SNP,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,MNG,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,RDS,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,DHO,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,SID,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,DWY,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_agressif,CMT,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,LBV,0.1357,13.57,2024-05-31
2024-05,2024-Q2,P_equilibre,LES,0.1162,11.62,2024-05-31
2024-05,2024-Q2,P_equilibre,OUL,0.0907,9.07,2024-05-31
2024-05,2024-Q2,P_equilibre,GAZ,0.0691,6.91,2024-05-31
2024-05,2024-Q2,P_equilibre,CTM,0.0656,6.56,2024-05-31
2024-05,2024-Q2,P_equilibre,JET,0.0615,6.15,2024-05-31
2024-05,2024-Q2,P_equilibre,DRI,0.0568,5.68,2024-05-31
2024-05,2024-Q2,P_equilibre,SMI,0.0467,4.67,2024-05-31
2024-05,2024-Q2,P_equilibre,SOT,0.0434,4.34,2024-05-31
2024-05,2024-Q2,P_equilibre,EQD,0.0404,4.04,2024-05-31
2024-05,2024-Q2,P_equilibre,HPS,0.0344,3.44,2024-05-31
2024-05,2024-Q2,P_equilibre,CMT,0.0275,2.75,2024-05-31
2024-05,2024-Q2,P_equilibre,MIC,0.0252,2.52,2024-05-31
2024-05,2024-Q2,P_equilibre,TQM,0.0246,2.46,2024-05-31
2024-05,2024-Q2,P_equilibre,WAA,0.0223,2.23,2024-05-31
2024-05,2024-Q2,P_equilibre,SNP,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,MNG,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,RDS,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,DHO,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,SID,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,DWY,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_equilibre,MUT,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,DRI,0.1382,13.82,2024-05-31
2024-05,2024-Q2,P_defensif,LES,0.1189,11.89,2024-05-31
2024-05,2024-Q2,P_defensif,OUL,0.1122,11.22,2024-05-31
2024-05,2024-Q2,P_defensif,CTM,0.0804,8.04,2024-05-31
2024-05,2024-Q2,P_defensif,GAZ,0.0662,6.62,2024-05-31
2024-05,2024-Q2,P_defensif,JET,0.0622,6.22,2024-05-31
2024-05,2024-Q2,P_defensif,SOT,0.0487,4.87,2024-05-31
2024-05,2024-Q2,P_defensif,SMI,0.0451,4.51,2024-05-31
2024-05,2024-Q2,P_defensif,EQD,0.0412,4.12,2024-05-31
2024-05,2024-Q2,P_defensif,DWY,0.0356,3.56,2024-05-31
2024-05,2024-Q2,P_defensif,CMT,0.0283,2.83,2024-05-31
2024-05,2024-Q2,P_defensif,WAA,0.0226,2.26,2024-05-31
2024-05,2024-Q2,P_defensif,MUT,0.0203,2.03,2024-05-31
2024-05,2024-Q2,P_defensif,HPS,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,TQM,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,MIC,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,LBV,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,SNP,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,DHO,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,SID,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,MNG,0.02,2.0,2024-05-31
2024-05,2024-Q2,P_defensif,RDS,0.02,2.0,2024-05-31
