month_label,as_of_date,valeur_index,masi_ret_1m,masi_ret_3m_prev,masi_mom_3m,breadth_ma50
2015-04,2015-04-30,9937.40000000,-0.03236675,0.06753568,-0.02693758,0.30188679
2015-05,2015-05-29,9711.40000000,-0.02274237,-0.02789897,-0.07240147,0.36538462
2015-06,2015-06-30,9578.30000000,-0.01370554,-0.07162113,-0.05930014,0.38888889
2015-07,2015-07-31,9740.00000000,0.01688191,-0.06733335,-0.01986435,0.51851852
2015-08,2015-08-31,9345.70000000,-0.04048255,-0.01986435,-0.02528134,0.44444444
2015-09,2015-09-30,9114.30000000,-0.02476005,-0.03765677,-0.04886983,0.33333333
2015-10,2015-10-30,9081.80000000,-0.00356583,-0.04844283,-0.06296881,0.55555556
2015-11,2015-11-30,9093.20000000,0.00125526,-0.06757700,-0.01723821,0.50000000
2015-12,2015-12-31,8925.70000000,-0.01842036,-0.02701777,-0.02513161,0.38181818
2016-01,2016-01-29,8899.00000000,-0.00299136,-0.02069276,-0.01327242,0.34545455
2016-02,2016-02-29,8908.40000000,0.00105630,-0.02012817,-0.02201144,0.32727273
2016-06,2016-06-30,9506.00000000,-0.02581498,0.09535944,0.00716223,0.33333333
2016-07,2016-07-29,9882.20000000,0.03957501,0.01908233,0.01487050,0.38181818
2016-08,2016-08-31,9860.80000000,-0.00216551,-0.00937278,0.01054530,0.40000000
2017-03,2017-03-31,11379.70000000,-0.04584748,0.11749824,-0.01599696,0.45454545
2017-04,2017-04-28,11637.90000000,0.02268953,-0.02271517,-0.04832814,0.60000000
2017-10,2017-10-31,12373.00000000,0.01915078,0.01037800,0.00397598,0.45454545
2018-04,2018-04-30,13028.00000000,-0.00263351,0.05437169,-0.00363275,0.53703704
2018-05,2018-05-31,12335.40000000,-0.05316242,-0.00363275,-0.06316501,0.36363636
2018-07,2018-07-31,11746.10000000,-0.01116284,-0.09061888,-0.09839576,0.25454545
2018-08,2018-08-31,11546.50000000,-0.01699287,-0.09839576,-0.07642038,0.28571429
2018-10,2018-10-31,10919.70000000,-0.03668972,-0.04572049,-0.05894672,0.30909091
2018-11,2018-11-30,11229.30000000,0.02835243,-0.07035527,-0.03525035,0.36363636
2018-12,2018-12-31,11364.30000000,0.01202212,-0.02747153,0.00253185,0.62500000
2019-02,2019-02-28,11136.60000000,-0.01886227,0.03946995,-0.00588262,0.37500000
2019-04,2019-04-30,11192.10000000,0.02565019,-0.03978248,-0.01397271,0.39285714
2019-05,2019-05-31,10999.90000000,-0.01717283,-0.01397271,-0.01725185,0.32142857
2019-09,2019-09-30,11561.70000000,-0.01274027,0.06463695,0.02281534,0.40350877
2019-10,2019-10-31,11484.30000000,-0.00669452,0.02433773,-0.00689208,0.42105263
2020-03,2020-03-31,9704.90000000,-0.20846757,0.03709938,-0.19867725,0.13559322
2020-04,2020-04-30,9400.70000000,-0.03134499,-0.20267994,-0.23498153,0.15254237
2020-05,2020-05-29,9852.80000000,0.04809216,-0.24985836,-0.19640483,0.67796610
2020-07,2020-07-29,10228.30000000,0.00581167,0.04784181,0.09976990,0.28813559
2020-08,2020-08-31,10134.80000000,-0.00914130,0.08803600,0.02007992,0.28813559
2020-09,2020-09-30,9987.80000000,-0.01450448,0.02862131,-0.01247775,0.33898305
2021-11,2021-11-30,13085.40000000,-0.03467965,0.10170594,0.02425737,0.40000000
2022-02,2022-02-28,13071.00000000,-0.05852271,0.02419682,-0.00110046,0.45901639
2022-03,2022-03-31,12818.10000000,-0.01934818,-0.00110046,-0.04043928,0.26229508
2022-04,2022-04-29,13136.70000000,0.02485548,-0.04043928,-0.05239809,0.59016393
2022-05,2022-05-31,12339.60000000,-0.06067734,-0.05379047,-0.05513909,0.27868852
2022-06,2022-06-30,12009.40000000,-0.02675938,-0.05595593,-0.06309047,0.21311475
2022-07,2022-07-29,11818.50000000,-0.01589588,-0.06309047,-0.10020100,0.32258065
2022-09,2022-09-30,11613.10000000,-0.04251074,-0.01709132,-0.00859670,0.35483871
2022-10,2022-10-31,10822.60000000,-0.06806968,-0.03299915,-0.08501716,0.17910448
2022-11,2022-11-30,10910.91000000,0.00815978,-0.08426619,-0.10040565,0.20895522
2023-01,2023-01-31,10275.45000000,-0.04149157,-0.07688300,-0.05836938,0.20588235
2023-03,2023-03-31,10391.39170000,-0.04731770,-0.00031161,-0.02967076,0.42647059
2023-04,2023-04-28,10525.21640000,0.01287842,-0.03067636,0.04005965,0.41176471
2023-10,2023-10-31,12021.63760000,0.01317471,0.02465960,-0.00307022,0.50746269
2023-11,2023-11-30,11781.55610000,-0.01997078,-0.00510625,-0.01024096,0.30882353
2024-10,2024-10-31,14168.10020000,-0.01424473,0.08055314,0.02867437,0.31884058
2025-09,2025-09-30,19024.81710000,-0.05136238,0.11564092,0.03363952,0.39436620
2025-10,2025-10-31,19636.51760000,0.03215277,0.03980062,0.00978866,0.52112676
