rank_date,date_cours,return_dispersion,rank_ticker,ticker,daily_ret,abs_dev_from_median,prev_price,prix_cloture,jump_gt_30pct
1,2024-06-30,22.05413460,1,SNA,176.43403094,176.43403094,10.99000000,1950.00000000,True
1,2024-06-30,22.05413460,2,TQM,0.06076923,0.06076923,1300.00000000,1379.00000000,False
1,2024-06-30,22.05413460,3,ADH,0.00000000,0.00000000,30.28000000,30.28000000,False
2,2024-03-31,17.38122181,1,SNA,140.12512124,140.12512124,10.31000000,1455.00000000,True
2,2024-03-31,17.38122181,2,TMA,-0.52890792,0.52890792,1401.00000000,660.00000000,True
2,2024-03-31,17.38122181,3,TQM,0.16652789,0.16652789,1201.00000000,1401.00000000,False
3,2023-12-31,14.65864699,1,SNA,118.17431193,118.17431193,10.90000000,1299.00000000,True
3,2023-12-31,14.65864699,2,TMA,-0.48275862,0.48275862,1160.00000000,600.00000000,True
3,2023-12-31,14.65864699,3,TQM,0.05454545,0.05454545,1100.00000000,1160.00000000,False
4,2023-09-30,11.73643917,1,SNA,93.88448845,93.88448845,12.12000000,1150.00000000,True
4,2023-09-30,11.73643917,2,TMA,-0.51391304,0.51391304,1150.00000000,559.00000000,True
4,2023-09-30,11.73643917,3,TQM,0.10896818,0.10896818,1037.00000000,1150.00000000,False
5,2023-06-30,10.83095607,1,SNA,85.95652174,85.95652174,11.50000000,1000.00000000,True
5,2023-06-30,10.83095607,2,TMA,-0.70384615,0.70384615,1300.00000000,385.00000000,True
5,2023-06-30,10.83095607,3,TQM,0.18110236,0.18110236,1016.00000000,1200.00000000,False
6,2022-12-31,7.87840313,1,SNA,62.01718651,62.01718651,15.71000000,990.00000000,True
6,2022-12-31,7.87840313,2,TMA,-0.86132512,0.86132512,1298.00000000,180.00000000,True
6,2022-12-31,7.87840313,3,TQM,0.18214936,0.18214936,1098.00000000,1298.00000000,False
7,2018-08-09,4.81297969,1,SLF,36.33333333,36.33333333,26.25000000,980.00000000,True
7,2018-08-09,4.81297969,2,COL,-0.06992084,0.06992084,75.80000000,70.50000000,False
7,2018-08-09,4.81297969,3,FBR,-0.06490000,0.06490000,100.00000000,93.51000000,False
8,2018-09-10,4.81145226,1,SLF,36.33333333,36.33333333,26.25000000,980.00000000,True
8,2018-09-10,4.81145226,2,BCI,0.09970238,0.09970238,672.00000000,739.00000000,False
8,2018-09-10,4.81145226,3,SNA,0.09772727,0.09772727,1320.00000000,1449.00000000,False
9,2018-10-09,4.72800775,1,SLF,35.38095238,35.38095238,26.25000000,955.00000000,True
9,2018-10-09,4.72800775,2,ATH,0.05263158,0.05263158,76.00000000,80.00000000,False
9,2018-10-09,4.72800775,3,DHO,-0.04417910,0.04417910,33.50000000,32.02000000,False
10,2018-09-28,4.70267961,1,SLF,35.19047619,35.19047619,26.25000000,950.00000000,True
10,2018-09-28,4.70267961,2,M2M,0.09988235,0.09988235,425.00000000,467.45000000,False
10,2018-09-28,4.70267961,3,SNA,-0.09928571,0.09928571,1400.00000000,1261.00000000,False
11,2023-01-02,0.77106327,1,TMA,6.21111111,6.21111111,180.00000000,1298.00000000,True
11,2023-01-02,0.77106327,2,SNA,-0.98400000,0.98400000,990.00000000,15.84000000,True
11,2023-01-02,0.77106327,3,TQM,-0.16872111,0.16872111,1298.00000000,1079.00000000,False
12,2018-10-10,0.43679606,1,RDS,3.29501085,3.29501085,23.05000000,99.00000000,True
12,2018-10-10,0.43679606,2,SID,-0.04178832,0.04178832,548.00000000,525.10000000,False
12,2018-10-10,0.43679606,3,SNA,0.04011887,0.04011887,1346.00000000,1400.00000000,False
13,2018-09-30,0.43068850,1,RDS,3.25162690,3.25162690,23.05000000,98.00000000,True
13,2018-09-30,0.43068850,2,ADH,0.00000000,0.00000000,14.75000000,14.75000000,False
13,2018-09-30,0.43068850,3,AFM,0.00000000,0.00000000,1000.00000000,1000.00000000,False
14,2018-10-19,0.40996774,1,RDS,3.08602151,3.08602151,23.25000000,95.00000000,True
14,2018-10-19,0.40996774,2,NKL,0.09714286,0.09714286,35.00000000,38.40000000,False
14,2018-10-19,0.40996774,3,SBM,-0.09533751,0.09533751,2874.00000000,2600.00000000,False
15,2018-12-17,0.37549281,1,RDS,2.83333333,2.83333333,24.00000000,92.00000000,True
15,2018-12-17,0.37549281,2,MLE,-0.05993521,0.05993521,463.00000000,435.25000000,False
15,2018-12-17,0.37549281,3,GAZ,-0.05987055,0.05987055,3090.00000000,2905.00000000,False
16,2023-07-03,0.29563890,1,TMA,2.20779221,2.20779221,385.00000000,1235.00000000,True
16,2023-07-03,0.29563890,2,SNA,-0.98850000,0.98850000,1000.00000000,11.50000000,True
16,2023-07-03,0.29563890,3,TQM,-0.10833333,0.10833333,1200.00000000,1070.00000000,False
17,2024-04-01,0.18269224,1,TMA,1.11969697,1.11969697,660.00000000,1399.00000000,True
17,2024-04-01,0.18269224,2,SNA,-0.99292096,0.99292096,1455.00000000,10.30000000,True
17,2024-04-01,0.18269224,3,TQM,-0.13276231,0.13276231,1401.00000000,1215.00000000,False
18,2023-10-02,0.17068736,1,SNA,-0.98949565,0.98949565,1150.00000000,12.08000000,True
18,2023-10-02,0.17068736,2,TMA,0.96779964,0.96779964,559.00000000,1100.00000000,True
18,2023-10-02,0.17068736,3,RDS,-0.11024306,0.11024306,23.04000000,20.50000000,False
19,2024-01-02,0.16672058,1,SNA,-0.99156274,0.99156274,1299.00000000,10.96000000,True
19,2024-01-02,0.16672058,2,TMA,0.95000000,0.95000000,600.00000000,1170.00000000,True
19,2024-01-02,0.16672058,3,CMT,0.09633028,0.09633028,1090.00000000,1195.00000000,False
20,2018-10-02,0.13312338,1,SLF,-0.97236842,0.97236842,950.00000000,26.25000000,True
20,2018-10-02,0.13312338,2,IBC,0.09983333,0.09983333,60.00000000,65.99000000,False
20,2018-10-02,0.13312338,3,NKL,-0.09729730,0.09729730,37.00000000,33.40000000,False
