year,month,month_label,as_of_date,masi_mom_3m,return_dispersion,breadth_ma50,is_bull,is_sideways,is_bear,is_rebalancing_date,regime,date_index,valeur_index,masi_ret_1m,masi_ret_3m_prev,masi_ret_3m_fwd
2015,1,2015-01,2015-01-30,-0.00367436,0.02111890,0.54716981,0,1,0,True,sideways,2015-01-30,10222.60000000,0.06262929,-0.04570074,-0.02789897
2015,2,2015-02,2015-02-27,0.04860812,0.02752937,0.64150943,0,1,0,True,sideways,2015-02-27,10460.60000000,0.02328175,-0.01250954,-0.07162113
2015,3,2015-03,2015-03-31,0.06570782,0.02449930,0.44444444,0,1,0,True,sideways,2015-03-31,10269.80000000,-0.01823987,0.04860812,-0.06733335
2015,4,2015-04,2015-04-30,-0.02693758,0.01114313,0.30188679,0,0,1,True,bear,2015-04-30,9937.40000000,-0.03236675,0.06753568,-0.01986435
2015,5,2015-05,2015-05-29,-0.07240147,0.02360588,0.36538462,0,0,1,True,bear,2015-05-29,9711.40000000,-0.02274237,-0.02789897,-0.03765677
2015,6,2015-06,2015-06-30,-0.05930014,0.02221457,0.38888889,0,0,1,True,bear,2015-06-30,9578.30000000,-0.01370554,-0.07162113,-0.04844283
2015,7,2015-07,2015-07-31,-0.01986435,0.01531129,0.51851852,0,0,1,True,bear,2015-07-31,9740.00000000,0.01688191,-0.06733335,-0.06757700
2015,8,2015-08,2015-08-31,-0.02528134,0.01481691,0.44444444,0,0,1,True,bear,2015-08-31,9345.70000000,-0.04048255,-0.01986435,-0.02701777
2015,9,2015-09,2015-09-30,-0.04886983,0.02175765,0.33333333,0,0,1,True,bear,2015-09-30,9114.30000000,-0.02476005,-0.03765677,-0.02069276
2015,10,2015-10,2015-10-30,-0.06296881,0.02254087,0.55555556,0,0,1,True,bear,2015-10-30,9081.80000000,-0.00356583,-0.04844283,-0.02012817
2015,11,2015-11,2015-11-30,-0.01723821,0.01757632,0.50000000,0,0,1,True,bear,2015-11-30,9093.20000000,0.00125526,-0.06757700,-0.02032288
2015,12,2015-12,2015-12-31,-0.02513161,0.03318748,0.38181818,0,0,1,True,bear,2015-12-31,8925.70000000,-0.01842036,-0.02701777,0.04507210
2016,1,2016-01,2016-01-29,-0.01327242,0.02296585,0.34545455,0,0,1,True,bear,2016-01-29,8899.00000000,-0.00299136,-0.02069276,0.12099112
2016,2,2016-02,2016-02-29,-0.02201144,0.02475691,0.32727273,0,0,1,True,bear,2016-02-29,8908.40000000,0.00105630,-0.02012817,0.09535944
2016,3,2016-03,2016-03-31,0.04507210,0.02525251,0.74545455,0,1,0,True,sideways,2016-03-31,9328.00000000,0.04710161,-0.02032288,0.01908233
2016,4,2016-04,2016-04-29,0.11606234,0.02186743,0.66666667,0,1,0,True,sideways,2016-04-29,9975.70000000,0.06943611,0.04507210,-0.00937278
2016,5,2016-05,2016-05-31,0.07131957,0.01875659,0.65454545,0,1,0,True,sideways,2016-05-31,9757.90000000,-0.02183305,0.12099112,0.01054530
2016,6,2016-06,2016-06-30,0.00716223,0.02132690,0.33333333,0,0,1,True,bear,2016-06-30,9506.00000000,-0.02581498,0.09535944,0.05608037
2016,7,2016-07,2016-07-29,0.01487050,0.01798731,0.38181818,0,0,1,True,bear,2016-07-29,9882.20000000,0.03957501,0.01908233,0.06905345
2016,8,2016-08,2016-08-31,0.01054530,0.01562941,0.40000000,0,0,1,True,bear,2016-08-31,9860.80000000,-0.00216551,-0.00937278,0.08231584
2016,9,2016-09,2016-09-30,0.05175430,0.02965464,0.45454545,0,1,0,True,sideways,2016-09-30,10039.10000000,0.01808170,0.01054530,0.15988485
2016,10,2016-10,2016-10-31,0.06905345,0.01836379,0.60000000,0,1,0,True,sideways,2016-10-31,10564.60000000,0.05234533,0.05608037,0.15753554
2016,11,2016-11,2016-11-30,0.07513071,0.02183299,0.74545455,0,1,0,True,sideways,2016-11-30,10672.50000000,0.01021335,0.06905345,0.11749824
2016,12,2016-12,2016-12-31,,0.00000000,0.85454545,0,1,0,False,sideways,2016-12-30,11644.20000000,0.09104708,0.08231584,-0.02271517
2017,1,2017-01,2017-01-31,0.16662374,0.02742901,0.85714286,1,0,0,True,bull,2017-01-31,12228.90000000,0.05021384,0.15988485,-0.04832814
2017,2,2017-02,2017-02-28,0.11191393,0.02240349,0.54545455,0,1,0,True,sideways,2017-02-28,11926.50000000,-0.02472831,0.15753554,-0.02922064
2017,3,2017-03,2017-03-31,-0.01599696,0.03249883,0.45454545,0,0,1,True,bear,2017-03-31,11379.70000000,-0.04584748,0.11749824,0.05589778
2017,4,2017-04,2017-04-28,-0.04832814,0.02057454,0.60000000,0,0,1,True,bear,2017-04-28,11637.90000000,0.02268953,-0.02271517,0.04841080
2017,5,2017-05,2017-05-31,-0.03252223,0.00760652,0.67272727,0,1,0,True,sideways,2017-05-31,11578.00000000,-0.00514698,-0.04832814,0.07074624
2017,6,2017-06,2017-06-30,0.05049746,0.02424993,0.63636364,0,1,0,True,sideways,2017-06-30,12015.80000000,0.03781309,-0.02922064,0.01037800
2017,7,2017-07,2017-07-31,0.04841080,0.02254929,0.67272727,0,1,0,True,sideways,2017-07-31,12201.30000000,0.01543801,0.05589778,0.01407227
2017,8,2017-08,2017-08-31,0.07463528,0.01525615,0.61818182,0,1,0,True,sideways,2017-08-31,12397.10000000,0.01604747,0.04841080,0.01381775
2017,9,2017-09,2017-09-30,,0.00000000,0.45454545,0,1,0,False,sideways,2017-09-29,12140.50000000,-0.02069839,0.07074624,0.02045221
2017,10,2017-10,2017-10-31,0.00397598,0.01346728,0.45454545,0,0,1,True,bear,2017-10-31,12373.00000000,0.01915078,0.01037800,0.05677685
2017,11,2017-11,2017-11-30,0.01562008,0.01811795,0.54545455,0,1,0,True,sideways,2017-11-30,12568.40000000,0.01579245,0.01407227,0.04569396
2017,12,2017-12,2017-12-31,,0.00000000,0.49090909,0,1,0,False,sideways,2017-12-29,12388.80000000,-0.01428981,0.01381775,0.05437169
2018,1,2018-01,2018-01-31,0.06009259,0.02126677,0.75925926,0,1,0,True,sideways,2018-01-31,13075.50000000,0.05542910,0.02045221,-0.00363275
2018,2,2018-02,2018-02-28,0.04287279,0.02265008,0.79245283,0,1,0,True,sideways,2018-02-28,13142.70000000,0.00513938,0.05677685,-0.06142573
