date_cours,masi_mom_3m,return_dispersion,breadth_ma50,outlier_tier
2024-06-30,,21.39566026,0.39705882,CRITIQUE_cluster_4x_HMM_bear
2024-03-31,,16.90527024,0.56521739,CRITIQUE_cluster_4x_HMM_bear
2023-12-31,,14.26641256,0.47826087,CRITIQUE_cluster_4x_HMM_bear
2023-09-30,,11.42657516,0.48529412,CRITIQUE_cluster_4x_HMM_bear
2023-06-30,,10.46687075,0.67647059,CRITIQUE_cluster_4x_HMM_bear
2022-12-31,,7.52205273,0.50000000,CRITIQUE_cluster_4x_HMM_bear
2018-09-27,-0.06656274,4.70562704,0.32258065,CRITIQUE_cluster_4x_HMM_bear
2018-08-01,-0.09938313,4.66264633,0.25806452,CRITIQUE_cluster_4x_HMM_bear
2018-10-08,-0.05959024,4.65041161,0.33870968,CRITIQUE_cluster_4x_HMM_bear
2018-09-07,-0.09344841,4.61779171,0.14516129,CRITIQUE_cluster_4x_HMM_bear
2018-08-08,-0.08907371,4.61450402,0.35483871,CRITIQUE_cluster_4x_HMM_bear
2018-09-21,-0.09154050,4.51799240,0.19354839,CRITIQUE_cluster_4x_HMM_bear
2018-10-01,-0.07127608,1.18972474,0.30645161,EXTREME_disp_gt_1
2018-12-10,-0.00537173,1.17805206,0.51612903,EXTREME_disp_gt_1
2016-04-26,0.07558727,1.17648515,0.58333333,EXTREME_disp_gt_1
2017-01-06,0.24200097,1.17579864,0.90163934,EXTREME_disp_gt_1
2015-05-28,-0.08144848,1.17413160,0.32203390,EXTREME_disp_gt_1
2016-12-19,0.15820125,1.17053374,0.86885246,EXTREME_disp_gt_1
2016-05-20,0.08388398,1.14950565,0.81666667,EXTREME_disp_gt_1
2016-12-22,0.15664088,1.14011406,0.88524590,EXTREME_disp_gt_1
2015-03-26,0.06996394,1.13809348,0.42372881,EXTREME_disp_gt_1
2018-08-30,-0.06832717,1.13393151,0.29032258,EXTREME_disp_gt_1
2018-11-15,-0.05277417,1.13318102,0.46774194,EXTREME_disp_gt_1
2015-05-13,-0.04114445,1.12628884,0.25423729,EXTREME_disp_gt_1
2015-01-19,0.03600376,1.12165007,0.58333333,EXTREME_disp_gt_1
2016-04-14,0.07030343,1.12070586,0.60000000,EXTREME_disp_gt_1
2015-01-14,0.02497853,1.11984189,0.58333333,EXTREME_disp_gt_1
2015-04-16,-0.04258587,1.11975102,0.32203390,EXTREME_disp_gt_1
2022-06-16,-0.05236752,1.11811393,0.30303030,EXTREME_disp_gt_1
2015-04-28,-0.02073915,1.11396477,0.23728814,EXTREME_disp_gt_1
2016-12-15,0.10657115,1.11140374,0.81967213,EXTREME_disp_gt_1
2015-01-29,-0.00490153,1.10951759,0.46666667,EXTREME_disp_gt_1
2018-07-25,-0.10363607,1.10947789,0.20967742,EXTREME_disp_gt_1
2015-02-27,0.04860812,1.10301907,0.59322034,EXTREME_disp_gt_1
2015-06-24,-0.06922576,1.10275159,0.32203390,EXTREME_disp_gt_1
2022-06-10,-0.00468160,1.09255486,0.42424242,EXTREME_disp_gt_1
2015-03-16,0.07599170,1.09054143,0.52542373,EXTREME_disp_gt_1
2015-12-28,-0.02543138,1.08426178,0.35000000,EXTREME_disp_gt_1
2022-07-26,-0.10308793,1.08329378,0.28358209,EXTREME_disp_gt_1
2022-08-01,-0.09761965,1.06677526,0.29850746,EXTREME_disp_gt_1
2022-10-14,-0.03590236,1.06073812,0.29850746,EXTREME_disp_gt_1
2022-06-07,0.00358284,1.03009235,0.45454545,EXTREME_disp_gt_1
2016-04-21,0.07162516,1.02917159,0.61666667,EXTREME_disp_gt_1
2016-02-05,-0.00592231,1.02643003,0.38333333,EXTREME_disp_gt_1
2018-06-05,-0.06878287,1.01662323,0.30645161,EXTREME_disp_gt_1
2018-06-26,-0.07791480,0.98591338,0.33870968,FORT_disp_gt_0.10
2022-10-24,-0.08184589,0.80687655,0.16666667,FORT_disp_gt_0.10
2023-01-02,-0.07569070,0.74014472,0.43835616,FORT_disp_gt_0.10
2018-05-25,-0.04912609,0.48814924,0.37096774,FORT_disp_gt_0.10
2018-05-22,-0.04632113,0.46381948,0.29032258,FORT_disp_gt_0.10
2018-09-28,-0.07340439,0.43173575,0.27419355,FORT_disp_gt_0.10
2018-03-02,0.04763534,0.42672722,0.73770492,FORT_disp_gt_0.10
2018-03-08,0.07327966,0.41978785,0.70491803,FORT_disp_gt_0.10
2018-02-22,0.05033990,0.41946704,0.72131148,FORT_disp_gt_0.10
2018-10-05,-0.05619302,0.41790752,0.29032258,FORT_disp_gt_0.10
2018-02-08,0.05454795,0.41790261,0.73770492,FORT_disp_gt_0.10
2018-10-02,-0.05929791,0.41050200,0.37096774,FORT_disp_gt_0.10
2018-10-16,-0.04871131,0.40588058,0.32258065,FORT_disp_gt_0.10
2018-02-05,0.07134413,0.40179631,0.78688525,FORT_disp_gt_0.10
2018-10-09,-0.03943416,0.39820569,0.32258065,FORT_disp_gt_0.10
2018-10-18,-0.03783005,0.39317050,0.32258065,FORT_disp_gt_0.10
2018-12-14,-0.00599417,0.36643165,0.38709677,FORT_disp_gt_0.10
2015-08-11,-0.02161140,0.32073709,0.49152542,FORT_disp_gt_0.10
2015-08-26,-0.04289675,0.31201065,0.44067797,FORT_disp_gt_0.10
2023-07-03,0.10217893,0.30684710,0.64383562,FORT_disp_gt_0.10
2015-04-20,-0.03921436,0.28864991,0.32203390,FORT_disp_gt_0.10
2025-04-02,0.20083505,0.28823434,0.72000000,FORT_disp_gt_0.10
2019-01-03,-0.01021844,0.26553295,0.52380952,FORT_disp_gt_0.10
2024-04-01,0.07127615,0.20769778,0.52702703,FORT_disp_gt_0.10
2023-10-02,0.02477636,0.19545517,0.39726027,FORT_disp_gt_0.10
2024-01-02,0.03638391,0.19424583,0.51351351,FORT_disp_gt_0.10
2016-07-19,0.02979352,0.17823672,0.36065574,FORT_disp_gt_0.10
2016-06-02,0.07569468,0.16487584,0.66666667,FORT_disp_gt_0.10
2015-12-04,-0.01771867,0.15223631,0.49152542,FORT_disp_gt_0.10
2018-12-03,-0.03233252,0.14923136,0.41935484,FORT_disp_gt_0.10
2017-03-20,0.04377163,0.13539597,0.57377049,FORT_disp_gt_0.10
2017-02-10,0.15629046,0.12792051,0.73770492,FORT_disp_gt_0.10
2018-02-02,0.06892888,0.12747968,0.77049180,FORT_disp_gt_0.10
2018-09-13,-0.08669583,0.12598700,0.17741935,FORT_disp_gt_0.10
2018-09-05,-0.08063175,0.12538028,0.20967742,FORT_disp_gt_0.10
2018-08-02,-0.09461488,0.12457946,0.24193548,FORT_disp_gt_0.10
2018-09-24,-0.09525898,0.12416613,0.22580645,FORT_disp_gt_0.10
2018-02-26,0.04577524,0.12340070,0.70491803,FORT_disp_gt_0.10
2015-01-13,0.02310056,0.12009431,0.46666667,FORT_disp_gt_0.10
2015-05-22,-0.07057636,0.11974425,0.22033898,FORT_disp_gt_0.10
2015-12-30,-0.03798635,0.11943540,0.31666667,FORT_disp_gt_0.10
2015-01-15,0.02555138,0.11921765,0.53333333,FORT_disp_gt_0.10
2018-02-14,0.02588307,0.11904401,0.78688525,FORT_disp_gt_0.10
2016-04-25,0.07397804,0.11899309,0.63333333,FORT_disp_gt_0.10
2018-01-16,0.03643631,0.11889602,0.72131148,FORT_disp_gt_0.10
2015-03-03,0.05174963,0.11870122,0.57627119,FORT_disp_gt_0.10
2015-03-30,0.07230343,0.11843768,0.44067797,FORT_disp_gt_0.10
2015-06-25,-0.06834169,0.11837785,0.32203390,FORT_disp_gt_0.10
2015-06-10,-0.08468981,0.11823343,0.32203390,FORT_disp_gt_0.10
2015-01-07,-0.03193042,0.11819718,0.31666667,FORT_disp_gt_0.10
2024-07-01,0.02820069,0.11815066,0.40540541,FORT_disp_gt_0.10
2016-02-08,-0.01073108,0.11814906,0.38333333,FORT_disp_gt_0.10
2017-01-25,0.21015956,0.11814591,0.78688525,FORT_disp_gt_0.10
2016-12-26,0.17894410,0.11808416,0.90163934,FORT_disp_gt_0.10
2016-12-16,0.13293848,0.11797314,0.86885246,FORT_disp_gt_0.10
2015-02-02,-0.01467495,0.11796896,0.53333333,FORT_disp_gt_0.10
2015-05-05,-0.02988773,0.11796425,0.28813559,FORT_disp_gt_0.10
2015-04-23,-0.02139819,0.11764989,0.27118644,FORT_disp_gt_0.10
2015-03-17,0.06465711,0.11737651,0.50847458,FORT_disp_gt_0.10
2016-05-23,0.08205145,0.11736175,0.75000000,FORT_disp_gt_0.10
2015-01-27,-0.01250318,0.11734504,0.50000000,FORT_disp_gt_0.10
2018-02-23,0.05193068,0.11722095,0.67213115,FORT_disp_gt_0.10
2016-05-16,0.10164585,0.11710749,0.85000000,FORT_disp_gt_0.10
2016-04-20,0.07324884,0.11668094,0.63333333,FORT_disp_gt_0.10
2018-01-18,0.04041165,0.11614908,0.68852459,FORT_disp_gt_0.10
2016-12-21,0.13494015,0.11614640,0.83606557,FORT_disp_gt_0.10
2018-08-29,-0.06878730,0.11609532,0.22580645,FORT_disp_gt_0.10
2018-11-13,-0.06101891,0.11522363,0.38709677,FORT_disp_gt_0.10
2018-07-17,-0.11635225,0.11510824,0.16129032,FORT_disp_gt_0.10
2018-06-11,-0.06159969,0.11478759,0.29032258,FORT_disp_gt_0.10
2022-06-15,-0.03157812,0.11285433,0.28787879,FORT_disp_gt_0.10
2022-06-09,0.00352497,0.11276192,0.42424242,FORT_disp_gt_0.10
2021-10-15,0.08929127,0.11225508,0.67692308,FORT_disp_gt_0.10
2022-07-27,-0.10164875,0.11192697,0.25373134,FORT_disp_gt_0.10
2022-07-21,-0.08578733,0.11105589,0.25373134,FORT_disp_gt_0.10
2022-09-09,-0.02900558,0.11066028,0.65671642,FORT_disp_gt_0.10
2022-10-18,-0.05193316,0.11054680,0.28358209,FORT_disp_gt_0.10
2023-10-09,0.04722518,0.10661526,0.63013699,FORT_disp_gt_0.10
2018-01-23,0.05268589,0.10291724,0.65573770,FORT_disp_gt_0.10
2018-05-24,-0.05699454,0.10262166,0.25806452,FORT_disp_gt_0.10
2018-02-06,0.05244306,0.09952109,0.73770492,SUSPECT_disp_gt_0.05
2018-03-06,0.06159733,0.09949109,0.73770492,SUSPECT_disp_gt_0.05
2018-05-21,-0.04514392,0.09920629,0.27419355,SUSPECT_disp_gt_0.05
2018-02-20,0.04661316,0.09854814,0.72131148,SUSPECT_disp_gt_0.05
2018-10-11,-0.04729101,0.09814913,0.29032258,SUSPECT_disp_gt_0.05
2018-10-03,-0.05866101,0.09792086,0.33870968,SUSPECT_disp_gt_0.05
2018-10-17,-0.03848475,0.09766164,0.25806452,SUSPECT_disp_gt_0.05
2015-08-25,-0.04821259,0.09386976,0.40677966,SUSPECT_disp_gt_0.05
2015-08-28,-0.03353962,0.09357784,0.37288136,SUSPECT_disp_gt_0.05
2015-04-14,-0.03430408,0.09136042,0.27118644,SUSPECT_disp_gt_0.05
2015-05-26,-0.08124404,0.08857838,0.27118644,SUSPECT_disp_gt_0.05
2019-01-02,0.00347919,0.08791932,0.60317460,SUSPECT_disp_gt_0.05
2025-03-31,,0.08646922,0.64705882,SUSPECT_disp_gt_0.05
2021-09-10,0.04183850,0.07932041,0.69230769,SUSPECT_disp_gt_0.05
2017-02-13,0.17068323,0.06808043,0.72131148,SUSPECT_disp_gt_0.05
2017-01-19,0.20012170,0.06764381,0.86885246,SUSPECT_disp_gt_0.05
2015-12-31,-0.02513161,0.06509231,0.36666667,SUSPECT_disp_gt_0.05
2021-07-13,0.05197591,0.06374824,0.49230769,SUSPECT_disp_gt_0.05
2018-02-21,0.04611214,0.06367236,0.68852459,SUSPECT_disp_gt_0.05
2018-01-17,0.04497288,0.06346255,0.70491803,SUSPECT_disp_gt_0.05
2018-03-12,0.07438311,0.06328444,0.63934426,SUSPECT_disp_gt_0.05
2018-02-12,0.03496420,0.06313696,0.73770492,SUSPECT_disp_gt_0.05
2015-06-09,-0.08518995,0.06251667,0.35593220,SUSPECT_disp_gt_0.05
2021-07-05,0.06486547,0.06152305,0.56923077,SUSPECT_disp_gt_0.05
2021-05-07,0.03100110,0.05445119,0.81538462,SUSPECT_disp_gt_0.05
