annee,n_obs,pct_vmq_dispo,vmq_median,pct_vmq_ge_500k,n_titres
2015,7539,86.28,49372.582500000004,22.87,55
2016,13737,99.78,139596.22,33.36,56
2017,13864,100.0,319561.9875,43.93,56
2018,13689,99.79,182907.9649999999,39.66,57
2019,14027,99.94,146049.17749999982,36.33,57
2020,14683,99.8,213592.39499999976,39.38,60
2021,14945,99.87,443216.895,48.53,61
2022,15914,99.15,250619.42900000006,41.71,68
2023,17057,99.91,260019.1165,41.6,69
2024,17083,99.88,531638.25,50.56,70
2025,17468,99.68,1264766.925,59.95,73
2026,4313,99.81,1001507.8,56.57,73
