cell,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto
1,2018-07,2018-07-31,ok,,41,39,0.271402,0.008385,0.4516,24
1,2018-08,2018-08-31,ok,,46,40,0.264649,0.007153,0.5515,19
1,2018-09,2018-09-28,ok,,48,43,0.24658,0.006997,0.6156,21
1,2018-10,2018-10-31,ok,,41,35,0.234287,0.008104,0.5642,19
1,2018-11,2018-11-30,ok,,40,36,0.303763,0.009467,0.578,20
1,2018-12,2018-12-31,ok,,42,37,0.290703,0.00889,0.7187,24
1,2019-01,2019-01-31,ok,,43,42,0.314969,0.007793,0.6692,21
1,2019-02,2019-02-28,ok,,39,34,0.321276,0.008294,0.6893,22
1,2019-03,2019-03-29,ok,,44,41,0.259318,0.006636,0.5169,19
1,2019-04,2019-04-30,ok,,44,39,0.310658,0.006779,0.6505,21
1,2019-05,2019-05-31,ok,,41,40,0.268029,0.008166,0.6243,22
1,2019-06,2019-06-28,ok,,44,40,0.255713,0.007243,0.7348,22
1,2019-07,2019-07-31,ok,,41,39,0.222521,0.006752,0.6044,22
1,2019-08,2019-08-30,ok,,39,39,0.285252,0.007979,0.5995,20
1,2019-09,2019-09-30,ok,,45,43,0.301878,0.008134,0.5923,23
1,2019-10,2019-10-31,ok,,44,33,0.243186,0.007119,0.6903,21
1,2019-11,2019-11-29,ok,,41,36,0.275029,0.007379,0.7114,22
1,2019-12,2019-12-31,ok,,41,39,0.255395,0.007292,0.8406,19
1,2020-01,2020-01-31,ok,,45,42,0.234125,0.007338,0.8691,24
1,2020-02,2020-02-28,ok,,44,41,0.246728,0.007546,0.6655,22
1,2020-03,2020-03-31,ok,,46,40,0.278663,0.01351,0.5715,22
1,2020-04,2020-04-30,ok,,42,39,0.26564,0.013556,0.6224,20
1,2020-05,2020-05-29,ok,,35,30,0.265364,0.013263,0.599,18
1,2020-06,2020-06-30,ok,,40,35,0.312462,0.011515,0.6192,19
1,2020-07,2020-07-29,ok,,47,35,0.300867,0.009165,0.4069,20
1,2020-08,2020-08-31,ok,,46,39,0.270069,0.010967,0.4705,20
1,2020-09,2020-09-30,ok,,41,37,0.390314,0.011706,0.4803,24
1,2020-10,2020-10-28,ok,,42,38,0.31389,0.012822,0.637,22
1,2020-11,2020-11-30,ok,,42,34,0.203194,0.012933,0.6634,20
1,2020-12,2020-12-31,ok,,44,39,0.379966,0.010436,0.4655,23
1,2021-01,2021-01-29,ok,,43,42,0.172854,0.015848,0.785,18
1,2021-02,2021-02-26,ok,,43,39,0.191073,0.017289,0.7389,21
1,2021-03,2021-03-31,ok,,41,35,0.212926,0.015336,0.7184,17
1,2021-04,2021-04-30,ok,,45,42,0.207374,0.014471,0.7394,19
1,2021-05,2021-05-31,ok,,46,41,0.230843,0.012527,0.7922,20
1,2021-06,2021-06-30,ok,,48,38,0.226539,0.012174,0.8767,25
1,2021-07,2021-07-29,ok,,37,33,0.226981,0.017245,0.6286,21
1,2021-08,2021-08-31,ok,,34,28,0.301898,0.016543,0.8135,21
1,2021-09,2021-09-30,ok,,34,28,0.261553,0.01514,0.8891,21
1,2021-10,2021-10-29,ok,,38,33,0.312038,0.014483,0.85,21
1,2021-11,2021-11-30,ok,,39,37,0.303569,0.014882,0.7695,20
1,2021-12,2021-12-31,ok,,32,30,0.348902,0.013718,0.6993,23
1,2022-01,2022-01-31,ok,,37,35,0.327776,0.011478,0.7707,26
1,2022-02,2022-02-28,ok,,34,27,0.318146,0.011852,0.7938,24
1,2022-03,2022-03-31,ok,,41,34,0.210691,0.010531,0.8845,22
1,2022-04,2022-04-29,ok,,40,35,0.19431,0.008103,0.7157,15
1,2022-05,2022-05-31,ok,,43,38,0.132537,0.009928,0.7712,21
