month,date_rebalance,sol_id,feasibility_stage,n_feasible,n_pareto,cvar_masi,cvar_limit,l_min,expected_alpha_opt,cvar_95,liquidity_L_weighted,n_positions,same_as_knee,same_as_unconstrained_max_alpha,cvar_ok,L_ok
2018-07,2018-07-31,18,cvar_only,19,19,0.013246,0.011922,0.9820137900379085,0.919864,0.011083,0.3894,28,False,True,True,False
2018-08,2018-08-31,4,cvar_only,20,20,0.013246,0.011922,0.9820137900379085,0.857493,0.006636,0.3342,29,False,True,True,False
2018-09,2018-09-28,1,cvar_only,23,23,0.013285,0.011956,0.9820137900379085,1.329924,0.010275,0.5896,23,False,True,True,False
2018-10,2018-10-31,7,cvar_only,22,22,0.01323,0.011907,0.9820137900379085,1.763547,0.011569,0.2036,18,False,True,True,False
2018-11,2018-11-30,1,cvar_only,21,21,0.01323,0.011907,0.9820137900379085,1.175688,0.011014,0.3337,22,False,True,True,False
2018-12,2018-12-31,0,cvar_only,18,18,0.013164,0.011847,0.9820137900379085,1.318278,0.009165,0.5891,18,False,True,True,False
2019-01,2019-01-31,16,cvar_only,20,20,0.01314,0.011826,0.9820137900379085,0.877476,0.011062,0.3983,22,False,True,True,False
2019-02,2019-02-28,2,cvar_only,23,23,0.013114,0.011803,0.9820137900379085,0.986082,0.009956,0.6831,26,False,True,True,False
2019-03,2019-03-29,1,cvar_only,18,18,0.013207,0.011886,0.9820137900379085,0.965959,0.010237,0.2544,27,False,True,True,False
2019-04,2019-04-30,3,cvar_only,18,18,0.013175,0.011857,0.9820137900379085,0.876218,0.008686,0.6294,30,False,True,True,False
2019-05,2019-05-31,0,cvar_only,20,20,0.013191,0.011872,0.9820137900379085,0.692578,0.00914,0.619,26,False,True,True,False
2019-06,2019-06-28,8,cvar_only,22,22,0.01316,0.011844,0.9820137900379085,0.847952,0.009678,0.5396,25,False,True,True,False
2019-07,2019-07-31,18,cvar_only,20,20,0.013129,0.011816,0.9820137900379085,0.951085,0.009743,0.5566,29,False,True,True,False
2019-08,2019-08-30,14,cvar_only,20,20,0.013098,0.011788,0.9820137900379085,1.010394,0.009995,0.4224,23,False,True,True,False
2019-09,2019-09-30,5,cvar_only,18,18,0.013068,0.011761,0.9820137900379085,1.250022,0.007709,0.4727,24,False,True,True,False
2019-10,2019-10-31,14,cvar_only,20,20,0.013037,0.011734,0.9820137900379085,0.945216,0.009723,0.6325,32,False,True,True,False
2019-11,2019-11-29,17,cvar_only,19,19,0.013007,0.011707,0.9820137900379085,0.809947,0.008846,0.7695,29,False,True,True,False
2019-12,2019-12-31,13,cvar_only,21,21,0.012978,0.01168,0.9820137900379085,0.833413,0.009532,0.6416,37,False,True,True,False
2020-01,2020-01-31,12,cvar_only,19,19,0.012948,0.011653,0.9820137900379085,0.631527,0.009516,0.8039,32,False,True,True,False
2020-02,2020-02-28,14,cvar_only,21,21,0.013038,0.011735,0.9820137900379085,0.745504,0.00912,0.6445,30,False,True,True,False
2020-03,2020-03-31,16,cvar_only,8,21,0.015188,0.013669,0.9820137900379085,1.258708,0.013075,0.3561,27,False,False,True,False
2020-04,2020-04-30,6,cvar_only,17,18,0.015346,0.013811,0.9820137900379085,1.29558,0.01286,0.6495,26,False,True,True,False
2020-05,2020-05-29,6,cvar_only,5,20,0.01543,0.013887,0.9820137900379085,1.141993,0.01341,0.4781,25,False,False,True,False
2020-06,2020-06-30,0,cvar_only,18,22,0.015403,0.013862,0.9820137900379085,1.101538,0.012357,0.4218,29,False,False,True,False
2020-07,2020-07-29,5,cvar_only,14,24,0.015358,0.013822,0.9820137900379085,0.692532,0.012203,0.4207,28,False,False,True,False
2020-08,2020-08-31,20,cvar_only,12,21,0.01532,0.013788,0.9820137900379085,0.715047,0.012528,0.304,28,False,False,True,False
2020-09,2020-09-30,0,cvar_only,14,20,0.015285,0.013757,0.9820137900379085,1.863155,0.011948,0.1664,26,False,True,True,False
2020-10,2020-10-28,2,cvar_only,13,20,0.015243,0.013719,0.9820137900379085,2.318455,0.013193,0.2494,25,False,False,True,False
2020-11,2020-11-30,17,cvar_only,5,22,0.015226,0.013704,0.9820137900379085,0.873149,0.012329,0.4126,26,False,False,True,False
2020-12,2020-12-31,10,cvar_only,12,18,0.015341,0.013807,0.9820137900379085,2.033036,0.011463,0.2544,26,False,True,True,False
2021-01,2021-01-29,0,cvar_only,3,24,0.015298,0.013769,0.9820137900379085,1.154602,0.013554,0.6297,17,False,False,True,False
2021-02,2021-02-26,11,cvar_only,7,23,0.015257,0.013731,0.9820137900379085,1.272469,0.012364,0.2936,26,False,False,True,False
2021-03,2021-03-31,16,cvar_only,8,20,0.015215,0.013694,0.9820137900379085,0.872102,0.011899,0.7832,31,False,False,True,False
2021-04,2021-04-30,1,cvar_only,20,25,0.015134,0.013621,0.9820137900379085,1.558814,0.013506,0.866,25,False,False,True,False
2021-05,2021-05-31,16,cvar_and_L,1,27,0.015156,0.013641,0.9820137900379085,0.843394,0.011601,0.9836,25,False,False,True,True
2021-06,2021-06-30,13,cvar_and_L,1,20,0.015077,0.013569,0.9820137900379085,1.305913,0.012599,0.9853,29,False,False,True,True
2021-07,2021-07-29,1,cvar_only,14,25,0.015053,0.013548,0.9820137900379085,1.210167,0.012779,0.4937,36,False,True,True,False
2021-08,2021-08-31,6,cvar_only,8,16,0.015015,0.013513,0.9820137900379085,1.864251,0.013423,0.8095,26,False,False,True,False
2021-09,2021-09-30,17,cvar_only,13,22,0.014977,0.013479,0.9820137900379085,1.029418,0.012838,0.7897,33,False,False,True,False
2021-10,2021-10-29,2,cvar_only,18,22,0.014939,0.013445,0.9820137900379085,1.011694,0.013234,0.8041,33,False,False,True,False
2021-11,2021-11-30,9,cvar_only,8,19,0.014901,0.013411,0.9820137900379085,0.768672,0.012211,0.7313,31,False,False,True,False
2021-12,2021-12-31,0,cvar_only,10,22,0.014864,0.013377,0.9820137900379085,1.04099,0.012168,0.5022,32,False,False,True,False
2022-01,2022-01-31,16,cvar_only,21,24,0.014827,0.013344,0.9820137900379085,0.78858,0.013322,0.8112,36,False,True,True,False
2022-02,2022-02-28,2,cvar_only,19,22,0.015,0.0135,0.9820137900379085,1.076933,0.011991,0.6436,27,False,True,True,False
2022-03,2022-03-31,19,cvar_only,20,20,0.015245,0.01372,0.9820137900379085,0.76413,0.0119,0.633,37,False,True,True,False
2022-04,2022-04-29,0,cvar_only,15,15,0.015206,0.013686,0.9820137900379085,0.68868,0.010375,0.7983,40,False,True,True,False
2022-05,2022-05-31,1,cvar_only,19,19,0.015279,0.013751,0.9820137900379085,0.878791,0.009862,0.5211,33,False,True,True,False
2022-06,2022-06-30,1,cvar_only,20,20,0.01534,0.013806,0.9820137900379085,0.778625,0.011218,0.8675,36,False,True,True,False
2022-07,2022-07-29,16,cvar_only,20,20,0.015414,0.013873,0.9820137900379085,0.872083,0.01138,0.5242,34,False,True,True,False
2022-08,2022-08-31,4,cvar_only,19,19,0.015376,0.013838,0.9820137900379085,1.120113,0.010655,0.5308,32,False,True,True,False
2022-09,2022-09-30,0,cvar_only,23,23,0.015426,0.013884,0.9820137900379085,0.919891,0.010768,0.7004,36,False,True,True,False
2022-10,2022-10-31,8,cvar_only,22,24,0.015515,0.013964,0.9820137900379085,0.756465,0.013498,0.7684,34,False,False,True,False
2022-11,2022-11-30,3,cvar_only,14,19,0.015556,0.014,0.9820137900379085,0.772749,0.012844,0.3601,34,False,True,True,False
2022-12,2022-12-30,18,cvar_only,19,22,0.015609,0.014048,0.9820137900379085,0.976548,0.013603,0.6751,34,False,True,True,False
2023-01,2023-01-31,1,cvar_only,18,22,0.015958,0.014363,0.9820137900379085,0.863479,0.010649,0.3725,35,False,True,True,False
2023-02,2023-02-28,10,cvar_only,14,20,0.015955,0.01436,0.9820137900379085,1.083556,0.013101,0.5771,33,False,False,True,False
2023-03,2023-03-31,3,cvar_only,23,23,0.015934,0.014341,0.9820137900379085,1.107693,0.012066,0.4629,37,False,True,True,False
2023-04,2023-04-28,18,cvar_only,17,19,0.015896,0.014307,0.9820137900379085,1.389253,0.013527,0.4474,34,False,True,True,False
2023-05,2023-05-31,19,cvar_only,18,20,0.015859,0.014273,0.9820137900379085,1.158137,0.010249,0.4,35,False,True,True,False
2023-06,2023-06-28,21,cvar_only,24,24,0.015873,0.014286,0.9820137900379085,0.970319,0.00965,0.4856,43,False,True,True,False
2023-07,2023-07-31,19,cvar_only,21,21,0.015836,0.014252,0.9820137900379085,0.993553,0.012475,0.9215,48,False,True,True,False
2023-08,2023-08-31,19,cvar_only,23,23,0.015799,0.014219,0.9820137900379085,1.13996,0.011978,0.9247,35,False,True,True,False
2023-09,2023-09-27,4,cvar_only,20,20,0.015763,0.014187,0.9820137900379085,0.972567,0.01403,0.9596,43,False,True,True,False
2023-10,2023-10-31,4,cvar_only,17,24,0.015727,0.014154,0.9820137900379085,1.019092,0.011978,0.7683,31,False,False,True,False
2023-11,2023-11-30,9,cvar_only,18,18,0.015691,0.014122,0.9820137900379085,0.933586,0.011983,0.876,41,False,True,True,False
2023-12,2023-12-29,11,cvar_only,14,14,0.015656,0.01409,0.9820137900379085,1.012796,0.012995,0.9437,32,False,True,True,False
2024-01,2024-01-31,20,cvar_and_L,2,21,0.015645,0.01408,0.9820137900379085,0.923787,0.012666,0.9865,31,False,False,True,True
2024-02,2024-02-29,0,cvar_and_L,5,21,0.01561,0.014049,0.9820137900379085,1.366528,0.013867,0.9969,26,False,False,True,True
2024-03,2024-03-29,5,cvar_and_L,6,23,0.015575,0.014018,0.9820137900379085,1.341315,0.01326,0.9901,29,False,False,True,True
2024-04,2024-04-30,17,cvar_and_L,4,25,0.015551,0.013996,0.9820137900379085,1.178729,0.013524,0.9832,36,False,False,True,True
2024-05,2024-05-31,20,cvar_only,18,23,0.015517,0.013966,0.9820137900379085,1.411856,0.013469,0.6274,34,False,True,True,False
2024-06,2024-06-28,15,cvar_and_L,1,23,0.015509,0.013958,0.9820137900379085,0.908255,0.011379,0.9846,35,False,False,True,True
2024-07,2024-07-31,8,cvar_and_L,3,19,0.015476,0.013928,0.9820137900379085,1.118363,0.010786,0.9882,29,False,False,True,True
2024-08,2024-08-30,0,cvar_only,24,26,0.015547,0.013992,0.9820137900379085,1.3259,0.012054,0.7574,30,False,False,True,False
2024-09,2024-09-30,0,cvar_only,30,31,0.015514,0.013962,0.9820137900379085,1.344813,0.013172,0.844,30,False,True,True,False
2024-10,2024-10-31,3,cvar_only,23,23,0.015512,0.013961,0.9820137900379085,1.249735,0.012798,0.6918,26,False,True,True,False
