ticker,name
PRO,PROMOPHARM
CRS,CARTIER SAADA
MAB,MAB
SID,SONASID
RIS,RISMA
SMI,SMI
MIC,MICRODATA VN 25 DHS
MSA,SODEP-MARSA MAROC
CDM,CDM
AGM,AGMA- LAHLOU TAZI
CMG,CMGP GROUP
ATH,AUTO-HALL 
MUT,MUTANDIS
TGC,TGCC
SNP,SNEP
ZDJ,ZELLIDJA
TQM,TAQA MOROCCO 
VCN,VICENNE
INV,INVOLYS
BAL,BALIMA
AKT,AKDITAL
MOX,MOX
SAH,SANLAM  MAROC
DYT,DISTY TECHNOLOGIES
CAP,CASH PLUS
COL,COLORADO
DWY,DISWAY
BOA,BOA
DLM,DLM
HPS,HPS (VN 10)
RDS,RESIDENCES DAR SAADA
IAM,ITISSALAT AL MAGHRIB
BCI,BMCI
LES,LESIEUR
GTM,SGTM
SRM,SRM
LHM,LAFARGE-HOLCIM MAROC
SOT,SOTHEMA
AFM,AFMA
FBR,FENIE BROSSETTE
IMO,IMMORENT INVEST
ATW,ATW
ALM,ALUMINIUM DU MAROC
MNG,MANAGEM
TMA,TOTALENERGIES MARKETING MAROC
ATL,ATLANTASANAD
JET,JET CONTRACTORS
ADI,ALLIANCES
STR,STROC INDUSTRIE
IBC,IB MAROC.COM SA
NKL,ENNAKL
MDP,MDP
ARD,ARADEI CAPITAL
NEJ,AUTO NEJMA 
DRI,DARI
EQD,CREDIT EQDOM
BCP,BCP
CSR,COSUMAR
M2M,M2M
REB,REBAB COMPANY 
CMA,CIMENTS DU MAROC
UMR,UNIMER
OUL,OULMES
CIH,CIH
ADH,ADDOHA
MLE,MLE
SBM,SOCIETE DE BOISSONS DU MAROC
LBV,LABEL VIE
CFG,CFG
WAA,WAFA ASSURANCE
SLF,SALAFIN
AFI,AFRIC INDUSTRIES
GAZ,AFRIQUIA GAZ 
DHO,DELTA HOLDING
S2M,S2M
CTM,CTM SA
SNA,STOKVIS NORD-AFRIQUE VN 10
CMT,CMT
