month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days,portfolio_alpha,portfolio_cvar,portfolio_liquidity,date_rebalance,regime_market,wealth100_net,cell,selection_method
2018-07,2018-07-31,0.0008902818501517,0.0039024447189548,1.0000000000000002,0.003,31,0.4267198485431848,17,0.1212,0.008687,0.4267,2018-07-31,bear,100.08902818501517,C2,knee_utopia_distance
2018-08,2018-08-31,-0.028040509545735,-0.0252731611101156,0.9419447655425636,0.0028258342966276,31,0.4857549700046671,18,0.140372,0.008203,0.4857,2018-08-31,bear,97.28248083476991,C2,knee_utopia_distance
2018-09,2018-09-28,-0.0154948428776436,-0.0127522077420856,0.9205947423668344,0.0027617842271005,33,0.6259929244731672,23,0.11732,0.00798,0.626,2018-09-28,bear,95.77510407948779,C2,knee_utopia_distance
2018-10,2018-10-31,0.0121343804060285,0.015285375719211,1.0378783820876103,0.0031136351462628,27,0.4150168317604267,18,0.136428,0.010311,0.415,2018-10-31,bear,96.93727562581526,C2,knee_utopia_distance
2018-11,2018-11-30,0.0155992406607283,0.0178236803323239,0.728744915642022,0.002186234746926,27,0.5465744943575114,20,0.162422,0.00911,0.5466,2018-11-30,bear,98.44942351729772,C2,knee_utopia_distance
2018-12,2018-12-31,0.0115453683547013,0.0142757231536503,0.8942902156173107,0.0026828706468519,40,0.7010015610741189,20,0.262607,0.008641,0.701,2018-12-31,neutral,99.58605837611292,C2,knee_utopia_distance
2019-01,2019-01-31,-0.0083888399885004,-0.0054596454548887,0.987831537458377,0.0029634946123751,33,0.6119774296481886,19,0.329754,0.008108,0.612,2019-01-31,neutral,98.75064686731025,C2,knee_utopia_distance
2019-02,2019-02-28,-0.0081962422160742,-0.0063304316623074,0.6265486161366274,0.0018796458484098,33,0.7415033687477264,20,0.270914,0.008122,0.7414,2019-02-28,neutral,97.94126264659178,C2,knee_utopia_distance
2019-03,2019-03-29,0.00587980563409,0.0086996744436187,0.9339448978045536,0.0028018346934136,39,0.5376816054410509,22,0.233722,0.00682,0.5376,2019-03-29,neutral,98.51713823451111,C2,knee_utopia_distance
2019-04,2019-04-30,-0.0109280802115973,-0.0090943291720524,0.6137850454725903,0.0018413551364177,38,0.6278444949075073,21,0.305505,0.006578,0.6279,2019-04-30,neutral,97.44053504566735,C2,knee_utopia_distance
2019-05,2019-05-31,0.0151203304339748,0.0170780761414388,0.6452367349479624,0.0019357102048438,34,0.5629353726972374,16,0.160655,0.007839,0.5629,2019-05-31,bear,98.91386813322114,C2,knee_utopia_distance
2019-06,2019-06-28,0.0129081656638101,0.0154772601968253,0.8392428450177837,0.0025177285350533,37,0.6825475040884257,22,0.275872,0.007192,0.6825,2019-06-28,neutral,100.19066472953301,C2,knee_utopia_distance
2019-07,2019-07-31,0.0063844932990029,0.0087728841269398,0.7889785200363689,0.0023669355601091,42,0.556805501445641,16,0.403899,0.006303,0.5568,2019-07-31,bull,100.83033135712137,C2,knee_utopia_distance
2019-08,2019-08-30,0.001324720435808,0.0039856361675687,0.8801655695643137,0.0026404967086929,37,0.6460388608214469,20,0.23663,0.008432,0.646,2019-08-30,neutral,100.96390335761942,C2,knee_utopia_distance
2019-09,2019-09-30,0.0049692150866615,0.008001522396952,1.0039136150237806,0.0030117408450713,36,0.6143940371580859,22,0.296032,0.006486,0.6144,2019-09-30,neutral,101.46561470939236,C2,knee_utopia_distance
2019-10,2019-10-31,0.0247388942094004,0.0272138664424985,0.8057491393603637,0.002417247418081,39,0.673222721308236,17,0.231275,0.007305,0.6732,2019-10-31,neutral,103.9757618175798,C2,knee_utopia_distance
2019-11,2019-11-29,0.0156152382732024,0.0183445922624714,0.8951831729189755,0.0026855495187569,33,0.7023831658823054,21,0.248134,0.007022,0.7024,2019-11-29,neutral,105.59936811299903,C2,knee_utopia_distance
2019-12,2019-12-31,0.0219125323541853,0.0242531990568595,0.7638329956125617,0.0022914989868376,43,0.8067966240092272,21,0.440997,0.007218,0.8068,2019-12-31,bull,107.91331768335665,C2,knee_utopia_distance
2020-01,2020-01-31,-0.0109471640936915,-0.0089937532003054,0.6566823312429818,0.0019700469937289,45,0.8182388373962417,19,0.424431,0.007096,0.8182,2020-01-31,bull,106.73197288678229,C2,knee_utopia_distance
2020-02,2020-02-28,-0.155311851010694,-0.1534698498460616,0.7149410438811705,0.0021448231316435,41,0.6375591703524959,21,0.201039,0.007049,0.6376,2020-02-28,neutral,90.15523261571292,C2,knee_utopia_distance
2020-03,2020-03-31,-0.021557182643821,-0.0178655405132163,1.2513180862323747,0.0037539542586971,27,0.5624498543156852,21,0.183738,0.015094,0.5624,2020-03-31,bear,88.21173979991983,C2,knee_utopia_distance
2020-04,2020-04-30,0.0460075019531325,0.0487792048019539,0.8867002164976232,0.0026601006494928,24,0.5138296103921024,18,0.168324,0.013395,0.5138,2020-04-30,bear,92.27014159105386,C2,knee_utopia_distance
2020-05,2020-05-29,0.0080349867154811,0.0110436515412097,0.9980482998670686,0.0029941448996012,28,0.6165718051784325,21,0.276817,0.014064,0.6166,2020-05-29,neutral,93.01153095297354,C2,knee_utopia_distance
2020-06,2020-06-30,-0.0282432990597016,-0.0244165516094858,1.30965958204916,0.0039289787461474,39,0.6659623827171125,20,0.490387,0.012444,0.6661,2020-06-30,bull,90.38457846826802,C2,knee_utopia_distance
2020-07,2020-07-29,-0.0152166157051542,-0.0120821225636129,1.0507581099415026,0.0031522743298245,39,0.3694483777393466,17,0.316318,0.008507,0.3694,2020-07-29,neutral,89.00923107204403,C2,knee_utopia_distance
2020-08,2020-08-31,-0.0075803141972343,-0.0056092501751203,0.6609424025337494,0.0019828272076012,36,0.4569193723904829,21,0.272778,0.009747,0.4568,2020-08-31,neutral,88.33451313406371,C2,knee_utopia_distance
2020-09,2020-09-30,0.0154248637163825,0.0186149907924726,1.045829786124392,0.0031374893583731,38,0.5084013516889567,19,0.371609,0.012021,0.5083,2020-09-30,neutral,89.69706096060965,C2,knee_utopia_distance
2020-10,2020-10-28,0.0259894299717458,0.0294622703478699,1.1243853546734124,0.0033731560640202,39,0.6464139341040059,18,0.327542,0.012717,0.6464,2020-10-28,neutral,92.02823644511682,C2,knee_utopia_distance
2020-11,2020-11-30,0.0060419736968102,0.0083966977960707,0.7775129074493695,0.0023325387223481,42,0.6642270737503597,22,0.293824,0.012775,0.6642,2020-11-30,bull,92.58426862908205,C2,knee_utopia_distance
2020-12,2020-12-31,0.0330520301691883,0.0366526230771329,1.1591829749130982,0.0034775489247392,40,0.5168757746782202,18,0.506803,0.011533,0.517,2020-12-31,bull,95.64436666900271,C2,knee_utopia_distance
2021-01,2021-01-29,-0.0205790105227702,-0.017349950064636,1.0980348969092903,0.0032941046907278,41,0.7062921710068281,19,0.322623,0.013868,0.7063,2021-01-29,bull,93.6761002408776,C2,knee_utopia_distance
2021-02,2021-02-26,-0.0040680431079307,-0.0013323336005752,0.913473145655748,0.0027404194369672,39,0.6584120798358274,22,0.17267,0.016153,0.6584,2021-02-26,neutral,93.29502182691488,C2,knee_utopia_distance
2021-03,2021-03-31,0.0196768668352569,0.0231623305194845,1.1328148042443402,0.003398444412733,37,0.7032261687696508,21,0.154288,0.014386,0.7032,2021-03-31,neutral,95.13077554779547,C2,knee_utopia_distance
2021-04,2021-04-30,0.0323899190601764,0.036263154696114,1.2493128173094148,0.0037479384519282,25,0.7411076456361816,18,0.208991,0.014427,0.7409,2021-04-30,neutral,98.21205366792037,C2,knee_utopia_distance
2021-05,2021-05-31,0.0504649228407396,0.0543037142024187,1.2236210045279996,0.0036708630135839,46,0.8312304019302945,21,0.321645,0.009992,0.8312,2021-05-31,bull,103.16831737830256,C2,knee_utopia_distance
2021-06,2021-06-30,0.0037695850184829,0.0065627415326932,0.92506730032199,0.0027752019009659,48,0.7515948857484382,18,0.343162,0.007686,0.7515,2021-06-30,bull,103.5572191218739,C2,knee_utopia_distance
