cell,periode,n_months,note,Rendement,Volatilite,Sharpe,Sortino,CVaR,Max_DD,Turnover,Liquidite
C1,2010–2014,0,aucun mois de décision,,,,,,,,
C1,2015–2019,18,,0.0518,0.0709,0.747,1.299,0.0091,-0.0504,0.8325,0.6335
C1,2020–2022,36,,-0.0221,0.1113,-0.145,-0.198,0.0179,-0.2154,0.9862,0.6864
C1,2023–2025,30,,0.305,0.1197,2.285,3.77,0.0169,-0.1055,0.9557,0.786
C2,2010–2014,0,aucun mois de décision,,,,,,,,
C2,2015–2019,18,,0.0559,0.0743,0.769,1.371,0.0093,-0.0468,0.8504,0.6092
C2,2020–2022,36,,-0.027,0.1155,-0.179,-0.244,0.0191,-0.2214,1.0363,0.669
C2,2023–2025,30,,0.3493,0.1167,2.627,4.522,0.0157,-0.0932,0.964,0.7989
C3,2010–2014,0,aucun mois de décision,,,,,,,,
C3,2015–2019,18,,0.0484,0.0766,0.655,1.136,0.0098,-0.0635,0.9898,0.5768
C3,2020–2022,36,,-0.0435,0.1183,-0.316,-0.43,0.0192,-0.2375,1.0004,0.698
C3,2023–2025,30,,0.3829,0.1252,2.654,4.531,0.0167,-0.1109,0.9654,0.8093
C4,2010–2014,0,aucun mois de décision,,,,,,,,
C4,2015–2019,18,,0.0479,0.0786,0.634,1.068,0.0107,-0.0658,0.9851,0.5713
C4,2020–2022,36,,-0.064,0.1195,-0.493,-0.669,0.0196,-0.2412,0.9911,0.7029
C4,2023–2025,30,,0.3559,0.125,2.5,4.31,0.0165,-0.1186,0.9804,0.8103
