fold_id,model_id,groupe,metrique,valeur
0,ridge,classique,ann_return,0.1018
0,ridge,classique,sharpe,0.863
0,ridge,classique,sortino,1.336
0,ridge,classique,cvar_95_realized,0.0181
0,ridge,classique,max_drawdown,-0.243
0,ridge,classique,turnover_mean,0.8311821923746184
0,ridge,classique,liquidity_mean,0.9999998863755089
0,ridge,classique,total_return_block,1.082878770511139
0,rf,classique,ann_return,0.0927
0,rf,classique,sharpe,0.834
0,rf,classique,sortino,1.278
0,rf,classique,cvar_95_realized,0.0173
0,rf,classique,max_drawdown,-0.2312
0,rf,classique,turnover_mean,0.7077228464848874
0,rf,classique,liquidity_mean,0.999985374168009
0,rf,classique,total_return_block,0.9561271844537689
0,lightgbm,classique,ann_return,0.2234
0,lightgbm,classique,sharpe,1.317
0,lightgbm,classique,sortino,2.112
0,lightgbm,classique,cvar_95_realized,0.0238
0,lightgbm,classique,max_drawdown,-0.3543
0,lightgbm,classique,turnover_mean,1.086710013518072
0,lightgbm,classique,liquidity_mean,0.9999977798914056
0,lightgbm,classique,total_return_block,3.6037430649748954
0,hybrid_rf,hybride,ann_return,0.1515
0,hybrid_rf,hybride,sharpe,1.038
0,hybrid_rf,hybride,sortino,1.641
0,hybrid_rf,hybride,cvar_95_realized,0.0213
0,hybrid_rf,hybride,max_drawdown,-0.2928
0,hybrid_rf,hybride,turnover_mean,1.292592591108172
0,hybrid_rf,hybride,liquidity_mean,0.9999999992577897
0,hybrid_rf,hybride,total_return_block,1.9100807485753983
0,hybrid_lgbm,hybride,ann_return,0.2077
0,hybrid_lgbm,hybride,sharpe,1.126
0,hybrid_lgbm,hybride,sortino,1.811
0,hybrid_lgbm,hybride,cvar_95_realized,0.0263
0,hybrid_lgbm,hybride,max_drawdown,-0.3558
0,hybrid_lgbm,hybride,turnover_mean,1.1757991188675903
0,hybrid_lgbm,hybride,liquidity_mean,0.9999999992481664
0,hybrid_lgbm,hybride,total_return_block,3.1751655802681835
0,hybrid_rf_regime,hybride_regime,ann_return,0.1408
0,hybrid_rf_regime,hybride_regime,sharpe,0.97
0,hybrid_rf_regime,hybride_regime,sortino,1.529
0,hybrid_rf_regime,hybride_regime,cvar_95_realized,0.0216
0,hybrid_rf_regime,hybride_regime,max_drawdown,-0.2928
0,hybrid_rf_regime,hybride_regime,turnover_mean,1.403703702296261
0,hybrid_rf_regime,hybride_regime,liquidity_mean,0.9999999992962786
0,hybrid_rf_regime,hybride_regime,total_return_block,1.7110845975109417
