n_estimators,max_depth,min_samples_leaf,rank_ic_val,ic_mean_val,hit_ratio_val
100,4.0,20,0.037221,0.05980853460068914,0.5436645068394529
100,4.0,10,0.03507,0.044861496770037965,0.5428365730741541
100,4.0,5,0.034777,0.05696997198373382,0.5425125989920806
200,4.0,20,0.016402,0.05967937000578883,0.5444564434845213
200,4.0,5,0.011923,0.05343760241378225,0.5426565874730022
200,4.0,10,0.010247,0.04639010778121746,0.5425125989920806
400,4.0,5,0.008646,0.05675881465461766,0.5432685385169187
400,4.0,20,0.006921,0.054166664803047014,0.5434125269978402
400,,20,0.006101,0.010981336505861304,0.5264578833693304
100,,20,0.005838,0.01443901976388887,0.5239380849532037
200,,20,0.005519,0.013817732419153992,0.5277177825773938
400,4.0,10,0.004666,0.044029045385080096,0.543304535637149
400,,5,0.004218,0.004068985805043277,0.5249460043196544
200,,5,0.003037,0.0014452168393304513,0.5254859611231102
100,,5,0.00102,-0.0016069659901594708,0.5248020158387329
200,,10,-0.000692,-0.013783643184348235,0.5258819294456444
400,,10,-0.000869,-0.014418896924120943,0.5280777537796977
100,,10,-0.001019,-0.015650007151069,0.5251619870410367
100,12.0,20,-0.02468,0.010703927711105985,0.506695464362851
200,12.0,20,-0.025206,0.010694090692974959,0.5061915046796256
400,12.0,20,-0.028315,0.006171993894792658,0.5028077753779697
100,8.0,5,-0.031169,0.009211456915695361,0.4945644348452124
100,8.0,20,-0.033966,0.03345543708167667,0.49380849532037435
100,12.0,5,-0.03615,-0.008495757360333932,0.5079193664506839
200,12.0,5,-0.036828,-0.008588566641267796,0.5022678185745141
400,12.0,5,-0.037686,-0.008506309691757995,0.4982361411087113
100,12.0,10,-0.038723,-0.02534976617393653,0.5044996400287977
200,8.0,5,-0.039353,0.00364348022085285,0.49078473722102234
400,12.0,10,-0.03962,-0.028682779038800135,0.49848812095032397
400,8.0,5,-0.039666,0.004021992486952176,0.4944924406047516
200,8.0,20,-0.039684,0.02614627809288703,0.49269258459323256
200,12.0,10,-0.040728,-0.027545541956965715,0.5013678905687545
400,8.0,20,-0.041381,0.02075145723937368,0.49352051835853133
100,8.0,10,-0.043985,-0.02177693996723968,0.4921166306695464
200,8.0,10,-0.046747,-0.024504894738982697,0.489524838012959
400,8.0,10,-0.050419,-0.025007991468605207,0.49377249820014396
