Configuration,cell,recommendation,n,mean,median,std,ci95_low,ci95_high,metric
C1 Ridge,1,BUY,2165,-0.05692881166394078,-0.0366720648934859,3.9082073268906417,-0.22164629936441954,0.10778867603653797,future_alpha
C1 Ridge,1,NEUTRAL,1579,-0.3286826001919997,-0.05325257735333145,8.029466689810292,-0.7250308682146938,0.06766566783069439,future_alpha
C1 Ridge,1,SELL,1034,0.2765927616684184,-0.08710113972994465,6.131749074867586,-0.09758790650017146,0.6507734298370083,future_alpha
C2 Ridge + régime,2,BUY,2064,-0.10203797842041563,-0.04439946255310574,4.946208541973916,-0.3155491192185252,0.11147316237769393,future_alpha
C2 Ridge + régime,2,NEUTRAL,1556,-0.2720947406358703,-0.04411784410562171,7.351903492540798,-0.6376737577721502,0.09348427650040958,future_alpha
C2 Ridge + régime,2,SELL,1158,0.23984630094878867,-0.08342904420037754,5.81798244105383,-0.09559827412939653,0.5752908760269739,future_alpha
C3 Hybrid,3,BUY,1521,-0.04435608187054902,-0.042954710316575925,5.344887774700099,-0.3131800784106809,0.22446791466958288,future_alpha
C3 Hybrid,3,NEUTRAL,1402,0.07265856321637172,-0.022860201299098423,1.0340279966305614,0.01848570649706828,0.12683141993567515,future_alpha
C3 Hybrid,3,SELL,1855,-0.21059056199175347,-0.07994260455184517,8.33729798396929,-0.5902420199664102,0.1690608959829033,future_alpha
C4 Hybrid + régime,4,BUY,1523,-0.04217403497269242,-0.045277327342993993,5.338493018764355,-0.3104997665936743,0.22615169664828946,future_alpha
C4 Hybrid + régime,4,NEUTRAL,1400,0.07254347709922497,-0.021013023593293288,1.0487621633045776,0.01755939530409273,0.1275275588943572,future_alpha
C4 Hybrid + régime,4,SELL,1855,-0.212169056639331,-0.07994858819903222,8.337463894273474,-0.591828069590312,0.16748995631164998,future_alpha
