Configuration,cell,recommendation,n,mean,median,std,ci95_low,ci95_high,metric
C1 Ridge,1,BUY,2165,0.017374725094037716,-0.005393223892093069,0.1639979743489449,0.010462774917582391,0.02428667527049304,future_excess
C1 Ridge,1,NEUTRAL,1579,0.005612356674207905,-0.01081574116610029,0.17896201030784847,-0.0032215155576041845,0.014446228906019995,future_excess
C1 Ridge,1,SELL,1034,0.01819487593838206,-0.01708867606814085,0.1852666323377564,0.006889261271007044,0.029500490605757074,future_excess
C2 Ridge + régime,2,BUY,2064,0.017698220402312302,-0.006964776814814111,0.16642449499105488,0.01051423624945068,0.024882204555173926,future_excess
C2 Ridge + régime,2,NEUTRAL,1556,0.009265217975497777,-0.00912449472464949,0.18274625538292055,0.0001780208304309333,0.01835241512056462,future_excess
C2 Ridge + régime,2,SELL,1158,0.012388503158208867,-0.017302818228864925,0.17445989841095533,0.0023297539124744523,0.022447252403943282,future_excess
C3 Hybrid,3,BUY,1521,0.022055819914591122,-0.006982269940787322,0.18061841769292009,0.012971519749712536,0.03114012007946971,future_excess
C3 Hybrid,3,NEUTRAL,1402,0.01445608650927783,-0.004106308001204595,0.16276794821605162,0.005928653242542471,0.02298351977601319,future_excess
C3 Hybrid,3,SELL,1855,0.006187254642238479,-0.016093232167943783,0.17600784816074727,-0.0018275286002091794,0.014202037884686138,future_excess
C4 Hybrid + régime,4,BUY,1523,0.021290509571583554,-0.007746230663794651,0.1802359200127819,0.01223141088365377,0.030349608259513338,future_excess
C4 Hybrid + régime,4,NEUTRAL,1400,0.015614220697855582,-0.003554116532610396,0.1632015995448875,0.007057952735062512,0.02417048866064865,future_excess
C4 Hybrid + régime,4,SELL,1855,0.005933335678131222,-0.016093771541579094,0.17601854164664618,-0.0020819345083503615,0.013948605864612804,future_excess
