month,decision_date,holding_start_exclusive,holding_end_inclusive,holding_period_label,cell,ticker,recommendation,weight,alpha,liquidity_L,vmq,realized_return_holding,contribution_gross,portfolio_alpha,portfolio_cvar,portfolio_liquidity,turnover,transaction_cost,gross_return,net_return
2018-07,2018-07-31,2018-07-31,2018-08-31,(2018-07 rebalance] → 2018-08,C4,LES,NEUTRAL,0.28456505859889375,-0.037099748937775574,0.999999999584638,1600116.9100000008,-0.01885565669700917,-0.005365661052905038,1.245057,0.023695,0.9997,1.0,0.003,-0.012341498140941543,-0.015291140010379345
2018-07,2018-07-31,2018-07-31,2018-08-31,(2018-07 rebalance] → 2018-08,C4,LBV,BUY,0.27459850154585336,0.45371556034520155,0.9990683093555535,686098.6,-0.04722891566265064,-0.01296898947059935,1.245057,0.023695,0.9997,1.0,0.003,-0.012341498140941543,-0.015291140010379345
2018-07,2018-07-31,2018-07-31,2018-08-31,(2018-07 rebalance] → 2018-08,C4,JET,BUY,0.266036266820179,4.095372619677605,0.9999975294466167,1056941.62,0.002949852507374562,0.000784767748732073,1.245057,0.023695,0.9997,1.0,0.003,-0.012341498140941543,-0.015291140010379345
2018-07,2018-07-31,2018-07-31,2018-08-31,(2018-07 rebalance] → 2018-08,C4,TQM,BUY,0.17480017303507392,0.23745455441265798,0.999999999985981,1811913.0,0.023809523809523725,0.00416190888178746,1.245057,0.023695,0.9997,1.0,0.003,-0.012341498140941543,-0.015291140010379345
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,IAM,NEUTRAL,0.34427364757093637,-0.030532811808238573,1.0,8413317.717500001,0.013503909026297167,0.004649040016949418,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,SLF,NEUTRAL,0.16963767061926818,0.014053080550053956,0.9999999992949413,1567046.25,-0.020618556701030966,-0.0034976839302941955,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,DHO,NEUTRAL,0.14593231808734253,-0.03835569643542584,0.9999979693420633,1069196.7925,-0.10215827338129502,-0.014908193646332842,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,SBM,NEUTRAL,0.0922646085112876,0.01445054641524339,0.9989030893086733,675885.0,0.02473498233215543,0.002282163461409936,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,JET,BUY,0.0809574415133491,1.006319205127638,0.9985508728338357,658458.98,-0.029130434782608683,-0.002358325470171473,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,LBV,BUY,0.07577828163961277,0.33354216870748665,0.9932021511299907,561520.5,-0.01365705614567525,-0.0010349082469749836,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,BCI,NEUTRAL,0.04841445778578845,0.04517331574988864,0.9940220062076021,569604.6449999999,0.03866666666666663,0.0018720257010504848,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,TQM,NEUTRAL,0.022734622020120922,0.030953621392051746,0.9999999999999996,2464759.95,0.05562803937848404,0.001264682448990237,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-08,2018-08-31,2018-08-31,2018-09-28,(2018-08 rebalance] → 2018-09,C4,CIH,NEUTRAL,0.020006952252294225,0.029261263239444668,0.9952550090970593,584119.3425,-0.06375838926174493,-0.0012756110496429196,0.097829,0.010605,0.9989,1.6410593096538348,0.004923177928961505,-0.006229475659320194,-0.011153503215203142
2018-09,2018-09-28,2018-09-28,2018-10-31,(2018-09 rebalance] → 2018-10,C4,IAM,BUY,0.395952556491923,1.5926374303859456,1.0,17103122.43,-0.030855539971949564,-0.012217329933832148,0.659845,0.008976,1.0,1.0144164012132664,0.0030432492036398,-0.009683128555316722,-0.012702234138120438
2018-09,2018-09-28,2018-09-28,2018-10-31,(2018-09 rebalance] → 2018-10,C4,IMO,NEUTRAL,0.35998251544301657,0.016440189993367757,0.9999031740451148,827656.165,0.015073258142721535,0.00542610938213883,0.659845,0.008976,1.0,1.0144164012132664,0.0030432492036398,-0.009683128555316722,-0.012702234138120438
2018-09,2018-09-28,2018-09-28,2018-10-31,(2018-09 rebalance] → 2018-10,C4,ATW,NEUTRAL,0.08348726692181636,0.004310129780214084,1.0,15932173.789999995,-0.07444444444444442,-0.006215163204179661,0.659845,0.008976,1.0,1.0144164012132664,0.0030432492036398,-0.009683128555316722,-0.012702234138120438
2018-09,2018-09-28,2018-09-28,2018-10-31,(2018-09 rebalance] → 2018-10,C4,SLF,NEUTRAL,0.06971806395886347,0.015737907132299958,0.9999999996134563,1604611.0,0.040000000000000036,0.0027887225583545414,0.659845,0.008976,1.0,1.0144164012132664,0.0030432492036398,-0.009683128555316722,-0.012702234138120438
2018-09,2018-09-28,2018-09-28,2018-10-31,(2018-09 rebalance] → 2018-10,C4,LBV,BUY,0.062424787984136136,0.24681900847652452,0.9999999917845196,1413577.85,0.007692307692307665,0.0004801906768010455,0.659845,0.008976,1.0,1.0144164012132664,0.0030432492036398,-0.009683128555316722,-0.012702234138120438
