month,decision_date,first_return_date,last_return_date,first_return_strictly_after_decision,weights_frozen_from_artefact,weights_not_recomputed_with_tplus1
2018-07,2018-07-31,2018-08-02,2018-08-31,True,True,True
2018-08,2018-08-31,2018-09-04,2018-09-28,True,True,True
2018-09,2018-09-28,2018-10-01,2018-10-31,True,True,True
2018-10,2018-10-31,2018-11-02,2018-11-30,True,True,True
2018-11,2018-11-30,2018-12-04,2018-12-31,True,True,True
2018-12,2018-12-31,2019-01-03,2019-01-31,True,True,True
2019-01,2019-01-31,2019-02-04,2019-02-28,True,True,True
2019-02,2019-02-28,2019-03-04,2019-03-29,True,True,True
2019-03,2019-03-29,2019-04-01,2019-04-30,True,True,True
2019-04,2019-04-30,2019-05-03,2019-05-31,True,True,True
2019-05,2019-05-31,2019-06-04,2019-06-28,True,True,True
2019-06,2019-06-28,2019-07-01,2019-07-31,True,True,True
2019-07,2019-07-31,2019-08-02,2019-08-30,True,True,True
2019-08,2019-08-30,2019-09-03,2019-09-30,True,True,True
2019-09,2019-09-30,2019-10-02,2019-10-31,True,True,True
2019-10,2019-10-31,2019-11-04,2019-11-29,True,True,True
2019-11,2019-11-29,2019-12-03,2019-12-31,True,True,True
2019-12,2019-12-31,2020-01-03,2020-01-31,True,True,True
2020-01,2020-01-31,2020-02-04,2020-02-28,True,True,True
2020-02,2020-02-28,2020-03-03,2020-03-31,True,True,True
2020-03,2020-03-31,2020-04-02,2020-04-30,True,True,True
2020-04,2020-04-30,2020-05-05,2020-05-29,True,True,True
2020-05,2020-05-29,2020-06-02,2020-06-30,True,True,True
2020-06,2020-06-30,2020-07-02,2020-07-29,True,True,True
2020-07,2020-07-29,2020-08-04,2020-08-31,True,True,True
2020-08,2020-08-31,2020-09-02,2020-09-30,True,True,True
2020-09,2020-09-30,2020-10-02,2020-10-28,True,True,True
2020-10,2020-10-28,2020-11-03,2020-11-30,True,True,True
2020-11,2020-11-30,2020-12-02,2020-12-31,True,True,True
2020-12,2020-12-31,2021-01-05,2021-01-29,True,True,True
2021-01,2021-01-29,2021-02-02,2021-02-26,True,True,True
2021-02,2021-02-26,2021-03-02,2021-03-31,True,True,True
2021-03,2021-03-31,2021-04-02,2021-04-30,True,True,True
2021-04,2021-04-30,2021-05-04,2021-05-31,True,True,True
2021-05,2021-05-31,2021-06-02,2021-06-30,True,True,True
2021-06,2021-06-30,2021-07-02,2021-07-29,True,True,True
2021-07,2021-07-29,2021-08-03,2021-08-31,True,True,True
2021-08,2021-08-31,2021-09-02,2021-09-30,True,True,True
2021-09,2021-09-30,2021-10-04,2021-10-29,True,True,True
2021-10,2021-10-29,2021-11-02,2021-11-30,True,True,True
2021-11,2021-11-30,2021-12-02,2021-12-31,True,True,True
2021-12,2021-12-31,2022-01-04,2022-01-31,True,True,True
2022-01,2022-01-31,2022-02-02,2022-02-28,True,True,True
2022-02,2022-02-28,2022-03-02,2022-03-31,True,True,True
2022-03,2022-03-31,2022-04-04,2022-04-29,True,True,True
2022-04,2022-04-29,2022-05-05,2022-05-31,True,True,True
2022-05,2022-05-31,2022-06-02,2022-06-30,True,True,True
2022-06,2022-06-30,2022-07-04,2022-07-29,True,True,True
2022-07,2022-07-29,2022-08-02,2022-08-31,True,True,True
2022-08,2022-08-31,2022-09-02,2022-09-30,True,True,True
2022-09,2022-09-30,2022-10-04,2022-10-31,True,True,True
2022-10,2022-10-31,2022-11-02,2022-11-30,True,True,True
2022-11,2022-11-30,2022-12-02,2022-12-30,True,True,True
2022-12,2022-12-30,2023-01-02,2023-01-31,True,True,True
2023-01,2023-01-31,2023-02-02,2023-02-28,True,True,True
2023-02,2023-02-28,2023-03-02,2023-03-31,True,True,True
2023-03,2023-03-31,2023-04-04,2023-04-28,True,True,True
2023-04,2023-04-28,2023-05-03,2023-05-31,True,True,True
2023-05,2023-05-31,2023-06-02,2023-06-28,True,True,True
2023-06,2023-06-28,2023-07-03,2023-07-31,True,True,True
2023-07,2023-07-31,2023-08-02,2023-08-31,True,True,True
2023-08,2023-08-31,2023-09-04,2023-09-27,True,True,True
2023-09,2023-09-27,2023-10-02,2023-10-31,True,True,True
2023-10,2023-10-31,2023-11-02,2023-11-30,True,True,True
2023-11,2023-11-30,2023-12-04,2023-12-29,True,True,True
2023-12,2023-12-29,2024-01-02,2024-01-31,True,True,True
2024-01,2024-01-31,2024-02-02,2024-02-29,True,True,True
2024-02,2024-02-29,2024-03-04,2024-03-29,True,True,True
2024-03,2024-03-29,2024-04-01,2024-04-30,True,True,True
2024-04,2024-04-30,2024-05-03,2024-05-31,True,True,True
2024-05,2024-05-31,2024-06-04,2024-06-28,True,True,True
2024-06,2024-06-28,2024-07-01,2024-07-31,True,True,True
2024-07,2024-07-31,2024-08-02,2024-08-30,True,True,True
2024-08,2024-08-30,2024-09-03,2024-09-30,True,True,True
2024-09,2024-09-30,2024-10-02,2024-10-31,True,True,True
2024-10,2024-10-31,2024-11-04,2024-11-29,True,True,True
2024-11,2024-11-29,2024-12-03,2024-12-31,True,True,True
2024-12,2024-12-31,2025-01-03,2025-01-31,True,True,True
2025-01,2025-01-31,2025-02-04,2025-02-28,True,True,True
2025-02,2025-02-28,2025-03-04,2025-03-28,True,True,True
2025-03,2025-03-28,2025-04-02,2025-04-30,True,True,True
2025-04,2025-04-30,2025-05-05,2025-05-30,True,True,True
2025-05,2025-05-30,2025-06-03,2025-06-30,True,True,True
2025-06,2025-06-30,2025-07-02,2026-05-18,True,True,True
