month,decision_date,holding_end_date,holding_period,gross_return,transaction_cost,net_return,turnover,portfolio_alpha,portfolio_cvar,portfolio_liquidity,n_positions,n_days,n_SELL,sum_weights
2018-07,2018-07-31,2018-08-31,(after 2018-07-31] → 2018-08-31,-0.012341498140941543,0.003,-0.015291140010379345,1.0,1.245057,0.023695,0.9997,4,17,0,1.0
2018-08,2018-08-31,2018-09-28,(after 2018-08-31] → 2018-09-28,-0.006229475659320194,0.004923177928961505,-0.011153503215203142,1.6410593096538348,0.097829,0.010605,0.9989,9,18,0,1.0
2018-09,2018-09-28,2018-10-31,(after 2018-09-28] → 2018-10-31,-0.009683128555316722,0.0030432492036398,-0.012702234138120438,1.0144164012132664,0.659845,0.008976,1.0,9,23,0,1.0
2018-10,2018-10-31,2018-11-30,(after 2018-10-31] → 2018-11-30,0.008313511924152195,0.0035535788019077055,0.004726642379317081,1.1845262673025687,0.023127,0.016893,0.9999,5,18,0,1.0
2018-11,2018-11-30,2018-12-31,(after 2018-11-30] → 2018-12-31,0.01518000428447941,0.0027923981584719666,0.01234862476511922,0.9307993861573223,0.352647,0.012248,0.9997,8,20,0,1.0
2018-12,2018-12-31,2019-01-31,(after 2018-12-31] → 2019-01-31,0.0353919162897538,0.002615918819461681,0.032688033075660705,0.8719729398205602,0.668178,0.01303,1.0,10,20,0,1.0000000000000002
2019-01,2019-01-31,2019-02-28,(after 2019-01-31] → 2019-02-28,-0.013223120996214477,0.0025232374929481235,-0.015702866209083788,0.8410791643160411,0.037615,0.011077,0.9997,12,19,0,0.9999999999999998
2019-02,2019-02-28,2019-03-29,(after 2019-02-28] → 2019-03-29,-0.010952616119733083,0.0022750822199383994,-0.013192725895301849,0.7583607399794665,0.163857,0.01021,0.9997,12,20,0,1.0000000000000002
2019-03,2019-03-29,2019-04-30,(after 2019-03-29] → 2019-04-30,0.014755510651470294,0.0030045370607358637,0.011714298234520193,1.0015123535786212,0.068845,0.008326,1.0,5,22,0,1.0
2019-04,2019-04-30,2019-05-31,(after 2019-04-30] → 2019-05-31,-0.022372994328276663,0.0027130651240318436,-0.02503171693909856,0.9043550413439478,0.461913,0.009819,0.9991,9,21,0,1.0
2019-05,2019-05-31,2019-06-28,(after 2019-05-31] → 2019-06-28,0.012920726611971967,0.004379607618744418,0.0084698065363642,1.4598692062481395,0.24842,0.009109,1.0,8,16,0,1.0
2019-06,2019-06-28,2019-07-31,(after 2019-06-28] → 2019-07-31,0.04263258689021199,0.004469122157512113,0.03797535094584248,1.4897073858373704,0.069179,0.010077,1.0,14,22,0,1.0000000000000002
2019-07,2019-07-31,2019-08-30,(after 2019-07-31] → 2019-08-30,0.015697701698092592,0.004335435607170075,0.011299592036145167,1.4451452023900249,0.304098,0.009818,0.9995,11,16,0,1.0
2019-08,2019-08-30,2019-09-30,(after 2019-08-30] → 2019-09-30,0.00731560140773202,0.004710699890584248,0.0025693491872709195,1.570233296861416,1.251561,0.017318,0.9994,7,20,0,1.0
2019-09,2019-09-30,2019-10-31,(after 2019-09-30] → 2019-10-31,0.021803104871390033,0.00517384429769215,0.016500914949762358,1.7246147658973832,0.145827,0.00982,1.0,8,22,0,1.0
2019-10,2019-10-31,2019-11-29,(after 2019-10-31] → 2019-11-29,0.042123408715799115,0.002186636962076323,0.039850083264138414,0.7288789873587744,0.247329,0.009339,1.0,13,17,0,1.0
2019-11,2019-11-29,2019-12-31,(after 2019-11-29] → 2019-12-31,0.010632062192955427,0.001327677764847815,0.009291178875246109,0.4425592549492717,0.500202,0.008953,0.9987,14,21,0,1.0
2019-12,2019-12-31,2020-01-31,(after 2019-12-31] → 2020-01-31,0.028103293374639016,0.002263438836816153,0.025787681717664324,0.754479612272051,0.191979,0.008384,1.0,21,21,0,0.9999999999999999
2020-01,2020-01-31,2020-02-28,(after 2020-01-31] → 2020-02-28,-0.004107937283860941,0.0024256164432202142,-0.006520674795636561,0.8085388144067379,0.397217,0.008296,0.9999,20,19,0,0.9999999999999997
2020-02,2020-02-28,2020-03-31,(after 2020-02-28] → 2020-03-31,-0.19763604221846365,0.0025394944333866124,-0.19971673248395372,0.8464981444622042,0.364908,0.009914,0.9999,13,21,0,1.0000000000000002
2020-03,2020-03-31,2020-04-30,(after 2020-03-31] → 2020-04-30,-0.018916872411362307,0.004543558675850877,-0.02334274648030088,1.5145195586169589,0.430203,0.0182,0.9999,18,21,0,0.9999999999999998
2020-04,2020-04-30,2020-05-29,(after 2020-04-30] → 2020-05-29,0.03944679923166783,0.00325129887784646,0.03610758932046987,1.0837662926154867,0.780823,0.017513,0.9996,9,18,0,0.9999999999999998
2020-05,2020-05-29,2020-06-30,(after 2020-05-29] → 2020-06-30,0.026625030602911437,0.003550355807843797,0.02298423583320397,1.1834519359479323,0.783902,0.021874,0.9998,6,21,0,0.9999999999999999
2020-06,2020-06-30,2020-07-29,(after 2020-06-30] → 2020-07-29,-0.024053791621279297,0.0036641244080471477,-0.027628946480418914,1.2213748026823825,0.49263,0.018855,1.0,10,20,0,0.9999999999999999
2020-07,2020-07-29,2020-08-31,(after 2020-07-29] → 2020-08-31,-0.012011677897443507,0.003077689841345045,-0.015063914859051342,1.0258966137816816,0.373938,0.017039,0.9997,11,17,0,0.9999999999999999
2020-08,2020-08-31,2020-09-30,(after 2020-08-31] → 2020-09-30,-0.028239666103941685,0.0020034202794857224,-0.030188934277443735,0.6678067598285742,0.260185,0.018959,0.9995,10,21,0,0.9999999999999999
2020-09,2020-09-30,2020-10-28,(after 2020-09-30] → 2020-10-28,0.034030801019126145,0.003349554136917261,0.03058452048469107,1.116518045639087,0.225693,0.023223,0.9997,8,19,0,1.0
2020-10,2020-10-28,2020-11-30,(after 2020-10-28] → 2020-11-30,0.010196316201763533,0.002583636136214956,0.007595013948907603,0.8612120454049853,0.12852,0.02024,1.0,12,18,0,1.0000000000000002
2020-11,2020-11-30,2020-12-31,(after 2020-11-30] → 2020-12-31,0.01804887412252376,0.0017705274834816092,0.016246023403132526,0.590175827827203,0.476338,0.019644,0.9998,13,22,0,1.0
2020-12,2020-12-31,2021-01-29,(after 2020-12-31] → 2021-01-29,0.07594894202733027,0.0037742312850716515,0.0718922853430195,1.2580770950238838,0.150147,0.022506,1.0,12,18,0,0.9999999999999997
2021-01,2021-01-29,2021-02-26,(after 2021-01-29] → 2021-02-26,-0.019672544629823596,0.0036955053977382685,-0.023275441776057004,1.2318351325794228,0.52499,0.019021,1.0,17,19,0,1.0
2021-02,2021-02-26,2021-03-31,(after 2021-02-26] → 2021-03-31,0.006926816411437553,0.0014364050999976369,0.0054743994301516,0.4788016999992123,0.531801,0.019467,1.0,17,22,0,0.9999999999999998
