month,decision_date,holding_start_exclusive,holding_end_inclusive,holding_period_label,cell,ticker,recommendation,weight,alpha,liquidity_L,vmq,realized_return_holding,contribution_gross,portfolio_alpha,portfolio_cvar,portfolio_liquidity,turnover,transaction_cost,gross_return,net_return
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,AFI,BUY,0.28143301191874615,0.727759227020742,0.02156964936465813,11583.6,0.00014705882352950006,4.138720763513458e-05,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,IAM,BUY,0.10804191569953116,0.9321461077228547,1.0,13544039.144499999,-0.022105263157894628,-0.002388294978621203,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,ATW,BUY,0.059435134256815896,0.7499142379459025,1.0,15659908.55,0.15616438356164375,0.009281651103119189,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,AGM,BUY,0.0567551866304625,1.9115259187357463,0.03623255506262697,44944.25,-0.01666666666666672,-0.000945919777174378,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,CSR,BUY,0.0564411178027192,2.49909552686642,1.0,2767953.9,0.04651162790697683,0.0026251682698939212,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,CMT,NEUTRAL,0.052666866905081815,-0.0368974399650832,0.9999999974805409,1487451.35,0.10256410256410264,0.0054017299389827545,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,LBV,NEUTRAL,0.04164906246161142,0.08591607118788239,1.0,2657280.1,0.06024096385542177,0.0025089796663621375,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,SOT,NEUTRAL,0.041192259255862604,-0.04373737563065429,0.7394928682287822,315208.4,0.1598360655737705,0.0065840086515518105,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,GAZ,NEUTRAL,0.04088094614361199,-0.07065224551383274,0.9999999997361018,1628466.1,0.03402298850574703,0.0013908919607481742,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,DWY,BUY,0.03630301396786828,0.44071016545045566,0.6109156454576958,278197.67000000004,0.110670731707317,0.004017681119004932,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,BOA,NEUTRAL,0.03580778953242244,0.103117223610474,0.999999999999998,2365189.8625,0.050000000000000044,0.0017903894766211235,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,IMO,NEUTRAL,0.02712885039900668,0.05995356737992836,0.8802816217194865,374693.734,-0.010101010101010055,-0.00027402879190915717,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,LES,BUY,0.02609856601818874,0.2685089248178628,0.8601802178589704,363549.225,0.038775510204081653,0.0010119852129501761,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,MIC,NEUTRAL,0.025549218123596548,0.10568673349014353,0.9710031334170166,469446.37,0.04566385264773598,0.0011666757316607782,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,TQM,BUY,0.023912969607274813,1.181600595872839,0.9944788380348597,574601.905,0.042105263157894646,0.0010068618782010427,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,BCI,BUY,0.022616741898380987,0.39210329382570563,0.9999986939802256,1096782.8175000001,0.32432432432432434,0.007335159534610051,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,CMA,BUY,0.012101056529062631,0.23380898654790178,1.0,2986329.6,0.05551149881046791,0.0006717477851184651,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,COL,BUY,0.0119851885807043,0.2589875730675629,0.025397712465584005,22039.352000000003,0.017129629629629495,0.00020530184142872945,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,CTM,NEUTRAL,0.010919127152031036,-0.006280804943122796,0.019772741188709794,6032.49,0.040000000000000036,0.00043676508608124184,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,M2M,BUY,0.007581151461015572,0.628704254711051,0.04780474186817434,63022.17,0.0,0.0,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,FBR,BUY,0.003353838607148249,0.3309954833032454,0.0311161994987651,35098.9925,0.11418376449598577,0.0003829539176761606,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,JET,NEUTRAL,0.002770045304749171,0.02618290100047352,0.0405093344167753,52195.615000000005,0.027568922305764465,7.636716379007754e-05,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,DHO,NEUTRAL,0.0025375813863750133,0.061876420560495415,0.0315402773359196,35972.405,0.00041684035014588616,1.0577663136202438e-06,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
2023-01,2023-01-31,2023-01-31,2023-02-28,(2023-01 rebalance] → 2023-02,C4,CRS,NEUTRAL,0.0021078247205836677,-0.041195344238796686,0.01863863841475671,2268.5005,0.12563025210084033,0.00026480655103130953,0.679617,0.011411,0.5892,1.0000000000000002,0.003,0.0439755509390205,0.04086771526567223
