month,decision_date,first_return_date,last_return_date,first_return_strictly_after_decision,weights_frozen_from_artefact,weights_not_recomputed_with_tplus1
2023-01,2023-01-31,2023-02-02,2023-02-28,True,True,True
2023-02,2023-02-28,2023-03-02,2023-03-31,True,True,True
2023-03,2023-03-31,2023-04-04,2023-04-28,True,True,True
2023-04,2023-04-28,2023-05-03,2023-05-31,True,True,True
2023-05,2023-05-31,2023-06-02,2023-06-28,True,True,True
2023-06,2023-06-28,2023-07-03,2023-07-31,True,True,True
2023-07,2023-07-31,2023-08-02,2023-08-31,True,True,True
2023-08,2023-08-31,2023-09-04,2023-09-27,True,True,True
2023-09,2023-09-27,2023-10-02,2023-10-31,True,True,True
2023-10,2023-10-31,2023-11-02,2023-11-30,True,True,True
2023-11,2023-11-30,2023-12-04,2023-12-29,True,True,True
2023-12,2023-12-29,2024-01-02,2024-01-31,True,True,True
2024-01,2024-01-31,2024-02-02,2024-02-29,True,True,True
2024-02,2024-02-29,2024-03-04,2024-03-29,True,True,True
2024-03,2024-03-29,2024-04-01,2024-04-30,True,True,True
2024-04,2024-04-30,2024-05-03,2024-05-31,True,True,True
2024-05,2024-05-31,2024-06-04,2024-06-28,True,True,True
2024-06,2024-06-28,2024-07-01,2024-07-31,True,True,True
2024-07,2024-07-31,2024-08-02,2024-08-30,True,True,True
2024-08,2024-08-30,2024-09-03,2024-09-30,True,True,True
2024-09,2024-09-30,2024-10-02,2024-10-31,True,True,True
2024-10,2024-10-31,2024-11-04,2024-11-29,True,True,True
2024-11,2024-11-29,2024-12-03,2024-12-31,True,True,True
2024-12,2024-12-31,2025-01-03,2025-01-31,True,True,True
2025-01,2025-01-31,2025-02-04,2025-02-28,True,True,True
2025-02,2025-02-28,2025-03-04,2025-03-28,True,True,True
2025-03,2025-03-28,2025-04-02,2025-04-30,True,True,True
2025-04,2025-04-30,2025-05-05,2025-05-30,True,True,True
2025-05,2025-05-30,2025-06-03,2025-06-30,True,True,True
2025-06,2025-06-30,2025-07-02,2026-05-18,True,True,True
