,value
cell,C4
configuration,Hybrid + régime
selection,knee / utopia distance (frozen)
window_decision_months,2023-01 → 2025-06
transaction_cost_rate,0.003
turnover_definition,L1 bilateral Σ|Δw| (project convention stage2_metrics)
cost_formula,"turnover × 0.003, charged on first holding day"
n_months,30
total_return_net,1.5079658808430318
total_return_gross,1.7238174234293462
cumulative_wealth_base100_net,250.79658808430318
annualized_return_net,0.3554
annualized_return_gross,0.3929
volatility_ann_net,0.1429
sharpe_net,2.201
sortino_net,3.719
cvar_95_net,0.0196
max_drawdown_net,-0.1187
max_drawdown_duration_days,105
turnover_mean,0.919193481380271
transaction_cost_mean,0.002757580444140814
portfolio_liquidity_mean_exante,0.8981933333333335
n_positions_mean,33.8
pct_positive_months_net,0.8666666666666667
alpha_ann_vs_masi_net,0.1191
days,762
