month,decision_date,holding_end_date,holding_period,gross_return,transaction_cost,net_return,turnover,portfolio_alpha,portfolio_cvar,portfolio_liquidity,n_positions,n_days,n_SELL,sum_weights,wealth100_net,drawdown_net
2023-01,2023-01-31,2023-02-28,(after 2023-01-31] → 2023-02-28,0.0439755509390205,0.003,0.04086771526567223,1.0000000000000002,0.679617,0.011411,0.5892,37,19,0,1.0000000000000002,104.08677152656722,0.0
2023-02,2023-02-28,2023-03-31,(after 2023-02-28] → 2023-03-31,-0.027674527177756092,0.004215914948795056,-0.03178492682885392,1.4053049829316853,1.03492,0.013617,0.6999,40,22,0,1.0,100.77838110974365,-0.03178492682885392
2023-03,2023-03-31,2023-04-28,(after 2023-03-31] → 2023-04-28,0.022636157781644517,0.003648330455955631,0.018916064062774574,1.2161101519852102,0.744216,0.009858,0.7764,39,18,0,0.9999999999999999,102.68471142295827,-0.013470108478204512
2023-04,2023-04-28,2023-05-31,(after 2023-04-28] → 2023-05-31,0.05013054872485112,0.0026230964769535406,0.047374927067765915,0.8743654923178469,0.947049,0.009384,0.6482,34,21,0,1.0000000000000002,107.54939213759552,0.0
2023-05,2023-05-31,2023-06-28,(after 2023-05-31] → 2023-06-28,0.02418978194749677,0.004359399907512556,0.019782751803593124,1.4531333025041855,0.98369,0.01153,0.6768,34,19,0,0.9999999999999998,109.67701506888088,0.0
2023-06,2023-06-28,2023-07-31,(after 2023-06-28] → 2023-07-31,0.052066043597358336,0.0037415872705713333,0.048170460785256,1.247195756857111,0.946572,0.008772,0.7625,38,20,0,1.0000000000000002,114.96020742230033,0.0
2023-07,2023-07-31,2023-08-31,(after 2023-07-31] → 2023-08-31,0.024478075164801494,0.0035236657798844726,0.020890296892383864,1.1745552599614903,1.070265,0.010659,0.9935,28,20,0,0.9999999999999998,117.36176028616221,0.0
2023-08,2023-08-31,2023-09-27,(after 2023-08-31] → 2023-09-27,0.09301573893146964,0.0019161487859261025,0.0909285974866818,0.6387162619753675,1.205465,0.009961,0.9602,27,18,0,0.9999999999999999,128.03330054755108,0.0
2023-09,2023-09-27,2023-10-31,(after 2023-09-27] → 2023-10-31,0.03499224060875883,0.0018339307370159607,0.033090215591056626,0.6113102456719869,1.000584,0.010734,0.9876,33,22,0,1.0000000000000002,132.2699500655041,0.0
2023-10,2023-10-31,2023-11-30,(after 2023-10-31] → 2023-11-30,-0.03565669077523359,0.0016228301982959574,-0.03723065814201054,0.5409433994319858,0.745215,0.011089,0.9723,35,20,0,0.9999999999999999,127.34545277215452,-0.03723065814201054
2023-11,2023-11-30,2023-12-29,(after 2023-11-30] → 2023-12-29,0.013559881002413565,0.0016580340554734096,0.011877561209692855,0.5526780184911365,0.845795,0.010378,0.9437,34,20,0,1.0,128.85800618223183,-0.025795306353276537
2023-12,2023-12-29,2024-01-31,(after 2023-12-29] → 2024-01-31,0.09790170281626032,0.0019216022079786288,0.09580822406180811,0.6405340693262096,0.87327,0.010062,0.9926,32,21,0,0.9999999999999998,141.20366291069698,0.0
2024-01,2024-01-31,2024-02-29,(after 2024-01-31] → 2024-02-29,0.08392425647406987,0.002991512789052095,0.08066703631164707,0.9971709296840316,1.28665,0.011809,0.9671,32,20,0,1.0,152.59414391405173,0.0
2024-02,2024-02-29,2024-03-29,(after 2024-02-29] → 2024-03-29,0.030712620210240793,0.0024297090448173477,0.028200395534943024,0.8099030149391159,1.098429,0.011126,0.9829,30,20,0,0.9999999999999997,156.897359128744,0.0
2024-03,2024-03-29,2024-04-30,(after 2024-03-29] → 2024-04-30,0.05395934534650304,0.004105971935315789,0.04967042318992543,1.3686573117719298,0.894139,0.008867,0.9801,31,19,0,1.0000000000000004,164.69051735405043,0.0
2024-04,2024-04-30,2024-05-31,(after 2024-04-30] → 2024-05-31,0.00686041328183995,0.002256696028312509,0.004607141283289096,0.7522320094375028,0.790461,0.009195,0.974,35,21,0,1.0000000000000002,165.44926983551852,0.0
2024-05,2024-05-31,2024-06-28,(after 2024-05-31] → 2024-06-28,-0.0008506572525925904,0.0020599417254110104,-0.002916932947376605,0.6866472418036702,0.935821,0.010944,0.9805,31,17,0,0.9999999999999998,164.96666540921586,-0.002916932947376827
2024-06,2024-06-28,2024-07-31,(after 2024-06-28] → 2024-07-31,0.10062689153135329,0.0019612356569537904,0.09845776845245346,0.6537452189845967,0.953652,0.010292,0.912,33,22,0,0.9999999999999998,181.2089151544498,0.0
2024-07,2024-07-31,2024-08-30,(after 2024-07-31] → 2024-08-30,0.027646445290109956,0.002148243112634644,0.025438725230232828,0.7160810375448813,1.024831,0.009589,0.9931,33,18,0,0.9999999999999999,185.81863895633245,0.0
2024-08,2024-08-30,2024-09-30,(after 2024-08-30] → 2024-09-30,0.057688936135223745,0.0032189500638542708,0.05428071206351737,1.0729833546180902,0.958915,0.011237,0.976,33,18,0,0.9999999999999999,195.90500699355582,0.0
2024-09,2024-09-30,2024-10-31,(after 2024-09-30] → 2024-10-31,0.0041157411746710615,0.002583135857080774,0.0015269509044417706,0.8610452856935913,0.977969,0.008911,0.8409,32,22,0,0.9999999999999999,196.2041443211693,0.0
2024-10,2024-10-31,2024-11-29,(after 2024-10-31] → 2024-11-29,0.031684783149719786,0.003217413337620389,0.028408561510915975,1.0724711125401296,0.916258,0.010239,0.8066,28,18,0,0.9999999999999999,201.77802182381387,0.0
2024-11,2024-11-29,2024-12-31,(after 2024-11-29] → 2024-12-31,0.011009007787305736,0.002197227008878199,0.008795518312016304,0.7324090029593996,0.992145,0.009475,0.9292,32,21,0,1.0,203.55276410972766,0.0
2024-12,2024-12-31,2025-01-31,(after 2024-12-31] → 2025-01-31,0.05095431601291067,0.0029405524701867653,0.04790266827485845,0.9801841567289218,1.02693,0.009005,0.8696,32,20,0,0.9999999999999999,213.3034846453065,0.0
2025-01,2025-01-31,2025-02-28,(after 2025-01-31] → 2025-02-28,0.02615996616394667,0.003242968537553938,0.022831533681784366,1.0809895125179794,0.635285,0.008868,0.9753,39,19,0,1.0,218.1735303394278,0.0
2025-02,2025-02-28,2025-03-28,(after 2025-02-28] → 2025-03-28,0.06717257942217025,0.002723998503437692,0.06425058553393148,0.9079995011458973,0.600884,0.009091,0.9689,35,19,0,1.0000000000000007,232.19130741174098,0.0
2025-03,2025-03-28,2025-04-30,(after 2025-03-28] → 2025-04-30,0.01463130189209072,0.0032954201514000803,0.011307186056574992,1.0984733838000265,0.635072,0.008081,0.9825,37,21,0,0.9999999999999999,234.81673772536493,0.0
2025-04,2025-04-30,2025-05-30,(after 2025-04-30] → 2025-05-30,0.01062014962348834,0.0027588856640461943,0.00781795341719671,0.9196285546820648,0.57903,0.011199,0.9421,39,20,0,1.0000000000000002,236.65252404247994,0.0
2025-05,2025-05-30,2025-06-30,(after 2025-05-30] → 2025-06-30,0.06310908565502338,0.0022108924835381313,0.06075763122183564,0.7369641611793771,0.516855,0.01103,0.8775,35,18,0,1.0000000000000002,251.03097082596952,0.0
2025-06,2025-06-30,2026-05-18,(after 2025-06-30] → last price,0.001341254124881841,0.0023201181297681384,-0.0009336805769210033,0.7733727099227128,0.673172,0.010841,0.9846,36,189,0,1.0000000000000002,250.79658808430366,-0.0009336805769211143
