sell_mode,cell,configuration,mois,date_rebalance,n_titres,poids_moyen,poids_max,n_BUY,n_NEUTRAL,n_SELL,w_BUY,w_NEUTRAL,w_SELL,liquidity_obj,cvar_obj,expected_alpha_raw
exclude,1,C1 Ridge,2018-07,2018-07-31,39,0.025634803236439345,0.09785785510510296,33,6,0,0.9910239138122198,0.00873341240891479,0.0,0.0,0.008313,0.298364
exclude,1,C1 Ridge,2018-08,2018-08-31,43,0.02325548786623455,0.07291025868390365,34,9,0,0.985743169552481,0.0142428086956047,0.0,0.0,0.007933,0.297794
exclude,1,C1 Ridge,2018-09,2018-09-28,38,0.026309980552080316,0.25364527934437137,33,5,0,0.9961773004336754,0.0036019605453767077,0.0,0.0,0.007327,0.271101
exclude,1,C1 Ridge,2018-10,2018-10-31,31,0.03225375391635941,0.386993620780176,22,9,0,0.8646155556669461,0.13525081574019535,0.0,0.0,0.007466,0.400291
exclude,1,C1 Ridge,2018-11,2018-11-30,30,0.033325295039344976,0.24433998390003855,22,8,0,0.9606551917076718,0.03910365947267721,0.0,0.0,0.007226,0.356027
exclude,1,C1 Ridge,2018-12,2018-12-31,39,0.02563710643776681,0.20868689579347854,24,15,0,0.9086964626300473,0.09115068844285827,0.0,0.0,0.006684,0.368233
exclude,1,C1 Ridge,2019-01,2019-01-31,39,0.025637020201807855,0.21973205509604296,27,12,0,0.95489546919916,0.04494831867134638,0.0,0.0,0.007965,0.367411
exclude,1,C1 Ridge,2019-02,2019-02-28,37,0.027021897141639287,0.21300471883642333,22,15,0,0.8728528027423019,0.12695739149835164,0.0,0.0,0.00748,0.325475
exclude,1,C1 Ridge,2019-03,2019-03-29,37,0.02702355262550704,0.3789419664620712,26,11,0,0.9717336155939975,0.028137831549763175,0.0,0.0,0.006267,0.361306
exclude,1,C1 Ridge,2019-04,2019-04-30,38,0.02631189649332239,0.38539263143349145,33,5,0,0.9952346085188433,0.004617458227407782,0.0,0.0,0.005807,0.343078
exclude,1,C1 Ridge,2019-05,2019-05-31,37,0.027020332564713867,0.20446439429266333,22,15,0,0.776731860604542,0.22302044428987106,0.0,0.0,0.006613,0.258599
exclude,1,C1 Ridge,2019-06,2019-06-28,39,0.025637400065192623,0.1188384945246163,23,16,0,0.8352745576061025,0.16458404493640982,0.0,0.0,0.007352,0.335367
exclude,1,C1 Ridge,2019-07,2019-07-31,37,0.027025660118988527,0.10225601961709034,27,10,0,0.8372078259682145,0.16274159843436095,0.0,0.0,0.006393,0.250395
exclude,1,C1 Ridge,2019-08,2019-08-30,37,0.027024471769422742,0.11908376508983434,25,12,0,0.8672614321435889,0.13264402332505243,0.0,0.0,0.007638,0.302778
exclude,1,C1 Ridge,2019-09,2019-09-30,32,0.031239505548186254,0.17791897572885176,24,8,0,0.9526491369897437,0.04701504055221642,0.0,0.0,0.006046,0.373277
exclude,1,C1 Ridge,2019-10,2019-10-31,36,0.027773287061104254,0.12698949409846613,26,10,0,0.9293684777303335,0.07046985646941986,0.0,0.0,0.006683,0.272985
exclude,1,C1 Ridge,2019-11,2019-11-29,31,0.032256734416151574,0.1988596514518087,27,4,0,0.9823886008080859,0.01757016609261289,0.0,0.0,0.007033,0.294995
exclude,1,C1 Ridge,2019-12,2019-12-31,40,0.024994841778367933,0.11436158931500018,27,13,0,0.8462192701710327,0.15357440096368444,0.0,0.0,0.00698,0.284061
exclude,1,C1 Ridge,2020-01,2020-01-31,37,0.027022299486920916,0.1082940288011972,26,11,0,0.8563949894507746,0.14343009156529923,0.0,0.0,0.00635,0.266935
exclude,1,C1 Ridge,2020-02,2020-02-28,41,0.024387905742423627,0.09611784007456702,28,13,0,0.789153130048159,0.21075100539120978,0.0,0.0,0.006569,0.222139
exclude,1,C1 Ridge,2020-03,2020-03-31,32,0.031246516156630523,0.2156835088035432,24,8,0,0.8511804085048981,0.14870810850727864,0.0,0.0,0.010047,0.25802
exclude,1,C1 Ridge,2020-04,2020-04-30,22,0.0454470978255959,0.33785475866747516,15,7,0,0.87065528721726,0.12918086494584974,0.0,0.0,0.010398,0.307089
exclude,1,C1 Ridge,2020-05,2020-05-29,22,0.04544739590026699,0.18745670756357197,15,7,0,0.9730653020424627,0.02677740776341127,0.0,0.0,0.011202,0.378299
exclude,1,C1 Ridge,2020-06,2020-06-30,25,0.03997942217787612,0.2607557630349171,19,6,0,0.9751109167261625,0.024374637720740437,0.0,0.0,0.008371,0.341626
exclude,1,C1 Ridge,2020-07,2020-07-29,28,0.03570573501203922,0.13535597399495233,20,8,0,0.9733377360595936,0.02642284427750459,0.0,0.0,0.006568,0.333816
exclude,1,C1 Ridge,2020-08,2020-08-31,27,0.03702497415570748,0.4,18,9,0,0.9856470024966336,0.014027299707468249,0.0,0.0,0.007121,0.322944
exclude,1,C1 Ridge,2020-09,2020-09-30,23,0.0434608255894935,0.32491784146284003,11,12,0,0.7855942895878059,0.2140046989705445,0.0,0.0,0.007067,0.838445
exclude,1,C1 Ridge,2020-10,2020-10-28,26,0.03845373605177417,0.34824269043794603,9,17,0,0.6490148039195532,0.3507823334265755,0.0,0.0,0.008411,0.892855
exclude,1,C1 Ridge,2020-11,2020-11-30,23,0.04346422693071164,0.16098201792310934,10,13,0,0.7325147282447979,0.2671624911615698,0.0,0.0,0.009549,0.188142
exclude,1,C1 Ridge,2020-12,2020-12-31,30,0.03332036085318217,0.2887499227461422,14,16,0,0.8052372142061454,0.19437361138931938,0.0,0.0,0.007592,0.817793
exclude,1,C1 Ridge,2021-01,2021-01-29,30,0.033320428091924044,0.24565909608065484,10,20,0,0.5618481092917853,0.4377647334659359,0.0,0.0,0.011987,0.216733
exclude,1,C1 Ridge,2021-02,2021-02-26,27,0.037022736117304826,0.2016397829458082,13,14,0,0.608589288097127,0.3910245870701033,0.0,0.0,0.012489,0.236859
exclude,1,C1 Ridge,2021-03,2021-03-31,36,0.027774938354836857,0.4,14,22,0,0.4157479881388165,0.5841497926353103,0.0,0.0,0.01091,0.230672
exclude,1,C1 Ridge,2021-04,2021-04-30,31,0.03225106859263821,0.26232686104878256,13,18,0,0.6288752653389525,0.370907861032832,0.0,0.0,0.010119,0.220842
exclude,1,C1 Ridge,2021-05,2021-05-31,33,0.030298406414477872,0.241018913753655,13,20,0,0.6815261536675672,0.3183212580102028,0.0,0.0,0.008856,0.298688
exclude,1,C1 Ridge,2021-06,2021-06-30,37,0.027019815531479446,0.27219684785744613,12,25,0,0.6455588865734758,0.35417428809126345,0.0,0.0,0.007687,0.288387
exclude,1,C1 Ridge,2021-07,2021-07-29,30,0.03332525972423007,0.4,15,15,0,0.7657002589299414,0.23405753279696062,0.0,0.0,0.011487,0.343495
exclude,1,C1 Ridge,2021-08,2021-08-31,29,0.034473861175218105,0.38863540297171856,17,12,0,0.7355161000574588,0.2642258740238661,0.0,0.0,0.012126,0.376216
exclude,1,C1 Ridge,2021-09,2021-09-30,21,0.04760335122409306,0.36091141008596306,11,10,0,0.8419533718492377,0.1577170038567167,0.0,0.0,0.011738,0.409064
exclude,1,C1 Ridge,2021-10,2021-10-29,23,0.04346474511952013,0.36162156831919434,11,12,0,0.928022727956094,0.07166640979286881,0.0,0.0,0.0121,0.449344
exclude,1,C1 Ridge,2021-11,2021-11-30,21,0.04761222142976958,0.2570974604334987,10,11,0,0.8479671880081944,0.15188946201696704,0.0,0.0,0.008062,0.294883
exclude,1,C1 Ridge,2021-12,2021-12-31,27,0.03703111134528614,0.30679061904761595,15,12,0,0.9808800486025683,0.018959957720157333,0.0,0.0,0.009544,0.460723
exclude,1,C1 Ridge,2022-01,2022-01-31,25,0.039994206674027886,0.24556141998329867,13,12,0,0.655773087497519,0.3440820793531781,0.0,0.0,0.009406,0.519526
exclude,1,C1 Ridge,2022-02,2022-02-28,26,0.03845607787836031,0.240240090877449,15,11,0,0.965610648058497,0.034247376778870894,0.0,0.0,0.007863,0.466349
exclude,1,C1 Ridge,2022-03,2022-03-31,34,0.029401678325278287,0.14135486016534268,20,14,0,0.7611455302343803,0.23851153282508147,0.0,0.0,0.008628,0.210322
exclude,1,C1 Ridge,2022-04,2022-04-29,32,0.03124396975827808,0.21439812424823032,18,14,0,0.9669060105555096,0.03290102170938888,0.0,0.0,0.007747,0.224496
exclude,1,C1 Ridge,2022-05,2022-05-31,31,0.03224730882444427,0.13905820493179222,20,11,0,0.6970965212788428,0.3025700522789296,0.0,0.0,0.007858,0.132758
exclude,1,C1 Ridge,2022-06,2022-06-30,36,0.027768931933326968,0.19183408710632233,20,16,0,0.6351355336773109,0.3645460159224599,0.0,0.0,0.009049,0.163957
exclude,1,C1 Ridge,2022-07,2022-07-29,33,0.03029234153197073,0.1620735568739216,22,11,0,0.8712582756891003,0.12838899486593366,0.0,0.0,0.008152,0.200705
exclude,1,C1 Ridge,2022-08,2022-08-31,35,0.028567495577279764,0.1896877033263007,24,11,0,0.9151560053345948,0.08470633987019685,0.0,0.0,0.007009,0.255424
exclude,1,C1 Ridge,2022-09,2022-09-30,39,0.025632685486381323,0.14701035505681084,19,20,0,0.6270406089457403,0.3726341250231313,0.0,0.0,0.006522,0.236773
exclude,1,C1 Ridge,2022-10,2022-10-31,41,0.024383978272653803,0.12407942203123629,23,18,0,0.7547319844536059,0.24501112472520012,0.0,0.1902,0.010835,0.294782
exclude,1,C1 Ridge,2022-11,2022-11-30,38,0.026313213600373947,0.10729938693703614,21,17,0,0.7374451403642166,0.2624569764499936,0.0,0.196,0.010228,0.287313
