sell_mode,cell,configuration,mois,date_rebalance,ret_month,turnover,liquidite_ponderee,n_titres,w_BUY,w_NEUTRAL,w_SELL,n_BUY,n_NEUTRAL,n_SELL,contrib_BUY,contrib_NEUTRAL,contrib_SELL,n_days
exclude,1,C1 Ridge,2018-07,2018-07-31,0.002100849685493955,0.9997573262211346,0.0,39,0.9910239138122198,0.00873341240891479,0.0,33,6,0,0.0039515579345551595,0.00021504699080050042,0.0,17
exclude,1,C1 Ridge,2018-08,2018-08-31,-0.023120012350921093,0.7479236477436397,0.0,43,0.985743169552481,0.0142428086956047,0.0,34,9,0,-0.02449233550744229,7.764473750568978e-05,0.0,18
exclude,1,C1 Ridge,2018-09,2018-09-28,-0.009808831604428025,0.8905577296146516,0.0,38,0.9961773004336754,0.0036019605453767077,0.0,33,5,0,-0.009144277881721005,0.00039902714288665004,0.0,23
exclude,1,C1 Ridge,2018-10,2018-10-31,-0.0027136320121252666,0.8794797657829728,0.0,31,0.8646155556669461,0.13525081574019535,0.0,22,9,0,-0.006214475711380548,0.0025695925649692735,0.0,18
exclude,1,C1 Ridge,2018-11,2018-11-30,0.02026797475546771,0.6768805934244351,0.0,30,0.9606551917076718,0.03910365947267721,0.0,22,8,0,0.020947754198941498,-0.0003975856383065449,0.0,20
exclude,1,C1 Ridge,2018-12,2018-12-31,0.001561363442436292,0.7179494999582839,0.0,39,0.9086964626300473,0.09115068844285827,0.0,24,15,0,0.004602422888686473,-0.0032377626827864046,0.0,20
exclude,1,C1 Ridge,2019-01,2019-01-31,-0.0026571762624202355,0.9964440129381904,0.0,39,0.95489546919916,0.04494831867134638,0.0,27,12,0,-0.0030804023446917386,0.0022758448294596142,0.0,19
exclude,1,C1 Ridge,2019-02,2019-02-28,-0.01899307527613836,0.6317053439531212,0.0,37,0.8728528027423019,0.12695739149835164,0.0,22,15,0,-0.015490980770046297,-0.003473672199210496,0.0,20
exclude,1,C1 Ridge,2019-03,2019-03-29,-0.009286171937249121,1.2561874456136721,0.0,37,0.9717336155939975,0.028137831549763175,0.0,26,11,0,-0.0073174173780934555,0.0010567075107469621,0.0,22
exclude,1,C1 Ridge,2019-04,2019-04-30,-0.008833227281055511,0.4616358161266583,0.0,38,0.9952346085188433,0.004617458227407782,0.0,33,5,0,-0.008535866411958734,-0.0003824987314169839,0.0,21
exclude,1,C1 Ridge,2019-05,2019-05-31,0.006822476434732883,0.7563177778477065,0.0,37,0.776731860604542,0.22302044428987106,0.0,22,15,0,0.013160623392630657,-0.005564949103556117,0.0,16
exclude,1,C1 Ridge,2019-06,2019-06-28,0.021553281777602296,1.0019745194880338,0.0,39,0.8352745576061025,0.16458404493640982,0.0,23,16,0,0.02079444209669295,0.003652975879020029,0.0,22
exclude,1,C1 Ridge,2019-07,2019-07-31,0.011004853813167736,1.1755370848667668,0.0,37,0.8372078259682145,0.16274159843436095,0.0,27,10,0,0.015537357692601403,-0.0011914941768773235,0.0,16
exclude,1,C1 Ridge,2019-08,2019-08-30,0.0019740903408067556,0.9156112866978194,0.0,37,0.8672614321435889,0.13264402332505243,0.0,25,12,0,0.0016322612822308568,0.002258422388341663,0.0,20
exclude,1,C1 Ridge,2019-09,2019-09-30,0.007101930337052975,1.047788137150853,0.0,32,0.9526491369897437,0.04701504055221642,0.0,24,8,0,0.009441316004416117,-0.0008305212326979544,0.0,22
exclude,1,C1 Ridge,2019-10,2019-10-31,0.0183468693436033,0.9674695731276571,0.0,36,0.9293684777303335,0.07046985646941986,0.0,26,10,0,0.023094705045672157,-0.002346753143028278,0.0,17
exclude,1,C1 Ridge,2019-11,2019-11-29,0.018278769582221743,0.7568166349788634,0.0,31,0.9823886008080859,0.01757016609261289,0.0,27,4,0,0.019440386450724555,-0.0004727409593961886,0.0,21
exclude,1,C1 Ridge,2019-12,2019-12-31,0.01701191180472783,0.8151626930356708,0.0,40,0.8462192701710327,0.15357440096368444,0.0,27,13,0,0.0135662003249504,0.005420497290322084,0.0,21
exclude,1,C1 Ridge,2020-01,2020-01-31,-0.008375370014855221,0.962726891633115,0.0,37,0.8563949894507746,0.14343009156529923,0.0,26,11,0,0.00020463689426692395,-0.006667908215926346,0.0,19
exclude,1,C1 Ridge,2020-02,2020-02-28,-0.15424458439276578,0.6814364008569098,0.0,41,0.789153130048159,0.21075100539120978,0.0,28,13,0,-0.13171939663007384,-0.019059344380222137,0.0,21
