cell,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto
1,2023-01,2023-01-31,ok,,56,42,0.263433,0.008251,0.2532,9
1,2023-02,2023-02-28,ok,,53,45,0.238968,0.007639,0.2396,9
1,2023-03,2023-03-31,ok,,55,35,0.263541,0.006253,0.4384,9
1,2023-04,2023-04-28,ok,,57,34,0.266655,0.006412,0.3815,9
1,2023-05,2023-05-31,ok,,55,34,0.342396,0.005778,0.4533,9
1,2023-06,2023-06-28,ok,,56,36,0.357338,0.005708,0.449,6
1,2023-07,2023-07-31,ok,,42,27,0.51693,0.008988,0.8786,9
1,2023-08,2023-08-31,ok,,41,28,0.483589,0.008101,0.7786,9
1,2023-09,2023-09-27,ok,,47,35,0.314268,0.009485,0.7628,9
1,2023-10,2023-10-31,ok,,43,37,0.316367,0.010412,0.8997,9
1,2023-11,2023-11-30,ok,,47,44,0.280038,0.008853,0.7021,9
1,2023-12,2023-12-29,ok,,51,37,0.305689,0.008215,0.7174,9
1,2024-01,2024-01-31,ok,,47,43,0.359114,0.009237,0.747,9
1,2024-02,2024-02-29,ok,,44,38,0.358906,0.00866,0.7407,9
1,2024-03,2024-03-29,ok,,43,36,0.41454,0.0094,0.9648,9
1,2024-04,2024-04-30,ok,,43,38,0.379243,0.009613,0.7695,9
1,2024-05,2024-05-31,ok,,48,41,0.365559,0.008992,0.9066,9
1,2024-06,2024-06-28,ok,,48,39,0.392736,0.008851,0.9408,9
1,2024-07,2024-07-31,ok,,45,33,0.482015,0.007415,0.8199,9
1,2024-08,2024-08-30,ok,,51,47,0.349458,0.008973,0.7856,9
1,2024-09,2024-09-30,ok,,46,38,0.501186,0.008949,0.6948,9
1,2024-10,2024-10-31,ok,,43,34,0.436186,0.008739,0.5651,9
1,2024-11,2024-11-29,ok,,45,42,0.375767,0.007609,0.7411,5
1,2024-12,2024-12-31,ok,,46,33,0.454392,0.007857,0.6708,9
1,2025-01,2025-01-31,ok,,42,42,0.348172,0.008143,0.9417,9
1,2025-02,2025-02-28,ok,,44,41,0.331598,0.007673,0.9416,9
1,2025-03,2025-03-28,ok,,42,39,0.484349,0.007701,0.9763,9
1,2025-04,2025-04-30,ok,,41,29,0.346248,0.009625,0.898,9
1,2025-05,2025-05-30,ok,,44,35,0.325288,0.010399,0.831,9
1,2025-06,2025-06-30,ok,,45,35,0.335867,0.009684,0.9479,9
2,2023-01,2023-01-31,ok,,51,37,0.205078,0.007656,0.2918,9
2,2023-02,2023-02-28,ok,,54,45,0.265529,0.007962,0.2446,9
2,2023-03,2023-03-31,ok,,57,40,0.287897,0.00647,0.4643,6
2,2023-04,2023-04-28,ok,,58,41,0.255616,0.005954,0.4386,6
2,2023-05,2023-05-31,ok,,58,43,0.357681,0.00595,0.3842,9
2,2023-06,2023-06-28,ok,,58,39,0.405148,0.005802,0.4405,9
2,2023-07,2023-07-31,ok,,51,41,0.47073,0.008278,0.7556,9
2,2023-08,2023-08-31,ok,,41,29,0.493151,0.008621,0.7956,9
2,2023-09,2023-09-27,ok,,45,37,0.284189,0.009142,0.7914,9
2,2023-10,2023-10-31,ok,,42,30,0.302392,0.010464,0.8764,9
2,2023-11,2023-11-30,ok,,46,39,0.311813,0.00973,0.8008,9
2,2023-12,2023-12-29,ok,,49,36,0.263606,0.007973,0.6896,9
2,2024-01,2024-01-31,ok,,48,36,0.319465,0.008273,0.7071,8
2,2024-02,2024-02-29,ok,,44,32,0.356818,0.008676,0.7613,9
2,2024-03,2024-03-29,ok,,45,36,0.444704,0.010039,0.784,9
2,2024-04,2024-04-30,ok,,44,36,0.358282,0.008854,0.8203,9
2,2024-05,2024-05-31,ok,,50,37,0.338624,0.008174,0.9018,9
2,2024-06,2024-06-28,ok,,48,42,0.402292,0.008983,0.9295,9
