sell_mode,cell,configuration,mois,date_rebalance,ret_month,turnover,liquidite_ponderee,n_titres,w_BUY,w_NEUTRAL,w_SELL,n_BUY,n_NEUTRAL,n_SELL,contrib_BUY,contrib_NEUTRAL,contrib_SELL,n_days
exclude,1,C1 Ridge,2023-01,2023-01-31,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.7800093409157092,0.21961999997974962,0.0,28,14,0,0.01315661556996206,0.008519570145025844,0.0,19
exclude,1,C1 Ridge,2023-02,2023-02-28,-0.019283955368048056,0.974070596830494,0.2149537554657483,45,0.8511445192057808,0.14863181233221126,0.0,33,12,0,-0.009793847218786105,-0.005496437537179103,0.0,22
exclude,1,C1 Ridge,2023-03,2023-03-31,0.004543892460544985,0.9752944563307029,0.33213824899833605,35,0.9898660713273755,0.009950907873046932,0.0,29,6,0,0.005810250471980185,0.0012206175544861317,0.0,18
exclude,1,C1 Ridge,2023-04,2023-04-28,0.022436874777931992,0.5948780855143342,0.3357936148267634,34,0.9114205009069007,0.08824936075238962,0.0,26,8,0,0.020203527653171037,0.0027089628261780423,0.0,21
exclude,1,C1 Ridge,2023-05,2023-05-31,0.024141184387957093,0.9683343749384303,0.4347169642727409,34,0.8943299923725858,0.10523333291997185,0.0,25,9,0,0.025241093671185558,0.001301190723144296,0.0,19
exclude,1,C1 Ridge,2023-06,2023-06-28,0.032624824986065004,0.6524707108423193,0.38831177889769375,36,0.7683460148454111,0.2314172396362418,0.0,25,11,0,0.03164059057126352,0.0033691416030101336,0.0,20
exclude,1,C1 Ridge,2023-07,2023-07-31,0.02498145866483692,1.3222708964002194,0.8192209864842956,27,0.8190907074456789,0.1806062325506057,0.0,19,8,0,0.019404509133961953,0.008927094116453451,0.0,20
exclude,1,C1 Ridge,2023-08,2023-08-31,0.058489499287043945,0.8372452870867434,0.7618545615546026,28,0.8452150795879114,0.15466772586547217,0.0,20,8,0,0.0657450758890767,-0.00335035733774007,0.0,18
exclude,1,C1 Ridge,2023-09,2023-09-27,0.026620756061795703,0.8541794565624398,0.7521519981468968,35,0.7581064115720624,0.2415742641802577,0.0,24,11,0,0.025948486150412817,-0.00011236966382270576,0.0,22
exclude,1,C1 Ridge,2023-10,2023-10-31,-0.025673508590805083,0.9253048063938257,0.8953412184071098,37,0.969640164846182,0.030220552353788833,0.0,26,11,0,-0.02351409003399207,-0.0010986981221617798,0.0,20
exclude,1,C1 Ridge,2023-11,2023-11-30,0.015220363422867145,0.8641400466082603,0.695111018759472,44,0.760425501187748,0.23957370488897597,0.0,24,20,0,0.013797274235907937,0.002178749486263285,0.0,20
