mois,date_rebalance,n_pareto,n_candidates,n_positions,expected_alpha_opt,expected_alpha_raw,cvar_95,liquidity_L_weighted,turnover_vs_prev,selection_rule,status
2023-01,2023-01-31,24,43,37,0.679617,0.684756,0.011411,0.5892,0.0,knee,ok
2023-02,2023-02-28,22,40,40,1.03492,1.027939,0.013617,0.6999,0.6554,knee,ok
2023-03,2023-03-31,24,39,39,0.744216,0.744337,0.009858,0.7764,0.562,knee,ok
2023-04,2023-04-28,21,38,34,0.947049,0.971659,0.009384,0.6482,0.3969,knee,ok
2023-05,2023-05-31,24,40,34,0.98369,0.987798,0.01153,0.6768,0.524,knee,ok
2023-06,2023-06-28,24,43,38,0.946572,0.951883,0.008772,0.7625,0.6206,knee,ok
2023-07,2023-07-31,19,38,28,1.070265,1.068026,0.010659,0.9935,0.402,knee,ok
2023-08,2023-08-31,17,37,27,1.205465,1.207587,0.009961,0.9602,0.3167,knee,ok
2023-09,2023-09-27,16,39,33,1.000584,1.000873,0.010734,0.9876,0.2812,knee,ok
2023-10,2023-10-31,20,37,35,0.745215,0.750204,0.011089,0.9723,0.2682,knee,ok
2023-11,2023-11-30,15,38,34,0.845795,0.846331,0.010378,0.9437,0.26,knee,ok
2023-12,2023-12-29,11,38,32,0.87327,0.876269,0.010062,0.9926,0.3076,knee,ok
2024-01,2024-01-31,26,34,32,1.28665,1.281539,0.011809,0.9671,0.4755,knee,ok
2024-02,2024-02-29,23,32,30,1.098429,1.105959,0.011126,0.9829,0.3511,knee,ok
2024-03,2024-03-29,21,37,31,0.894139,0.897531,0.008867,0.9801,0.6817,knee,ok
2024-04,2024-04-30,30,38,35,0.790461,0.820155,0.009195,0.974,0.3656,knee,ok
2024-05,2024-05-31,23,38,31,0.935821,0.938523,0.010944,0.9805,0.3059,knee,ok
2024-06,2024-06-28,25,39,33,0.953652,0.954601,0.010292,0.912,0.3239,knee,ok
2024-07,2024-07-31,24,37,33,1.024831,1.024716,0.009589,0.9931,0.2924,knee,ok
2024-08,2024-08-30,29,37,33,0.958915,0.956982,0.011237,0.976,0.5254,knee,ok
2024-09,2024-09-30,29,37,32,0.977969,0.986604,0.008911,0.8409,0.4297,knee,ok
2024-10,2024-10-31,26,29,28,0.916258,0.932297,0.010239,0.8066,0.4128,knee,ok
2024-11,2024-11-29,22,33,32,0.992145,0.993498,0.009475,0.9292,0.3661,knee,ok
2024-12,2024-12-31,26,36,32,1.02693,1.025857,0.009005,0.8696,0.4714,knee,ok
2025-01,2025-01-31,18,40,39,0.635285,0.630918,0.008868,0.9753,0.4912,knee,ok
2025-02,2025-02-28,22,39,35,0.600884,0.599059,0.009091,0.9689,0.3662,knee,ok
2025-03,2025-03-28,22,42,37,0.635072,0.623188,0.008081,0.9825,0.5364,knee,ok
2025-04,2025-04-30,22,45,39,0.57903,0.593494,0.011199,0.9421,0.4419,knee,ok
2025-05,2025-05-30,22,39,35,0.516855,0.52175,0.01103,0.8775,0.3326,knee,ok
2025-06,2025-06-30,27,41,36,0.673172,0.658552,0.010841,0.9846,0.3453,knee,ok
