mois,date_rebalance,status,n_candidates,n_positions_selected,n_pareto,expected_alpha_selected,cvar_selected,liquidity_L_selected
2023-01,2023-01-31,ok,43,37,24,0.684756,0.011411,0.5892
2023-02,2023-02-28,ok,40,40,22,1.027939,0.013617,0.6999
2023-03,2023-03-31,ok,39,39,24,0.744337,0.009858,0.7764
2023-04,2023-04-28,ok,38,34,21,0.971659,0.009384,0.6482
2023-05,2023-05-31,ok,40,34,24,0.987798,0.01153,0.6768
2023-06,2023-06-28,ok,43,38,24,0.951883,0.008772,0.7625
2023-07,2023-07-31,ok,38,28,19,1.068026,0.010659,0.9935
2023-08,2023-08-31,ok,37,27,17,1.207587,0.009961,0.9602
2023-09,2023-09-27,ok,39,33,16,1.000873,0.010734,0.9876
2023-10,2023-10-31,ok,37,35,20,0.750204,0.011089,0.9723
2023-11,2023-11-30,ok,38,34,15,0.846331,0.010378,0.9437
2023-12,2023-12-29,ok,38,32,11,0.876269,0.010062,0.9926
2024-01,2024-01-31,ok,34,32,26,1.281539,0.011809,0.9671
2024-02,2024-02-29,ok,32,30,23,1.105959,0.011126,0.9829
2024-03,2024-03-29,ok,37,31,21,0.897531,0.008867,0.9801
2024-04,2024-04-30,ok,38,35,30,0.820155,0.009195,0.974
2024-05,2024-05-31,ok,38,31,23,0.938523,0.010944,0.9805
2024-06,2024-06-28,ok,39,33,25,0.954601,0.010292,0.912
2024-07,2024-07-31,ok,37,33,24,1.024716,0.009589,0.9931
2024-08,2024-08-30,ok,37,33,29,0.956982,0.011237,0.976
2024-09,2024-09-30,ok,37,32,29,0.986604,0.008911,0.8409
2024-10,2024-10-31,ok,29,28,26,0.932297,0.010239,0.8066
2024-11,2024-11-29,ok,33,32,22,0.993498,0.009475,0.9292
2024-12,2024-12-31,ok,36,32,26,1.025857,0.009005,0.8696
2025-01,2025-01-31,ok,40,39,18,0.630918,0.008868,0.9753
2025-02,2025-02-28,ok,39,35,22,0.599059,0.009091,0.9689
2025-03,2025-03-28,ok,42,37,22,0.623188,0.008081,0.9825
2025-04,2025-04-30,ok,45,39,22,0.593494,0.011199,0.9421
2025-05,2025-05-30,ok,39,35,22,0.52175,0.01103,0.8775
2025-06,2025-06-30,ok,41,36,27,0.658552,0.010841,0.9846
