mois,portfolio,dominated_among_4_archived,alpha_opt,cvar,L,n_titres,turnover,alpha_raw,n_pareto_reported,selection_rule,note
2023-01,P_agressif,False,0.826222,0.0146,0.6334,39,0.0,0.82993,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-01,P_equilibre,False,0.679617,0.011411,0.5892,37,0.0,0.684756,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-01,P_defensif,False,0.397707,0.006841,0.2733,28,0.0,0.394717,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-01,P_selected,False,0.679617,0.011411,0.5892,37,0.0,0.684756,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-02,P_agressif,False,1.155008,0.015636,0.6979,35,0.7067,1.15248,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-02,P_equilibre,False,1.03492,0.013617,0.6999,40,0.6554,1.027939,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-02,P_defensif,False,0.402577,0.007673,0.283,26,0.4893,0.40122,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-02,P_selected,False,1.03492,0.013617,0.6999,40,0.6554,1.027939,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-03,P_agressif,False,0.85849,0.0088,0.5779,37,0.6181,0.858189,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-03,P_equilibre,False,0.744216,0.009858,0.7764,39,0.562,0.744337,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-03,P_defensif,False,0.514932,0.005541,0.4343,29,0.6871,0.514764,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-03,P_selected,False,0.744216,0.009858,0.7764,39,0.562,0.744337,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-04,P_agressif,False,1.588898,0.012291,0.4554,35,0.6212,1.598815,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-04,P_equilibre,False,0.947049,0.009384,0.6482,34,0.3969,0.971659,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-04,P_defensif,False,0.639975,0.006843,0.4721,26,0.4266,0.663043,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-04,P_selected,False,0.947049,0.009384,0.6482,34,0.3969,0.971659,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-05,P_agressif,False,1.041351,0.014042,0.8044,33,0.5595,1.045711,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-05,P_equilibre,False,0.98369,0.01153,0.6768,34,0.524,0.987798,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-05,P_defensif,False,0.612392,0.006977,0.35,25,0.7873,0.613588,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-05,P_selected,False,0.98369,0.01153,0.6768,34,0.524,0.987798,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-06,P_agressif,False,1.174207,0.011396,0.7609,38,0.7025,1.177734,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-06,P_equilibre,False,0.946572,0.008772,0.7625,38,0.6206,0.951883,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-06,P_defensif,False,0.657948,0.006293,0.5792,31,0.6342,0.666627,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-06,P_selected,False,0.946572,0.008772,0.7625,38,0.6206,0.951883,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-07,P_agressif,False,1.17946,0.011711,0.9959,35,0.3716,1.179692,19,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-07,P_equilibre,False,1.070265,0.010659,0.9935,28,0.402,1.068026,19,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-07,P_defensif,False,0.806864,0.009161,0.9074,31,0.3667,0.808005,19,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-07,P_selected,False,1.070265,0.010659,0.9935,28,0.402,1.068026,19,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-08,P_agressif,False,1.398586,0.011778,0.9553,31,0.3256,1.399058,17,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-08,P_equilibre,False,1.205465,0.009961,0.9602,27,0.3167,1.207587,17,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-08,P_defensif,False,0.894709,0.008209,0.8091,22,0.4721,0.901294,17,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-08,P_selected,False,1.205465,0.009961,0.9602,27,0.3167,1.207587,17,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-09,P_agressif,False,1.133063,0.012892,0.998,33,0.4048,1.132992,16,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
