mois,agg_alpha,sel_alpha,def_alpha,agg_cvar,sel_cvar,def_cvar,agg_L,sel_L,def_L,agg_is_max_alpha,def_is_min_cvar
2023-01,0.826222,0.679617,0.397707,0.0146,0.011411,0.006841,0.6334,0.5892,0.2733,True,True
2023-02,1.155008,1.03492,0.402577,0.015636,0.013617,0.007673,0.6979,0.6999,0.283,True,True
2023-03,0.85849,0.744216,0.514932,0.0088,0.009858,0.005541,0.5779,0.7764,0.4343,True,True
2023-04,1.588898,0.947049,0.639975,0.012291,0.009384,0.006843,0.4554,0.6482,0.4721,True,True
2023-05,1.041351,0.98369,0.612392,0.014042,0.01153,0.006977,0.8044,0.6768,0.35,True,True
2023-06,1.174207,0.946572,0.657948,0.011396,0.008772,0.006293,0.7609,0.7625,0.5792,True,True
2023-07,1.17946,1.070265,0.806864,0.011711,0.010659,0.009161,0.9959,0.9935,0.9074,True,True
2023-08,1.398586,1.205465,0.894709,0.011778,0.009961,0.008209,0.9553,0.9602,0.8091,True,True
2023-09,1.133063,1.000584,0.6886,0.012892,0.010734,0.009167,0.998,0.9876,0.8071,True,True
2023-10,0.88943,0.745215,0.576107,0.013618,0.011089,0.009146,0.9982,0.9723,0.8574,True,True
2023-11,0.967941,0.845795,0.600955,0.01175,0.010378,0.008406,0.9503,0.9437,0.7518,True,True
2023-12,0.984701,0.87327,0.768882,0.011183,0.010062,0.009496,0.9936,0.9926,0.9842,True,True
2024-01,1.566013,1.28665,0.911138,0.010981,0.011809,0.007777,0.7321,0.9671,0.7929,True,True
2024-02,1.565202,1.098429,0.827735,0.014791,0.011126,0.009547,0.9536,0.9829,0.8673,True,True
2024-03,1.280655,0.894139,0.455913,0.013043,0.008867,0.006231,0.9987,0.9801,0.8964,True,True
2024-04,1.250308,0.790461,0.460256,0.014184,0.009195,0.006383,0.8952,0.974,0.8987,True,True
2024-05,1.145543,0.935821,0.43547,0.01466,0.010944,0.007583,0.9566,0.9805,0.9637,True,True
2024-06,1.213293,0.953652,0.555437,0.014263,0.010292,0.006001,0.9205,0.912,0.708,True,True
2024-07,1.336426,1.024831,0.630213,0.014002,0.009589,0.008034,0.9909,0.9931,0.8868,True,True
2024-08,1.362401,0.958915,0.506693,0.013986,0.011237,0.007805,0.9258,0.976,0.8375,True,True
2024-09,1.323582,0.977969,0.785294,0.011068,0.008911,0.007656,0.7435,0.8409,0.7411,True,True
2024-10,1.156807,0.916258,0.58491,0.012626,0.010239,0.008113,0.7645,0.8066,0.6527,True,True
2024-11,1.188686,0.992145,0.752668,0.01149,0.009475,0.008405,0.9753,0.9292,0.8294,True,True
2024-12,1.237816,1.02693,0.703695,0.011214,0.009005,0.007091,0.8513,0.8696,0.7234,True,True
2025-01,0.732694,0.635285,0.446737,0.010025,0.008868,0.007621,0.9761,0.9753,0.8429,True,True
2025-02,0.738419,0.600884,0.417881,0.009797,0.009091,0.008003,0.9562,0.9689,0.9017,True,True
2025-03,0.818186,0.635072,0.364559,0.009633,0.008081,0.006475,0.9525,0.9825,0.9331,True,True
2025-04,0.781794,0.57903,0.277136,0.013074,0.011199,0.009405,0.9073,0.9421,0.8381,True,True
2025-05,0.719605,0.516855,0.303676,0.013096,0.01103,0.009001,0.9371,0.8775,0.6948,True,True
2025-06,0.95858,0.673172,0.421287,0.013523,0.010841,0.009244,0.9834,0.9846,0.905,True,True
