cell,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto
1,2023-01,2023-01-31,ok,,56,51,0.271345,0.011839,0.624,21
1,2023-02,2023-02-28,ok,,53,48,0.249613,0.012276,0.5236,20
1,2023-03,2023-03-31,ok,,55,40,0.279277,0.008464,0.6965,22
1,2023-04,2023-04-28,ok,,57,50,0.271031,0.009126,0.7252,22
1,2023-05,2023-05-31,ok,,55,43,0.334043,0.008415,0.7424,22
1,2023-06,2023-06-28,ok,,56,53,0.413773,0.008751,0.791,20
1,2023-07,2023-07-31,ok,,42,34,0.609139,0.010813,0.9906,13
1,2023-08,2023-08-31,ok,,41,35,0.530979,0.009337,0.9303,16
1,2023-09,2023-09-27,ok,,47,39,0.374717,0.012176,0.9799,18
1,2023-10,2023-10-31,ok,,43,40,0.319729,0.01065,0.9642,19
1,2023-11,2023-11-30,ok,,47,42,0.327904,0.01056,0.8775,19
1,2023-12,2023-12-29,ok,,51,40,0.280374,0.009964,0.8676,22
1,2024-01,2024-01-31,ok,,47,39,0.427403,0.012204,0.9887,19
1,2024-02,2024-02-29,ok,,44,36,0.466378,0.011331,0.9828,19
1,2024-03,2024-03-29,ok,,43,32,0.394063,0.009716,0.9873,24
1,2024-04,2024-04-30,ok,,43,37,0.332187,0.009447,0.9801,25
1,2024-05,2024-05-31,ok,,48,42,0.356263,0.00948,0.9826,16
1,2024-06,2024-06-28,ok,,48,43,0.39447,0.009216,0.9395,20
1,2024-07,2024-07-31,ok,,45,39,0.53198,0.008984,0.986,16
1,2024-08,2024-08-30,ok,,51,44,0.39906,0.010258,0.9415,18
1,2024-09,2024-09-30,ok,,46,39,0.486104,0.010121,0.9031,18
1,2024-10,2024-10-31,ok,,43,41,0.476048,0.010975,0.8345,23
1,2024-11,2024-11-29,ok,,45,40,0.431673,0.009219,0.9577,23
1,2024-12,2024-12-31,ok,,46,42,0.489937,0.009689,0.8857,23
1,2025-01,2025-01-31,ok,,42,39,0.296346,0.007688,0.9857,24
1,2025-02,2025-02-28,ok,,44,40,0.291453,0.007493,0.9848,19
1,2025-03,2025-03-28,ok,,42,37,0.436692,0.007529,0.9905,23
1,2025-04,2025-04-30,ok,,41,35,0.388876,0.010546,0.9683,22
1,2025-05,2025-05-30,ok,,44,41,0.318888,0.011776,0.9608,21
1,2025-06,2025-06-30,ok,,45,36,0.378922,0.010959,0.9878,25
2,2023-01,2023-01-31,ok,,51,47,0.228498,0.010955,0.5704,24
2,2023-02,2023-02-28,ok,,54,52,0.243161,0.010901,0.4975,20
2,2023-03,2023-03-31,ok,,57,46,0.274371,0.008171,0.6829,26
2,2023-04,2023-04-28,ok,,58,51,0.29456,0.011218,0.7186,19
2,2023-05,2023-05-31,ok,,58,53,0.338867,0.008575,0.6924,23
2,2023-06,2023-06-28,ok,,58,51,0.451265,0.008464,0.7526,20
2,2023-07,2023-07-31,ok,,51,44,0.563421,0.009631,0.9293,14
2,2023-08,2023-08-31,ok,,41,35,0.494467,0.00932,0.9386,14
2,2023-09,2023-09-27,ok,,45,37,0.359408,0.011303,0.9758,14
2,2023-10,2023-10-31,ok,,42,37,0.340348,0.012197,0.9767,16
2,2023-11,2023-11-30,ok,,46,34,0.321051,0.010291,0.9095,18
2,2023-12,2023-12-29,ok,,49,43,0.278231,0.010521,0.9275,19
2,2024-01,2024-01-31,ok,,48,38,0.478566,0.013314,0.9848,12
2,2024-02,2024-02-29,ok,,44,36,0.430607,0.010708,0.9352,15
2,2024-03,2024-03-29,ok,,45,38,0.475619,0.011274,0.9787,22
2,2024-04,2024-04-30,ok,,44,41,0.347141,0.008387,0.9721,20
2,2024-05,2024-05-31,ok,,50,43,0.33826,0.008999,0.9487,20
2,2024-06,2024-06-28,ok,,48,45,0.40626,0.009296,0.9597,24
2,2024-07,2024-07-31,ok,,46,40,0.498588,0.008646,0.9707,16
2,2024-08,2024-08-30,ok,,52,41,0.334432,0.008795,0.9153,13
2,2024-09,2024-09-30,ok,,46,42,0.519154,0.010544,0.9004,20
2,2024-10,2024-10-31,ok,,44,40,0.521336,0.010496,0.7681,21
2,2024-11,2024-11-29,ok,,45,41,0.447362,0.009134,0.8887,19
2,2024-12,2024-12-31,ok,,47,41,0.455257,0.009373,0.8644,23
2,2025-01,2025-01-31,ok,,43,41,0.374933,0.008466,0.9817,23
2,2025-02,2025-02-28,ok,,46,45,0.362438,0.00807,0.9768,27
2,2025-03,2025-03-28,ok,,46,40,0.480241,0.007816,0.9913,19
2,2025-04,2025-04-30,ok,,41,32,0.348561,0.010266,0.976,24
2,2025-05,2025-05-30,ok,,44,34,0.303008,0.011029,0.9443,23
2,2025-06,2025-06-30,ok,,45,41,0.379763,0.010975,0.982,25
3,2023-01,2023-01-31,ok,,43,33,0.844843,0.013256,0.5842,23
3,2023-02,2023-02-28,ok,,41,39,0.956178,0.013585,0.6751,19
3,2023-03,2023-03-31,ok,,39,34,0.860991,0.008941,0.7055,19
3,2023-04,2023-04-28,ok,,39,37,0.922932,0.010617,0.7638,20
3,2023-05,2023-05-31,ok,,41,37,0.848474,0.012426,0.6976,26
3,2023-06,2023-06-28,ok,,43,38,0.821738,0.009826,0.8563,23
3,2023-07,2023-07-31,ok,,38,32,1.058984,0.010266,0.9486,18
3,2023-08,2023-08-31,ok,,37,27,1.147084,0.009465,0.9589,18
3,2023-09,2023-09-27,ok,,38,31,1.044931,0.011181,0.9868,17
3,2023-10,2023-10-31,ok,,37,37,0.838015,0.011592,0.9875,21
3,2023-11,2023-11-30,ok,,38,32,0.875074,0.010603,0.9831,13
3,2023-12,2023-12-29,ok,,38,36,0.897293,0.009709,0.904,20
3,2024-01,2024-01-31,ok,,34,27,1.240849,0.011247,0.9191,28
3,2024-02,2024-02-29,ok,,32,28,1.300752,0.012313,0.9984,23
3,2024-03,2024-03-29,ok,,37,32,0.771558,0.008132,0.9977,22
3,2024-04,2024-04-30,ok,,38,32,0.777961,0.008845,0.9823,26
3,2024-05,2024-05-31,ok,,38,35,0.791199,0.009706,0.9791,23
3,2024-06,2024-06-28,ok,,39,34,0.907532,0.009851,0.9443,25
3,2024-07,2024-07-31,ok,,37,35,1.108031,0.010257,0.9961,22
3,2024-08,2024-08-30,ok,,37,29,0.952875,0.011073,0.9721,26
3,2024-09,2024-09-30,ok,,37,34,1.057824,0.010363,0.848,25
3,2024-10,2024-10-31,ok,,29,28,0.887259,0.011012,0.8223,19
3,2024-11,2024-11-29,ok,,33,31,1.155647,0.010224,0.9939,23
3,2024-12,2024-12-31,ok,,36,35,1.022236,0.010028,0.888,24
3,2025-01,2025-01-31,ok,,40,40,0.542216,0.008602,0.9583,19
3,2025-02,2025-02-28,ok,,39,35,0.639143,0.009224,0.9498,21
3,2025-03,2025-03-28,ok,,43,42,0.695627,0.008066,0.9808,21
3,2025-04,2025-04-30,ok,,45,35,0.517602,0.011017,0.9562,20
3,2025-05,2025-05-30,ok,,39,33,0.643265,0.011551,0.8841,22
3,2025-06,2025-06-30,ok,,41,30,0.788509,0.011503,0.986,24
4,2023-01,2023-01-31,ok,,43,37,0.684756,0.011411,0.5892,24
4,2023-02,2023-02-28,ok,,40,40,1.027939,0.013617,0.6999,22
4,2023-03,2023-03-31,ok,,39,39,0.744337,0.009858,0.7764,24
4,2023-04,2023-04-28,ok,,38,34,0.971659,0.009384,0.6482,21
4,2023-05,2023-05-31,ok,,40,34,0.987798,0.01153,0.6768,24
4,2023-06,2023-06-28,ok,,43,38,0.951883,0.008772,0.7625,24
4,2023-07,2023-07-31,ok,,38,28,1.068026,0.010659,0.9935,19
4,2023-08,2023-08-31,ok,,37,27,1.207587,0.009961,0.9602,17
4,2023-09,2023-09-27,ok,,39,33,1.000873,0.010734,0.9876,16
4,2023-10,2023-10-31,ok,,37,35,0.750204,0.011089,0.9723,20
4,2023-11,2023-11-30,ok,,38,34,0.846331,0.010378,0.9437,15
4,2023-12,2023-12-29,ok,,38,32,0.876269,0.010062,0.9926,11
4,2024-01,2024-01-31,ok,,34,32,1.281539,0.011809,0.9671,26
4,2024-02,2024-02-29,ok,,32,30,1.105959,0.011126,0.9829,23
4,2024-03,2024-03-29,ok,,37,31,0.897531,0.008867,0.9801,21
4,2024-04,2024-04-30,ok,,38,35,0.820155,0.009195,0.974,30
4,2024-05,2024-05-31,ok,,38,31,0.938523,0.010944,0.9805,23
4,2024-06,2024-06-28,ok,,39,33,0.954601,0.010292,0.912,25
4,2024-07,2024-07-31,ok,,37,33,1.024716,0.009589,0.9931,24
4,2024-08,2024-08-30,ok,,37,33,0.956982,0.011237,0.976,29
4,2024-09,2024-09-30,ok,,37,32,0.986604,0.008911,0.8409,29
4,2024-10,2024-10-31,ok,,29,28,0.932297,0.010239,0.8066,26
4,2024-11,2024-11-29,ok,,33,32,0.993498,0.009475,0.9292,22
4,2024-12,2024-12-31,ok,,36,32,1.025857,0.009005,0.8696,26
4,2025-01,2025-01-31,ok,,40,39,0.630918,0.008868,0.9753,18
4,2025-02,2025-02-28,ok,,39,35,0.599059,0.009091,0.9689,22
4,2025-03,2025-03-28,ok,,42,37,0.623188,0.008081,0.9825,22
4,2025-04,2025-04-30,ok,,45,39,0.593494,0.011199,0.9421,22
4,2025-05,2025-05-30,ok,,39,35,0.52175,0.01103,0.8775,22
4,2025-06,2025-06-30,ok,,41,36,0.658552,0.010841,0.9846,27
