sell_mode,cell,configuration,mois,date_rebalance,ret_month,turnover,liquidite_ponderee,n_titres,w_BUY,w_NEUTRAL,w_SELL,n_BUY,n_NEUTRAL,n_SELL,contrib_BUY,contrib_NEUTRAL,contrib_SELL,n_days
exclude,1,C1 Ridge,2023-01,2023-01-31,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.842676134122434,0.15699975481980966,0.0,32,19,0,0.03988107446478463,0.011102564680657444,0.0,19
exclude,1,C1 Ridge,2023-02,2023-02-28,-0.029342438408580307,1.1911276244785256,0.47272052297998524,48,0.9477805137464114,0.05216999599759028,0.0,37,11,0,-0.026114336763215607,-0.000579028251314104,0.0,22
exclude,1,C1 Ridge,2023-03,2023-03-31,0.011609997444249842,1.213189764009993,0.5315614537854402,40,0.9721574372258718,0.027351360884564267,0.0,33,7,0,0.014445077868529683,-2.334624725340485e-06,0.0,18
exclude,1,C1 Ridge,2023-04,2023-04-28,0.04728558553872486,0.6130833663128802,0.6613632610195204,50,0.8421752864197787,0.15763222340708047,0.0,34,16,0,0.045234601660327875,0.003346816437277469,0.0,21
exclude,1,C1 Ridge,2023-05,2023-05-31,0.044859900597403524,0.9824975663075777,0.7258679877669443,43,0.982947993879395,0.016744196164269677,0.0,31,12,0,0.047236707431051,1.937515270049775e-05,0.0,19
exclude,1,C1 Ridge,2023-06,2023-06-28,0.06394961747830696,0.7467811441088414,0.7477288200467743,53,0.9269971714873944,0.07288776279262023,0.0,35,18,0,0.06524884677446649,0.0015898384304505017,0.0,20
exclude,1,C1 Ridge,2023-07,2023-07-31,0.023747457896442503,1.0622510295894612,0.9829285888188924,34,0.973024715714863,0.026793431285301216,0.0,25,9,0,0.02661647518342978,-0.00027616308685883843,0.0,20
exclude,1,C1 Ridge,2023-08,2023-08-31,0.07101088077505469,0.8062995781684511,0.927925530875286,35,0.8831890101380184,0.1166550925624266,0.0,24,11,0,0.07437229071541872,-1.353568168081127e-05,0.0,18
exclude,1,C1 Ridge,2023-09,2023-09-27,0.037269638360542645,0.8345689582520649,0.9740401282808994,39,0.9190347334122924,0.08076978964495365,0.0,27,12,0,0.03622295488296916,0.0005637621071065229,0.0,22
exclude,1,C1 Ridge,2023-10,2023-10-31,-0.02374761156995575,0.7334428789728453,0.9612388160440262,40,0.9427431447958342,0.05720373966166705,0.0,28,12,0,-0.020854609616804902,-0.0020190310785596975,0.0,20
exclude,1,C1 Ridge,2023-11,2023-11-30,0.017886390400216445,1.0105521004670948,0.8709877937795784,42,0.9297430829085714,0.07018945867585709,0.0,24,18,0,0.02020580171876218,-0.0011736644711644539,0.0,20
exclude,1,C1 Ridge,2023-12,2023-12-29,0.07182915767128906,0.8449689975720102,0.8377123898802696,40,0.9287136632596027,0.0709527435788702,0.0,28,12,0,0.07406204761710561,0.001483001627449639,0.0,21
exclude,1,C1 Ridge,2024-01,2024-01-31,0.06870451838906555,1.1098312045288818,0.965738615494263,39,0.8848724046860876,0.11481294487757775,0.0,20,19,0,0.07445569149956456,-0.002554283285370925,0.0,20
exclude,1,C1 Ridge,2024-02,2024-02-29,0.01888921699502255,0.8947380659060836,0.9730539045609085,36,0.9550655660120406,0.044625019850441046,0.0,24,12,0,0.023010328176003264,-0.0006214307376712435,0.0,20
exclude,1,C1 Ridge,2024-03,2024-03-29,0.07947524578265108,1.2116380471504384,0.9854871398335109,32,0.9894096028212543,0.01034391316574519,0.0,22,10,0,0.08883903402453207,8.078257966210789e-05,0.0,19
exclude,1,C1 Ridge,2024-04,2024-04-30,0.014501237943614687,0.7892924752213621,0.9808209908602255,37,0.6570283096771925,0.3428138100667086,0.0,26,11,0,-0.0009626008062052011,0.016888500209093323,0.0,21
exclude,1,C1 Ridge,2024-05,2024-05-31,-0.010136486379329623,1.0162817217436844,0.9810131758289851,42,0.9700571870227348,0.029829120698513692,0.0,28,14,0,-0.008753382395810224,-0.00016944701364448228,0.0,17
exclude,1,C1 Ridge,2024-06,2024-06-28,0.10381047238205854,0.6187365442182446,0.8985484444366061,43,0.899585620281035,0.10036164294054672,0.0,28,15,0,0.10683222024240656,-0.0003422015166167824,0.0,22
exclude,1,C1 Ridge,2024-07,2024-07-31,0.007580655923969948,0.5169817639939392,0.9721493598068832,39,0.9401078149960304,0.059635526036543034,0.0,29,10,0,0.009931760093212486,-0.0011960985032621796,0.0,18
exclude,1,C1 Ridge,2024-08,2024-08-30,0.036817812166426656,0.8582725770488575,0.9258111404207691,44,0.992600908187753,0.007310219838354776,0.0,35,9,0,0.03990645270970817,-3.172902727580978e-05,0.0,18
exclude,1,C1 Ridge,2024-09,2024-09-30,0.00017300405207976155,0.7375841058877999,0.7829162320506418,39,0.9519608875852295,0.04770189828638524,0.0,30,9,0,0.003449433901925078,-0.0010199505927462427,0.0,22
exclude,1,C1 Ridge,2024-10,2024-10-31,0.018271951062104552,0.9495530382612394,0.7767048712678097,41,0.9159220190576166,0.0840003905341271,0.0,29,12,0,0.017316942161687124,0.0014476263322260546,0.0,18
exclude,1,C1 Ridge,2024-11,2024-11-29,0.016969348894953606,0.930660618255999,0.922230186892854,40,0.9682624885423733,0.03152255160717201,0.0,29,11,0,0.01825024357965937,0.001909935912470825,0.0,21
exclude,1,C1 Ridge,2024-12,2024-12-31,0.030376761202462133,0.8717559353358616,0.8208897502558781,42,0.9714968989728258,0.028357625675821924,0.0,33,9,0,0.029125611025171638,0.0028050290300815606,0.0,20
exclude,1,C1 Ridge,2025-01,2025-01-31,0.0192973124123057,0.9055039780460453,0.9307895210991894,39,0.6381607082175137,0.3617452366601471,0.0,27,12,0,0.01734372604893855,0.003911693365084003,0.0,19
exclude,1,C1 Ridge,2025-02,2025-02-28,0.050285683760794564,0.679785790758496,0.9371519757668667,40,0.6648928142798103,0.3349391508123819,0.0,25,15,0,0.03630617408570039,0.01784911524043006,0.0,19
exclude,1,C1 Ridge,2025-03,2025-03-28,0.006412299766866081,1.0487673122350327,0.9564422706668516,37,0.8834768083085293,0.11636834084078018,0.0,27,10,0,0.010496068370689109,-0.0035607702432002954,0.0,21
exclude,1,C1 Ridge,2025-04,2025-04-30,-0.0012517999136193447,1.276561896282645,0.9448540319575733,35,0.9635424673864729,0.0363561585942167,0.0,25,10,0,0.004054756033553944,-0.002224866585100419,0.0,20
exclude,1,C1 Ridge,2025-05,2025-05-30,0.041247829137845526,1.1372306883885472,0.9564513765841933,41,0.8946765295031277,0.10524633739758209,0.0,28,13,0,0.04102022806546631,0.004036807949571509,0.0,18
exclude,1,C1 Ridge,2025-06,2025-06-30,-0.04612265936741633,1.17897502943172,0.8613467392270499,36,0.5798625165702702,0.41987591090878923,0.0,23,13,0,-0.06415183574397551,-0.033132942438492935,0.0,188
exclude,2,C2 Ridge + régime,2023-01,2023-01-31,0.036276197218470196,0.9999727048508843,0.4099828136358415,47,0.6947068900838601,0.305265814767024,0.0,25,22,0,0.02458576898029484,0.013278275238019341,0.0,19
exclude,2,C2 Ridge + régime,2023-02,2023-02-28,-0.01814448104974864,0.8217279507876296,0.45274700521907296,52,0.8705897477568921,0.12939055802108893,0.0,36,16,0,-0.01466920843991584,-0.001232721935795138,0.0,22
exclude,2,C2 Ridge + régime,2023-03,2023-03-31,0.005486350167632326,1.0330904981319924,0.5674554880690656,46,0.915790152297704,0.08390344459161962,0.0,32,14,0,0.005394367555629279,0.002260615788446084,0.0,18
