cell,mois,n_liq,n_after_sell,n_nsga_protocol
1,2023-01,26,57,57
1,2023-02,23,54,54
1,2023-03,19,55,55
1,2023-04,24,57,57
1,2023-05,33,55,55
1,2023-06,33,56,56
1,2023-07,33,42,42
1,2023-08,30,41,41
1,2023-09,33,47,47
1,2023-10,33,43,43
1,2023-11,25,47,47
1,2023-12,36,51,51
1,2024-01,37,48,48
1,2024-02,33,45,45
1,2024-03,36,43,43
1,2024-04,36,43,43
1,2024-05,36,48,48
1,2024-06,33,48,48
1,2024-07,32,45,45
1,2024-08,35,51,51
1,2024-09,38,46,46
1,2024-10,32,43,43
1,2024-11,38,45,45
1,2024-12,36,46,46
1,2025-01,42,43,43
1,2025-02,42,45,45
1,2025-03,45,42,42
1,2025-04,42,41,41
1,2025-05,41,44,44
1,2025-06,43,45,45
2,2023-01,26,52,52
2,2023-02,23,55,55
2,2023-03,19,57,57
2,2023-04,24,58,58
2,2023-05,33,58,58
2,2023-06,33,58,58
2,2023-07,33,51,51
2,2023-08,30,41,41
2,2023-09,33,45,45
2,2023-10,33,42,42
2,2023-11,25,46,46
2,2023-12,36,49,49
2,2024-01,37,49,49
2,2024-02,33,45,45
2,2024-03,36,45,45
2,2024-04,36,44,44
2,2024-05,36,50,50
2,2024-06,33,48,48
2,2024-07,32,46,46
2,2024-08,35,52,52
2,2024-09,38,46,46
2,2024-10,32,44,44
2,2024-11,38,45,45
2,2024-12,36,47,47
2,2025-01,42,44,44
2,2025-02,42,47,47
2,2025-03,45,46,46
2,2025-04,42,41,41
2,2025-05,41,44,44
2,2025-06,43,45,45
3,2023-01,26,44,44
3,2023-02,23,42,42
3,2023-03,19,39,39
3,2023-04,24,39,39
3,2023-05,33,41,41
3,2023-06,33,43,43
3,2023-07,33,38,38
3,2023-08,30,37,37
3,2023-09,33,38,38
3,2023-10,33,37,37
3,2023-11,25,38,38
3,2023-12,36,38,38
3,2024-01,37,35,35
3,2024-02,33,33,33
3,2024-03,36,37,37
3,2024-04,36,38,38
3,2024-05,36,38,38
3,2024-06,33,39,39
3,2024-07,32,37,37
3,2024-08,35,37,37
3,2024-09,38,37,37
3,2024-10,32,29,29
3,2024-11,38,33,33
3,2024-12,36,36,36
3,2025-01,42,41,41
3,2025-02,42,40,40
3,2025-03,45,43,43
3,2025-04,42,45,45
3,2025-05,41,39,39
3,2025-06,43,41,41
4,2023-01,26,44,44
4,2023-02,23,41,41
4,2023-03,19,39,39
4,2023-04,24,38,38
4,2023-05,33,40,40
4,2023-06,33,43,43
4,2023-07,33,38,38
4,2023-08,30,37,37
4,2023-09,33,39,39
4,2023-10,33,37,37
4,2023-11,25,38,38
4,2023-12,36,38,38
4,2024-01,37,35,35
4,2024-02,33,33,33
4,2024-03,36,37,37
4,2024-04,36,38,38
4,2024-05,36,38,38
4,2024-06,33,39,39
4,2024-07,32,37,37
4,2024-08,35,37,37
4,2024-09,38,37,37
4,2024-10,32,29,29
4,2024-11,38,33,33
4,2024-12,36,36,36
4,2025-01,42,41,41
4,2025-02,42,40,40
4,2025-03,45,42,42
4,2025-04,42,45,45
4,2025-05,41,39,39
4,2025-06,43,41,41
