cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible,min_vmq_threshold,protocol_window
1,C1 Ridge,2023-01,2023-01-31,P_selected,ADI,0.24744607453259784,NEUTRAL,-0.07246722287651061,-0.07246722287651061,-0.036233611438255306,1233006.9115,0.999999852304148,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.07692307692307687,0.019034313425584436,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CMA,0.17067215234409805,BUY,0.19108295778065082,0.19108295778065082,0.19108295778065082,2986329.6,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.05551149881046791,0.009474266981829396,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CSR,0.12947940700762295,BUY,0.8647683893090082,0.8647683893090082,0.8647683893090082,2767953.9,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.04651162790697683,0.006022298000354567,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,LBV,0.1264164992084983,BUY,0.16998654107301625,0.16998654107301625,0.16998654107301625,2657280.1,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.06024096385542177,0.0076154517595481,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,IAM,0.06798719091510855,BUY,0.43277034582085794,0.43277034582085794,0.43277034582085794,13544039.144499999,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,-0.022105263157894628,-0.0015028747465444974,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CMT,0.04095064295776778,NEUTRAL,0.08217798912977184,0.08217798912977184,0.04108899456488592,1487451.35,0.9999999974805409,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.10256410256410264,0.004200065944386442,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,ATW,0.039007750859653176,BUY,0.3984766275224063,0.3984766275224063,0.3984766275224063,15659908.55,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.15616438356164375,0.006091621367123917,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CIH,0.036610971135717096,BUY,0.22325483022522735,0.22325483022522735,0.22325483022522735,640825.5349999999,0.9980794256192659,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.10154263434480426,0.003717574455042304,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,BOA,0.0357609796600895,BUY,0.2123534373015419,0.2123534373015419,0.2123534373015419,2365189.8625,0.999999999999998,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.050000000000000044,0.0017880489830044766,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,ARD,0.030418657754071193,NEUTRAL,0.0787250751174563,0.0787250751174563,0.03936253755872815,1139534.2349999999,0.9999993410040309,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.047601010101010255,0.0014479588350107167,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,EQD,0.030225438376361966,NEUTRAL,-0.03695534581443524,-0.03695534581443524,-0.01847767290721762,628779.08,0.9976721166948841,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.0986254295532647,0.0029809968433044303,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,GAZ,0.029537855736940427,NEUTRAL,0.061276381366186364,0.061276381366186364,0.030638190683093182,1628466.1,0.9999999997361018,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.03402298850574703,0.001004966126222338,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,BCI,0.007750779780073606,BUY,0.24814874816356763,0.24814874816356763,0.24814874816356763,1096782.8175000001,0.9999986939802256,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.32432432432432434,0.0025137664151590076,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,TQM,0.003288614090713623,BUY,0.5169882408441534,0.5169882408441534,0.5169882408441534,574601.905,0.9944788380348597,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.042105263157894646,0.0001384679617142575,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,SNP,0.0021933895201231663,BUY,0.11422847735289651,0.11422847735289651,0.11422847735289651,737511.5599999999,0.9995905085505339,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.09505703422053235,0.00020849710267330487,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,SID,0.000783227838928725,NEUTRAL,0.021470593751835437,0.021470593751835437,0.010735296875917719,900803.6300000001,0.9999699572179318,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.025423728813559254,1.9912572176153972e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,LHM,0.0007313383356955692,NEUTRAL,0.04260577503308599,0.04260577503308599,0.021302887516542995,3795742.9,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.008759124087591275,6.405883232369974e-06,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,MSA,0.000625532167794086,BUY,0.23139863802201768,0.23139863802201768,0.23139863802201768,6920604.67,1.0,1,exclude,1,22,18,0.219402,0.01392,0.9998,ok,0.06409355893903568,0.9998865022218554,0.9998865022218554,18,0.06341463414634152,3.966789356742988e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,CMA,0.19660831619313082,BUY,0.31301178374396704,0.31301178374396704,0.31301178374396704,1089665.05,0.9999985364451657,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.10188679245283017,-0.02003179070646993,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,CMT,0.12050823814731004,BUY,0.2554616160212115,0.2554616160212115,0.2554616160212115,1034067.45,0.9999964376237946,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.037837837837837784,-0.004559771173141455,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,ARD,0.10582607402049977,BUY,0.2873679606351309,0.2873679606351309,0.2873679606351309,1171041.635,0.9999996019413807,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,0.00518259611907923,0.0005484538005160335,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,LBV,0.08856843731063195,NEUTRAL,0.06816172016047096,0.06816172016047096,0.03408086008023548,3061243.25,1.0,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.011363636363636354,-0.001006459514893544,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,CIH,0.0844302623788187,BUY,0.16652481642225148,0.16652481642225148,0.16652481642225148,1095213.6300000001,0.9999986607749326,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.012618296529968487,-0.001065366086798977,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,GAZ,0.07160074790239435,BUY,0.10186616219341664,0.10186616219341664,0.10186616219341664,2997477.45,1.0,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.1235955056179775,-0.00884953063962177,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,CSR,0.0710379938831918,BUY,0.6653368176720945,0.6653368176720945,0.6653368176720945,910033.8474999999,0.9999740818607816,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.0444444444444444,-0.003157244172586299,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,BOA,0.06989200302340656,BUY,0.25232934450408684,0.25232934450408684,0.25232934450408684,9772784.5,1.0,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.026946107784431184,-0.0018833174467385034,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,SAH,0.06408292394501593,BUY,0.10645773217331851,0.10645773217331851,0.10645773217331851,2543576.1,0.9999999999999998,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.09134615384615385,-0.005853728629592801,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,ADI,0.05330669293115937,NEUTRAL,-0.04040965887803369,-0.04040965887803369,-0.020204829439016844,686830.9269999999,0.9990791524884367,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,0.1294545454545455,0.006900793703088269,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,IAM,0.028656259575969536,BUY,0.3054080588547984,0.3054080588547984,0.3054080588547984,19150457.830000002,1.0,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.07608695652173914,-0.002180367576432465,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,ATL,0.017363829879676558,NEUTRAL,0.08437741603041839,0.08437741603041839,0.04218870801520919,1271202.9575,0.999999919840497,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.07072987208427395,-0.0012281414662826168,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,ATW,0.013802791970024396,NEUTRAL,0.07116095848613449,0.07116095848613449,0.035580479243067245,17845090.095,1.0,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.04542168674698799,-0.0006269460930962893,1,500000.0,2023-01_2025-06
1,C1 Ridge,2023-02,2023-02-28,P_selected,MUT,0.00730927373781978,BUY,0.09795728621752615,0.09795728621752615,0.09795728621752615,878192.76,0.9999568629067194,1,exclude,1,20,18,0.232979,0.014286,0.9999,ok,-0.04474463820838881,0.7971153462536211,0.999952808612926,18,-0.022685185185185253,-0.0001658122283116529,1,500000.0,2023-01_2025-06
