cell,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto
1,2023-01,2023-01-31,ok,,22,18,0.219402,0.01392,0.9998,9
1,2023-02,2023-02-28,ok,,20,18,0.232979,0.014286,0.9999,9
1,2023-03,2023-03-31,ok,,18,14,0.24446,0.010877,0.9992,8
1,2023-04,2023-04-28,ok,,24,23,0.284402,0.011609,0.9994,9
1,2023-05,2023-05-31,ok,,28,22,0.33822,0.011884,0.999,9
1,2023-06,2023-06-28,ok,,29,24,0.415618,0.010563,0.9996,9
1,2023-07,2023-07-31,ok,,33,24,0.586788,0.010073,0.9981,6
1,2023-08,2023-08-31,ok,,30,22,0.573759,0.010145,0.9995,9
1,2023-09,2023-09-27,ok,,33,24,0.384341,0.011134,0.9996,9
1,2023-10,2023-10-31,ok,,31,28,0.370086,0.012169,0.9999,9
1,2023-11,2023-11-30,ok,,25,18,0.40725,0.01131,0.9992,9
1,2023-12,2023-12-29,ok,,34,23,0.313755,0.010412,0.9988,9
1,2024-01,2024-01-31,ok,,33,22,0.442832,0.010991,0.9996,7
1,2024-02,2024-02-29,ok,,31,26,0.519847,0.011512,0.9996,7
1,2024-03,2024-03-29,ok,,34,27,0.422853,0.009331,1.0,9
1,2024-04,2024-04-30,ok,,34,30,0.417556,0.010116,0.9975,9
1,2024-05,2024-05-31,ok,,35,29,0.344498,0.008933,0.9997,9
1,2024-06,2024-06-28,ok,,32,25,0.430596,0.009644,1.0,9
1,2024-07,2024-07-31,ok,,30,23,0.619093,0.01004,0.9998,9
1,2024-08,2024-08-30,ok,,32,28,0.394764,0.009927,0.999,6
1,2024-09,2024-09-30,ok,,32,27,0.403654,0.01055,0.9988,9
1,2024-10,2024-10-31,ok,,28,26,0.411496,0.011134,0.9998,9
1,2024-11,2024-11-29,ok,,33,27,0.516576,0.009717,0.9974,9
1,2024-12,2024-12-31,ok,,30,27,0.458962,0.00936,0.9994,9
1,2025-01,2025-01-31,ok,,37,35,0.335915,0.008256,0.9994,9
1,2025-02,2025-02-28,ok,,37,30,0.254151,0.00736,0.9993,9
1,2025-03,2025-03-28,ok,,37,32,0.497379,0.008099,1.0,9
1,2025-04,2025-04-30,ok,,36,23,0.339933,0.010067,0.9984,9
1,2025-05,2025-05-30,ok,,38,32,0.278827,0.010864,0.9999,9
1,2025-06,2025-06-30,ok,,37,27,0.202304,0.009734,0.9993,9
2,2023-01,2023-01-31,ok,,20,16,0.200591,0.01499,0.9998,9
2,2023-02,2023-02-28,ok,,20,18,0.240004,0.013652,0.9998,9
2,2023-03,2023-03-31,ok,,19,17,0.288131,0.011783,0.999,9
2,2023-04,2023-04-28,ok,,24,21,0.329607,0.012617,0.9994,9
2,2023-05,2023-05-31,ok,,29,22,0.350937,0.011958,0.9995,9
2,2023-06,2023-06-28,ok,,30,24,0.422624,0.009759,0.9996,9
2,2023-07,2023-07-31,ok,,33,21,0.691218,0.010447,0.9981,9
2,2023-08,2023-08-31,ok,,30,27,0.590373,0.010534,0.9995,9
2,2023-09,2023-09-27,ok,,32,21,0.336557,0.01038,0.9998,9
2,2023-10,2023-10-31,ok,,31,24,0.335818,0.011415,0.9999,9
2,2023-11,2023-11-30,ok,,25,17,0.408464,0.012185,0.9991,9
2,2023-12,2023-12-29,ok,,34,27,0.29898,0.010387,0.9991,9
2,2024-01,2024-01-31,ok,,34,25,0.489541,0.011792,0.9995,9
2,2024-02,2024-02-29,ok,,31,25,0.498066,0.011022,0.9997,9
2,2024-03,2024-03-29,ok,,34,29,0.411745,0.009392,0.9999,9
2,2024-04,2024-04-30,ok,,35,26,0.428276,0.010268,0.9978,9
2,2024-05,2024-05-31,ok,,36,32,0.375084,0.009429,0.9998,9
2,2024-06,2024-06-28,ok,,32,27,0.434209,0.009779,0.9999,8
2,2024-07,2024-07-31,ok,,30,24,0.61797,0.00963,0.9997,8
2,2024-08,2024-08-30,ok,,33,25,0.436644,0.010574,0.9984,9
2,2024-09,2024-09-30,ok,,32,28,0.433261,0.011257,0.9988,9
2,2024-10,2024-10-31,ok,,28,21,0.405281,0.011059,0.9999,9
2,2024-11,2024-11-29,ok,,33,27,0.536196,0.010282,0.9977,9
2,2024-12,2024-12-31,ok,,30,28,0.446628,0.009312,0.9994,5
2,2025-01,2025-01-31,ok,,38,36,0.359292,0.007994,0.9994,9
2,2025-02,2025-02-28,ok,,37,32,0.349959,0.007787,0.9994,9
2,2025-03,2025-03-28,ok,,40,40,0.560444,0.009533,0.9999,4
2,2025-04,2025-04-30,ok,,36,26,0.366983,0.010298,0.9986,9
2,2025-05,2025-05-30,ok,,38,33,0.290624,0.010983,0.9999,9
2,2025-06,2025-06-30,ok,,37,28,0.240217,0.010201,0.9993,9
3,2023-01,2023-01-31,ok,,17,14,0.426857,0.015132,0.9998,8
3,2023-02,2023-02-28,ok,,17,14,1.048289,0.014974,1.0,8
3,2023-03,2023-03-31,ok,,15,11,0.548886,0.012184,0.9979,9
