cell,mois,n_liq,n_nsga
1,2023-01,26,23
1,2023-02,23,21
1,2023-03,19,18
1,2023-04,24,24
1,2023-05,33,28
1,2023-06,33,29
1,2023-07,33,33
1,2023-08,30,30
1,2023-09,33,33
1,2023-10,33,31
1,2023-11,25,25
1,2023-12,36,34
1,2024-01,37,34
1,2024-02,33,32
1,2024-03,36,34
1,2024-04,36,34
1,2024-05,36,35
1,2024-06,33,32
1,2024-07,32,30
1,2024-08,35,32
1,2024-09,38,32
1,2024-10,32,28
1,2024-11,38,33
1,2024-12,36,30
1,2025-01,42,38
1,2025-02,42,38
1,2025-03,45,37
1,2025-04,42,36
1,2025-05,41,38
1,2025-06,43,37
2,2023-01,26,21
2,2023-02,23,21
2,2023-03,19,19
2,2023-04,24,24
2,2023-05,33,29
2,2023-06,33,30
2,2023-07,33,33
2,2023-08,30,30
2,2023-09,33,32
2,2023-10,33,31
2,2023-11,25,25
2,2023-12,36,34
2,2024-01,37,35
2,2024-02,33,32
2,2024-03,36,34
2,2024-04,36,35
2,2024-05,36,36
2,2024-06,33,32
2,2024-07,32,30
2,2024-08,35,33
2,2024-09,38,32
2,2024-10,32,28
2,2024-11,38,33
2,2024-12,36,30
2,2025-01,42,39
2,2025-02,42,38
2,2025-03,45,40
2,2025-04,42,36
2,2025-05,41,38
2,2025-06,43,37
3,2023-01,26,18
3,2023-02,23,18
3,2023-03,19,15
3,2023-04,24,19
3,2023-05,33,21
3,2023-06,33,23
3,2023-07,33,33
3,2023-08,30,30
3,2023-09,33,31
3,2023-10,33,31
3,2023-11,25,25
3,2023-12,36,32
3,2024-01,37,32
3,2024-02,33,30
3,2024-03,36,34
3,2024-04,36,34
3,2024-05,36,34
3,2024-06,33,32
3,2024-07,32,28
3,2024-08,35,30
3,2024-09,38,28
3,2024-10,32,20
3,2024-11,38,26
3,2024-12,36,26
3,2025-01,42,34
3,2025-02,42,32
3,2025-03,45,38
3,2025-04,42,36
3,2025-05,41,33
3,2025-06,43,35
4,2023-01,26,18
4,2023-02,23,18
4,2023-03,19,15
4,2023-04,24,19
4,2023-05,33,21
4,2023-06,33,23
4,2023-07,33,33
4,2023-08,30,30
4,2023-09,33,31
4,2023-10,33,31
4,2023-11,25,25
4,2023-12,36,32
4,2024-01,37,32
4,2024-02,33,30
4,2024-03,36,34
4,2024-04,36,34
4,2024-05,36,34
4,2024-06,33,32
4,2024-07,32,28
4,2024-08,35,30
4,2024-09,38,28
4,2024-10,32,20
4,2024-11,38,26
4,2024-12,36,26
4,2025-01,42,34
4,2025-02,42,32
4,2025-03,45,37
4,2025-04,42,36
4,2025-05,41,33
4,2025-06,43,35
