fold_id,cell_id,cell_name,model,regime,train_start_month,train_end_month,test_start_month,test_end_month,n_train,n_test,n_features,clip_lower,clip_upper,rank_ic,ic_pearson,hit_ratio,sharpe_ls
0,2,ridge_adapt,ridge,True,2015-07,2018-06,2018-07,2018-12,36666,5888,36,-5.425158713789855,7.825901359772773,0.2256938922943804,0.1545871812984005,0.5913722826086957,3.028111209824332
6,2,ridge_adapt,ridge,True,2016-01,2018-12,2019-01,2019-06,36795,5898,36,-4.216786725820956,8.46891012110557,0.0182416109609062,-0.0098135049053875,0.4942353340115293,-1.1838886074137571
12,2,ridge_adapt,ridge,True,2016-07,2019-06,2019-07,2019-12,36411,6090,36,-4.390376079152606,7.740794715742457,0.1336221125920081,0.1286102641252955,0.5185550082101806,1.134607442205091
18,2,ridge_adapt,ridge,True,2017-01,2019-12,2020-01,2020-06,36505,6201,36,-4.145106982094829,6.192414552883428,0.0062962887627113,-0.0076338649730184,0.528785679729076,-0.6251018674075494
24,2,ridge_adapt,ridge,True,2017-07,2020-06,2020-07,2020-12,36417,6331,36,-4.408812001228329,6.207211582111831,-0.0627652706211133,-0.1045268276376204,0.4624861791186226,-0.0489222080348725
30,2,ridge_adapt,ridge,True,2018-01,2020-12,2021-01,2021-06,36537,6519,36,-4.753489376698056,5.5810889571058215,0.0664672494125998,0.123356341645038,0.506826200337475,3.4389039009605
36,2,ridge_adapt,ridge,True,2018-07,2021-06,2021-07,2021-12,36927,6927,36,-6.554844494761958,5.356436156675406,-0.1117160267694833,-0.1200699236781998,0.4613829940811318,-2.8011999525805966
42,2,ridge_adapt,ridge,True,2019-01,2021-12,2022-01,2022-06,37966,7167,36,-6.649247999201554,5.657524902694396,-0.1359375940048917,-0.1588332178825199,0.4565369052602204,-2.575080075607947
48,2,ridge_adapt,ridge,True,2019-07,2022-06,2022-07,2022-12,39235,7167,36,-5.168785649320908,6.261763545647583,-0.0163707634828486,-0.0436625084668155,0.5313241244593274,-2.80936495588334
54,2,ridge_adapt,ridge,True,2020-01,2022-12,2023-01,2023-06,40312,7797,36,-4.14312815869082,6.257621911126722,-0.0356126262668042,-0.069629337007635,0.4359368988072336,-0.6842464399030247
60,2,ridge_adapt,ridge,True,2020-07,2023-06,2023-07,2023-12,41908,7960,36,-5.104602777583098,5.67018490384745,0.2149683761470775,0.24117157423955,0.5543969849246231,3.421733527187228
66,2,ridge_adapt,ridge,True,2021-01,2023-12,2024-01,2024-06,43537,8077,36,-4.709831659759342,5.526177643728439,0.2056728960368914,0.2845998762632367,0.5776897362882258,6.806209855575017
72,2,ridge_adapt,ridge,True,2021-07,2024-06,2024-07,2024-12,45095,8114,36,-4.148055247741171,6.698952188431981,0.066723314664126,0.1298453533368188,0.4817599211239832,2.009519341928341
78,2,ridge_adapt,ridge,True,2022-01,2024-12,2025-01,2025-06,46282,8324,36,-4.510926149883852,6.8169185810968935,0.0462931876357394,0.0490660784497943,0.514776549735704,1.1978114853828488
