fold_id,test_start_month,test_end_month,n_months,n_bull,n_neutral,n_bear,pct_bull,pct_neutral,pct_bear,dominant
0,2018-07,2018-12,6,0,1,5,0.0,16.67,83.33,bear
1,2018-08,2019-01,6,0,2,4,0.0,33.33,66.67,bear
2,2018-09,2019-02,6,0,3,3,0.0,50.0,50.0,bear
3,2018-10,2019-03,6,0,4,2,0.0,66.67,33.33,neutral
4,2018-11,2019-04,6,0,5,1,0.0,83.33,16.67,neutral
5,2018-12,2019-05,6,0,5,1,0.0,83.33,16.67,neutral
6,2019-01,2019-06,6,0,5,1,0.0,83.33,16.67,neutral
7,2019-02,2019-07,6,1,4,1,16.67,66.67,16.67,neutral
8,2019-03,2019-08,6,1,4,1,16.67,66.67,16.67,neutral
9,2019-04,2019-09,6,1,4,1,16.67,66.67,16.67,neutral
10,2019-05,2019-10,6,1,4,1,16.67,66.67,16.67,neutral
11,2019-06,2019-11,6,1,5,0,16.67,83.33,0.0,neutral
12,2019-07,2019-12,6,2,4,0,33.33,66.67,0.0,neutral
13,2019-08,2020-01,6,2,4,0,33.33,66.67,0.0,neutral
14,2019-09,2020-02,6,2,4,0,33.33,66.67,0.0,neutral
15,2019-10,2020-03,6,2,3,1,33.33,50.0,16.67,neutral
16,2019-11,2020-04,6,2,2,2,33.33,33.33,33.33,neutral
17,2019-12,2020-05,6,2,2,2,33.33,33.33,33.33,bull
18,2020-01,2020-06,6,2,2,2,33.33,33.33,33.33,bull
19,2020-02,2020-07,6,1,3,2,16.67,50.0,33.33,neutral
20,2020-03,2020-08,6,1,3,2,16.67,50.0,33.33,neutral
21,2020-04,2020-09,6,1,4,1,16.67,66.67,16.67,neutral
22,2020-05,2020-10,6,1,5,0,16.67,83.33,0.0,neutral
23,2020-06,2020-11,6,2,4,0,33.33,66.67,0.0,neutral
24,2020-07,2020-12,6,2,4,0,33.33,66.67,0.0,neutral
25,2020-08,2021-01,6,3,3,0,50.0,50.0,0.0,neutral
26,2020-09,2021-02,6,3,3,0,50.0,50.0,0.0,neutral
27,2020-10,2021-03,6,3,3,0,50.0,50.0,0.0,neutral
28,2020-11,2021-04,6,3,3,0,50.0,50.0,0.0,bull
29,2020-12,2021-05,6,3,3,0,50.0,50.0,0.0,bull
30,2021-01,2021-06,6,3,3,0,50.0,50.0,0.0,bull
31,2021-02,2021-07,6,2,4,0,33.33,66.67,0.0,neutral
32,2021-03,2021-08,6,3,3,0,50.0,50.0,0.0,neutral
33,2021-04,2021-09,6,4,2,0,66.67,33.33,0.0,bull
34,2021-05,2021-10,6,5,1,0,83.33,16.67,0.0,bull
35,2021-06,2021-11,6,4,2,0,66.67,33.33,0.0,bull
36,2021-07,2021-12,6,3,3,0,50.0,50.0,0.0,neutral
37,2021-08,2022-01,6,3,3,0,50.0,50.0,0.0,bull
38,2021-09,2022-02,6,2,4,0,33.33,66.67,0.0,neutral
39,2021-10,2022-03,6,1,4,1,16.67,66.67,16.67,neutral
40,2021-11,2022-04,6,0,5,1,0.0,83.33,16.67,neutral
41,2021-12,2022-05,6,0,4,2,0.0,66.67,33.33,neutral
42,2022-01,2022-06,6,0,3,3,0.0,50.0,50.0,neutral
43,2022-02,2022-07,6,0,2,4,0.0,33.33,66.67,bear
44,2022-03,2022-08,6,0,2,4,0.0,33.33,66.67,bear
45,2022-04,2022-09,6,0,3,3,0.0,50.0,50.0,neutral
46,2022-05,2022-10,6,0,2,4,0.0,33.33,66.67,bear
47,2022-06,2022-11,6,0,2,4,0.0,33.33,66.67,bear
48,2022-07,2022-12,6,0,3,3,0.0,50.0,50.0,bear
49,2022-08,2023-01,6,0,3,3,0.0,50.0,50.0,neutral
50,2022-09,2023-02,6,0,3,3,0.0,50.0,50.0,neutral
51,2022-10,2023-03,6,0,3,3,0.0,50.0,50.0,bear
52,2022-11,2023-04,6,0,4,2,0.0,66.67,33.33,neutral
53,2022-12,2023-05,6,0,5,1,0.0,83.33,16.67,neutral
54,2023-01,2023-06,6,1,4,1,16.67,66.67,16.67,neutral
