fold_id,train_start,train_end,test_start,test_end,train_start_month,train_end_month,test_start_month,test_end_month
0,2015-07-01,2018-06-30,2018-07-01,2018-12-31,2015-07,2018-06,2018-07,2018-12
1,2016-01-01,2018-12-31,2019-01-01,2019-06-30,2016-01,2018-12,2019-01,2019-06
2,2016-07-01,2019-06-30,2019-07-01,2019-12-31,2016-07,2019-06,2019-07,2019-12
3,2017-01-01,2019-12-31,2020-01-01,2020-06-30,2017-01,2019-12,2020-01,2020-06
4,2017-07-01,2020-06-30,2020-07-01,2020-12-31,2017-07,2020-06,2020-07,2020-12
5,2018-01-01,2020-12-31,2021-01-01,2021-06-30,2018-01,2020-12,2021-01,2021-06
6,2018-07-01,2021-06-30,2021-07-01,2021-12-31,2018-07,2021-06,2021-07,2021-12
7,2019-01-01,2021-12-31,2022-01-01,2022-06-30,2019-01,2021-12,2022-01,2022-06
8,2019-07-01,2022-06-30,2022-07-01,2022-12-31,2019-07,2022-06,2022-07,2022-12
9,2020-01-01,2022-12-31,2023-01-01,2023-06-30,2020-01,2022-12,2023-01,2023-06
10,2020-07-01,2023-06-30,2023-07-01,2023-12-31,2020-07,2023-06,2023-07,2023-12
11,2021-01-01,2023-12-31,2024-01-01,2024-06-30,2021-01,2023-12,2024-01,2024-06
12,2021-07-01,2024-06-30,2024-07-01,2024-12-31,2021-07,2024-06,2024-07,2024-12
13,2022-01-01,2024-12-31,2025-01-01,2025-06-30,2022-01,2024-12,2025-01,2025-06
