fold_id,train_start,train_end,test_start,test_end,train_start_month,train_end_month,test_start_month,test_end_month
0,2015-07-01,2018-06-30,2018-07-01,2018-12-31,2015-07,2018-06,2018-07,2018-12
1,2015-08-01,2018-07-31,2018-08-01,2019-01-31,2015-08,2018-07,2018-08,2019-01
2,2015-09-01,2018-08-31,2018-09-01,2019-02-28,2015-09,2018-08,2018-09,2019-02
3,2015-10-01,2018-09-30,2018-10-01,2019-03-31,2015-10,2018-09,2018-10,2019-03
4,2015-11-01,2018-10-31,2018-11-01,2019-04-30,2015-11,2018-10,2018-11,2019-04
5,2015-12-01,2018-11-30,2018-12-01,2019-05-31,2015-12,2018-11,2018-12,2019-05
6,2016-01-01,2018-12-31,2019-01-01,2019-06-30,2016-01,2018-12,2019-01,2019-06
7,2016-02-01,2019-01-31,2019-02-01,2019-07-31,2016-02,2019-01,2019-02,2019-07
8,2016-03-01,2019-02-28,2019-03-01,2019-08-31,2016-03,2019-02,2019-03,2019-08
9,2016-04-01,2019-03-31,2019-04-01,2019-09-30,2016-04,2019-03,2019-04,2019-09
10,2016-05-01,2019-04-30,2019-05-01,2019-10-31,2016-05,2019-04,2019-05,2019-10
11,2016-06-01,2019-05-31,2019-06-01,2019-11-30,2016-06,2019-05,2019-06,2019-11
12,2016-07-01,2019-06-30,2019-07-01,2019-12-31,2016-07,2019-06,2019-07,2019-12
13,2016-08-01,2019-07-31,2019-08-01,2020-01-31,2016-08,2019-07,2019-08,2020-01
14,2016-09-01,2019-08-31,2019-09-01,2020-02-29,2016-09,2019-08,2019-09,2020-02
15,2016-10-01,2019-09-30,2019-10-01,2020-03-31,2016-10,2019-09,2019-10,2020-03
16,2016-11-01,2019-10-31,2019-11-01,2020-04-30,2016-11,2019-10,2019-11,2020-04
17,2016-12-01,2019-11-30,2019-12-01,2020-05-31,2016-12,2019-11,2019-12,2020-05
18,2017-01-01,2019-12-31,2020-01-01,2020-06-30,2017-01,2019-12,2020-01,2020-06
19,2017-02-01,2020-01-31,2020-02-01,2020-07-31,2017-02,2020-01,2020-02,2020-07
