fold_id,cell_id,cell_name,model,regime,test_start_month,test_end_month,n_train,n_test,rank_ic,ic_pearson,hit_ratio,rf_n_estimators,rf_max_depth,rf_min_samples_leaf
0,1,ridge_static,ridge,False,2018-07,2018-12,36666,5888,0.2261181597707891,0.15382096222393357,0.5799932065217391,100,3,10
0,2,ridge_adapt,ridge,True,2018-07,2018-12,36666,5888,0.22569389229438047,0.15458718129840057,0.5913722826086957,100,3,10
0,3,hybrid_static,hybrid,False,2018-07,2018-12,36666,5888,0.13156221599854254,0.06091842744872718,0.5360054347826086,100,3,10
0,4,hybrid_adapt,hybrid,True,2018-07,2018-12,36666,5888,0.13379037467833974,0.07110331011098879,0.5354959239130435,100,3,10
6,1,ridge_static,ridge,False,2019-01,2019-06,36795,5898,0.023557506128086075,-0.005650326165898423,0.4828755510342489,100,3,10
6,2,ridge_adapt,ridge,True,2019-01,2019-06,36795,5898,0.018241610960906204,-0.00981350490538757,0.49423533401152936,100,3,10
6,3,hybrid_static,hybrid,False,2019-01,2019-06,36795,5898,-0.008466867767698708,-0.04154783914939346,0.5388267209223465,100,3,10
6,4,hybrid_adapt,hybrid,True,2019-01,2019-06,36795,5898,-0.012853688789274627,-0.0439305110299327,0.5384876229230248,100,3,10
12,1,ridge_static,ridge,False,2019-07,2019-12,36411,6090,0.13507426467679193,0.1282546250817158,0.5408866995073892,100,6,10
12,2,ridge_adapt,ridge,True,2019-07,2019-12,36411,6090,0.13362211259200812,0.12861026412529558,0.5185550082101806,100,6,10
12,3,hybrid_static,hybrid,False,2019-07,2019-12,36411,6090,0.1260870413928961,0.19744919494632893,0.5328407224958949,100,6,10
12,4,hybrid_adapt,hybrid,True,2019-07,2019-12,36411,6090,0.12493751797670494,0.19602585509597173,0.532183908045977,100,6,10
18,1,ridge_static,ridge,False,2020-01,2020-06,36505,6201,0.002802090444750721,-0.01258930452018511,0.5302370585389453,100,3,10
18,2,ridge_adapt,ridge,True,2020-01,2020-06,36505,6201,0.006296288762711333,-0.007633864973018465,0.528785679729076,100,3,10
18,3,hybrid_static,hybrid,False,2020-01,2020-06,36505,6201,-0.051678469920794744,-0.08347398388879466,0.4881470730527334,100,3,10
18,4,hybrid_adapt,hybrid,True,2020-01,2020-06,36505,6201,-0.04854959138916254,-0.0806813207065478,0.487824544428318,100,3,10
24,1,ridge_static,ridge,False,2020-07,2020-12,36417,6331,-0.06209210753163777,-0.10626288838756286,0.46343389669878376,100,6,10
24,2,ridge_adapt,ridge,True,2020-07,2020-12,36417,6331,-0.06276527062111337,-0.10452682763762042,0.46248617911862266,100,6,10
24,3,hybrid_static,hybrid,False,2020-07,2020-12,36417,6331,-0.011090745121169645,-0.07062705042462002,0.5098720581266782,100,6,10
24,4,hybrid_adapt,hybrid,True,2020-07,2020-12,36417,6331,-0.010736244065254955,-0.05607498962750517,0.5098720581266782,100,6,10
30,1,ridge_static,ridge,False,2021-01,2021-06,36537,6519,0.06914943553973536,0.12806763579869485,0.5296824666359871,100,6,30
30,2,ridge_adapt,ridge,True,2021-01,2021-06,36537,6519,0.06646724941259981,0.123356341645038,0.506826200337475,100,6,30
30,3,hybrid_static,hybrid,False,2021-01,2021-06,36537,6519,0.08891717239262197,0.22600920014825415,0.5405737076238687,100,6,30
30,4,hybrid_adapt,hybrid,True,2021-01,2021-06,36537,6519,0.08857201194877337,0.22406471527403818,0.5430280717901519,100,6,30
36,1,ridge_static,ridge,False,2021-07,2021-12,36927,6927,-0.11153104897496528,-0.1201078544693561,0.46297098310957124,100,3,10
36,2,ridge_adapt,ridge,True,2021-07,2021-12,36927,6927,-0.1117160267694833,-0.12006992367819982,0.4613829940811318,100,3,10
36,3,hybrid_static,hybrid,False,2021-07,2021-12,36927,6927,-0.07655649329687023,-0.09286928471720836,0.4674462249169915,100,3,10
36,4,hybrid_adapt,hybrid,True,2021-07,2021-12,36927,6927,-0.07549747723242561,-0.09097686137345844,0.4671574996390934,100,3,10
42,1,ridge_static,ridge,False,2022-01,2022-06,37966,7167,-0.13473842358937138,-0.15873484057965462,0.46630389284219337,100,6,10
42,2,ridge_adapt,ridge,True,2022-01,2022-06,37966,7167,-0.13593759400489178,-0.1588332178825199,0.45653690526022045,100,6,10
42,3,hybrid_static,hybrid,False,2022-01,2022-06,37966,7167,-0.09484368845918985,-0.18492777546597503,0.48318682851960376,100,6,10
42,4,hybrid_adapt,hybrid,True,2022-01,2022-06,37966,7167,-0.09833212116499465,-0.18809936813916314,0.4816520161852937,100,6,10
48,1,ridge_static,ridge,False,2022-07,2022-12,39235,7167,-0.01514050119139523,-0.042733486448008506,0.5507185712292452,100,4,30
48,2,ridge_adapt,ridge,True,2022-07,2022-12,39235,7167,-0.016370763482848626,-0.04366250846681553,0.5313241244593274,100,4,30
48,3,hybrid_static,hybrid,False,2022-07,2022-12,39235,7167,-0.03631032379226297,-0.02506486923778949,0.4808148458211246,100,4,30
48,4,hybrid_adapt,hybrid,True,2022-07,2022-12,39235,7167,-0.037296553402824104,-0.025434372306646042,0.48039626063904006,100,4,30
54,1,ridge_static,ridge,False,2023-01,2023-06,40312,7797,-0.04289849302955736,-0.07977425362981247,0.44619725535462357,100,6,10
54,2,ridge_adapt,ridge,True,2023-01,2023-06,40312,7797,-0.03561262626680428,-0.06962933700763504,0.4359368988072336,100,6,10
54,3,hybrid_static,hybrid,False,2023-01,2023-06,40312,7797,-0.014022163067841535,-0.033459472858893884,0.5081441580094909,100,6,10
54,4,hybrid_adapt,hybrid,True,2023-01,2023-06,40312,7797,-0.004867117146795044,-0.024987769282349605,0.5108375016031808,100,6,10
60,1,ridge_static,ridge,False,2023-07,2023-12,41908,7960,0.2148744735625225,0.2415956008540616,0.550251256281407,100,4,10
60,2,ridge_adapt,ridge,True,2023-07,2023-12,41908,7960,0.21496837614707753,0.24117157423955005,0.5543969849246231,100,4,10
60,3,hybrid_static,hybrid,False,2023-07,2023-12,41908,7960,0.2575829123938639,0.2711374413088223,0.5832914572864322,100,4,10
60,4,hybrid_adapt,hybrid,True,2023-07,2023-12,41908,7960,0.2584487907436981,0.26799075033015146,0.5832914572864322,100,4,10
66,1,ridge_static,ridge,False,2024-01,2024-06,43537,8077,0.20560242400131512,0.2846290255436655,0.5785563947010028,100,6,10
66,2,ridge_adapt,ridge,True,2024-01,2024-06,43537,8077,0.20567289603689148,0.2845998762632367,0.5776897362882258,100,6,10
66,3,hybrid_static,hybrid,False,2024-01,2024-06,43537,8077,0.1924576912426578,0.22546302582386804,0.5842515785563946,100,6,10
66,4,hybrid_adapt,hybrid,True,2024-01,2024-06,43537,8077,0.1924419679514001,0.2251380906935189,0.5840039618670299,100,6,10
72,1,ridge_static,ridge,False,2024-07,2024-12,45095,8114,0.06722531724998167,0.13083643043846074,0.4813901897954153,100,3,30
72,2,ridge_adapt,ridge,True,2024-07,2024-12,45095,8114,0.06672331466412604,0.12984535333681888,0.48175992112398325,100,3,30
