block_id,fold_id,test_start_month,test_end_month,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,rf_random_state,rf_n_jobs,best_inner_rank_ic
0,0,2018-07,2018-12,100,3,10,42,-1,-0.077297
1,6,2019-01,2019-06,100,3,10,42,-1,-0.034115
2,12,2019-07,2019-12,100,6,10,42,-1,0.035282
3,18,2020-01,2020-06,100,3,10,42,-1,0.076484
4,24,2020-07,2020-12,100,6,10,42,-1,0.023846
5,30,2021-01,2021-06,100,6,30,42,-1,0.005267
6,36,2021-07,2021-12,100,3,10,42,-1,0.11326
7,42,2022-01,2022-06,100,6,10,42,-1,0.117607
8,48,2022-07,2022-12,100,4,30,42,-1,0.063414
9,54,2023-01,2023-06,100,6,10,42,-1,-0.091962
10,60,2023-07,2023-12,100,4,10,42,-1,0.125782
11,66,2024-01,2024-06,100,6,10,42,-1,0.301102
12,72,2024-07,2024-12,100,3,30,42,-1,0.198606
13,78,2025-01,2025-06,100,6,10,42,-1,0.27792
