fold_id,retuned,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,rf_random_state,rf_n_jobs,best_inner_rank_ic,n_grid_tried
0,False,100,4,20,42,-1,,
1,False,100,4,20,42,-1,,
2,False,100,4,20,42,-1,,
3,False,100,4,20,42,-1,,
4,False,100,4,20,42,-1,,
5,False,100,4,20,42,-1,,
6,False,100,4,20,42,-1,,
7,False,100,4,20,42,-1,,
8,False,100,4,20,42,-1,,
9,False,100,4,20,42,-1,,
10,False,100,4,20,42,-1,,
11,False,100,4,20,42,-1,,
12,False,100,4,20,42,-1,,
13,False,100,4,20,42,-1,,
14,False,100,4,20,42,-1,,
15,False,100,4,20,42,-1,,
16,False,100,4,20,42,-1,,
17,False,100,4,20,42,-1,,
18,False,100,4,20,42,-1,,
19,False,100,4,20,42,-1,,
20,False,100,4,20,42,-1,,
21,False,100,4,20,42,-1,,
22,False,100,4,20,42,-1,,
23,False,100,4,20,42,-1,,
24,False,100,4,20,42,-1,,
25,False,100,4,20,42,-1,,
26,False,100,4,20,42,-1,,
27,False,100,4,20,42,-1,,
28,False,100,4,20,42,-1,,
29,False,100,4,20,42,-1,,
30,False,100,4,20,42,-1,,
31,False,100,4,20,42,-1,,
32,False,100,4,20,42,-1,,
33,False,100,4,20,42,-1,,
34,False,100,4,20,42,-1,,
35,False,100,4,20,42,-1,,
36,False,100,4,20,42,-1,,
37,False,100,4,20,42,-1,,
38,False,100,4,20,42,-1,,
39,False,100,4,20,42,-1,,
40,False,100,4,20,42,-1,,
41,False,100,4,20,42,-1,,
42,False,100,4,20,42,-1,,
43,False,100,4,20,42,-1,,
44,False,100,4,20,42,-1,,
45,False,100,4,20,42,-1,,
46,False,100,4,20,42,-1,,
47,False,100,4,20,42,-1,,
48,False,100,4,20,42,-1,,
49,False,100,4,20,42,-1,,
50,False,100,4,20,42,-1,,
51,False,100,4,20,42,-1,,
52,False,100,4,20,42,-1,,
53,False,100,4,20,42,-1,,
54,False,100,4,20,42,-1,,
55,False,100,4,20,42,-1,,
56,False,100,4,20,42,-1,,
57,False,100,4,20,42,-1,,
58,False,100,4,20,42,-1,,
59,False,100,4,20,42,-1,,
60,False,100,4,20,42,-1,,
61,False,100,4,20,42,-1,,
62,False,100,4,20,42,-1,,
63,False,100,4,20,42,-1,,
64,False,100,4,20,42,-1,,
65,False,100,4,20,42,-1,,
66,False,100,4,20,42,-1,,
67,False,100,4,20,42,-1,,
68,False,100,4,20,42,-1,,
69,False,100,4,20,42,-1,,
70,False,100,4,20,42,-1,,
71,False,100,4,20,42,-1,,
72,False,100,4,20,42,-1,,
73,False,100,4,20,42,-1,,
74,False,100,4,20,42,-1,,
75,False,100,4,20,42,-1,,
76,False,100,4,20,42,-1,,
77,False,100,4,20,42,-1,,
78,False,100,4,20,42,-1,,
79,False,100,4,20,42,-1,,
80,False,100,4,20,42,-1,,
