titre,mois,score,rang_percentile,rang,ticker,date_cours,cell_id,cell_name,split
SID,2021-01,0.45044683397974256,1.0,1,SID,2021-01-29,1,ridge_static,val
AFM,2021-01,0.3634072584742879,0.9795918367346939,2,AFM,2021-01-29,1,ridge_static,val
OUL,2021-01,0.3198852928673721,0.9591836734693877,3,OUL,2021-01-29,1,ridge_static,val
MSA,2021-01,0.28899554482551826,0.9387755102040817,4,MSA,2021-01-29,1,ridge_static,val
MNG,2021-01,0.23504208275207059,0.9183673469387755,5,MNG,2021-01-29,1,ridge_static,val
MIC,2021-01,0.23043172887486782,0.8979591836734694,6,MIC,2021-01-29,1,ridge_static,val
DWY,2021-01,0.2200917831837943,0.8775510204081632,7,DWY,2021-01-29,1,ridge_static,val
MOX,2021-01,0.20603859126391844,0.8571428571428572,8,MOX,2021-01-29,1,ridge_static,val
HPS,2021-01,0.19876173542033915,0.8367346938775511,9,HPS,2021-01-29,1,ridge_static,val
BCI,2021-01,0.18684461678429412,0.8163265306122449,10,BCI,2021-01-29,1,ridge_static,val
IAM,2021-01,0.17989634620392655,0.7959183673469388,11,IAM,2021-01-29,1,ridge_static,val
IMO,2021-01,0.15515838428369005,0.7755102040816326,12,IMO,2021-01-29,1,ridge_static,val
INV,2021-01,0.15285113429924874,0.7551020408163265,13,INV,2021-01-29,1,ridge_static,val
TQM,2021-01,0.15080269275166724,0.7346938775510203,14,TQM,2021-01-29,1,ridge_static,val
SMI,2021-01,0.14219223794539348,0.7142857142857143,15,SMI,2021-01-29,1,ridge_static,val
BOA,2021-01,0.13074600140537967,0.6938775510204082,16,BOA,2021-01-29,1,ridge_static,val
ATW,2021-01,0.12978200130361772,0.6734693877551021,17,ATW,2021-01-29,1,ridge_static,val
GAZ,2021-01,0.12032386984355736,0.653061224489796,18,GAZ,2021-01-29,1,ridge_static,val
MUT,2021-01,0.12002086410509227,0.6326530612244898,19,MUT,2021-01-29,1,ridge_static,val
LBV,2021-01,0.11703293676743992,0.6122448979591837,20,LBV,2021-01-29,1,ridge_static,val
CMT,2021-01,0.11648231745599617,0.5918367346938775,21,CMT,2021-01-29,1,ridge_static,val
PRO,2021-01,0.10906411609689175,0.5714285714285714,22,PRO,2021-01-29,1,ridge_static,val
BCP,2021-01,0.09737926324038629,0.5510204081632653,23,BCP,2021-01-29,1,ridge_static,val
CIH,2021-01,0.09119616997116528,0.5306122448979591,24,CIH,2021-01-29,1,ridge_static,val
SNP,2021-01,0.06468883028710588,0.5102040816326531,25,SNP,2021-01-29,1,ridge_static,val
SID,2021-02,0.7106293314483563,1.0,1,SID,2021-02-26,1,ridge_static,val
OUL,2021-02,0.3179586221695953,0.9803921568627451,2,OUL,2021-02-26,1,ridge_static,val
MNG,2021-02,0.28490977012834284,0.9607843137254902,3,MNG,2021-02-26,1,ridge_static,val
AFM,2021-02,0.28481936483579506,0.9411764705882353,4,AFM,2021-02-26,1,ridge_static,val
MIC,2021-02,0.2837963053366938,0.9215686274509804,5,MIC,2021-02-26,1,ridge_static,val
HPS,2021-02,0.23388217223342678,0.9019607843137255,6,HPS,2021-02-26,1,ridge_static,val
DWY,2021-02,0.19490119214975793,0.8823529411764706,7,DWY,2021-02-26,1,ridge_static,val
SMI,2021-02,0.19278909197594235,0.8627450980392157,8,SMI,2021-02-26,1,ridge_static,val
MSA,2021-02,0.18976614484671714,0.8431372549019608,9,MSA,2021-02-26,1,ridge_static,val
SBM,2021-02,0.1729159665963444,0.8235294117647058,10,SBM,2021-02-26,1,ridge_static,val
LBV,2021-02,0.17057972865183627,0.803921568627451,11,LBV,2021-02-26,1,ridge_static,val
ARD,2021-02,0.16061352140683582,0.7843137254901961,12,ARD,2021-02-26,1,ridge_static,val
SNP,2021-02,0.15975461537006028,0.7647058823529411,13,SNP,2021-02-26,1,ridge_static,val
BCI,2021-02,0.15222575868550636,0.7450980392156863,14,BCI,2021-02-26,1,ridge_static,val
JET,2021-02,0.14422056916118214,0.7254901960784313,15,JET,2021-02-26,1,ridge_static,val
IMO,2021-02,0.13383577223147208,0.7058823529411764,16,IMO,2021-02-26,1,ridge_static,val
LHM,2021-02,0.13257189715303785,0.6862745098039216,17,LHM,2021-02-26,1,ridge_static,val
INV,2021-02,0.12765221901892226,0.6666666666666667,18,INV,2021-02-26,1,ridge_static,val
BCP,2021-02,0.12752492776048063,0.6470588235294117,19,BCP,2021-02-26,1,ridge_static,val
M2M,2021-02,0.1255935457317825,0.6274509803921569,20,M2M,2021-02-26,1,ridge_static,val
CIH,2021-02,0.12341755402804572,0.607843137254902,21,CIH,2021-02-26,1,ridge_static,val
CSR,2021-02,0.1126071919124179,0.5882352941176471,22,CSR,2021-02-26,1,ridge_static,val
ATW,2021-02,0.11207462062771838,0.5686274509803921,23,ATW,2021-02-26,1,ridge_static,val
